© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules
Th1 and Th2 Activation Pathway	4.5E00	1.41E-01	NaN	CCR3,SOCS3,TNFSF4,HLA-A,CD8A,NFIL3,KL,HLA-DMB,CCR8,CD274,IRS2,TIMD4,IFNG,IL4R,CXCR4,ACVR1,PIK3R3,NOTCH4,IL18,CD80,CD40,APH1A,IRS1,H2-Eb2,HLA-DOB,JAG1
Th2 Pathway	4.12E00	1.47E-01	0.258	CCR3,IFNG,SOCS3,IL4R,TNFSF4,HLA-A,CXCR4,ACVR1,PIK3R3,NOTCH4,CD80,CD40,KL,H2-Eb2,APH1A,IRS1,HLA-DMB,CCR8,HLA-DOB,IRS2,JAG1,TIMD4
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	3.13E00	1.67E-01	NaN	Tlr11,IFNG,HLA-A,IL15,TLR8,CD79A,IL18,CD40,CD80,H2-Eb2,HLA-DMB,HLA-DOB,Tlr13,TNF,TNFSF13B
Th1 Pathway	2.77E00	1.33E-01	-1.000	IFNG,SOCS3,HLA-A,CD8A,PIK3R3,NFIL3,NOTCH4,IL18,CD80,CD40,KL,H2-Eb2,IRS1,APH1A,HLA-DMB,HLA-DOB,IRS2,CD274
NAD biosynthesis II (from tryptophan)	2.74E00	4E-01	NaN	KMO,TDO2,NADSYN1,HAAO,QPRT,KYNU
PI3K Signaling in B Lymphocytes	2.63E00	1.31E-01	-1.387	CD81,BLNK,CD19,IL4R,C3,ATF3,ATF5,CD79A,BLK,NFKBID,FOS,PLCE1,CD40,IRS1,IRS2,PLCL1,CR2
Communication between Innate and Adaptive Immune Cells	2.63E00	1.49E-01	NaN	Tlr11,IFNG,HLA-A,IL15,TLR8,CD79A,CD8A,IL18,CD40,CD80,Tlr13,HLA-F,TNF,TNFSF13B
PKCθ Signaling in T Lymphocytes	2.63E00	1.19E-01	-0.535	MAP3K15,CACNB1,HLA-A,MAP3K13,CACNB4,CACNB3,PIK3R3,MAP3K10,NFKBID,FOS,CACNA1E,CD80,KL,H2-Eb2,IRS1,HLA-DMB,HLA-DOB,IRS2,CACNA2D4
Dendritic Cell Maturation	2.46E00	1.09E-01	-1.789	HLA-A,IL15,COL10A1,PIK3R3,NFKBID,IL18,PLCE1,CD80,IL1RL2,CD40,KL,FSCN1,H2-Eb2,IRS1,HLA-DMB,HLA-DOB,IRS2,PLCL1,COL11A2,TNF,FCGR3A/FCGR3B
B Cell Development	2.43E00	2.29E-01	NaN	CD19,CD40,CD80,HLA-A,H2-Eb2,HLA-DMB,HLA-DOB,CD79A
Neuroinflammation Signaling Pathway	2.24E00	9E-02	-0.577	KLK3,HLA-A,TLR8,KL,HLA-DMB,IRS2,Tlr11,IFNG,CD200,ACVR1,IRAK3,PRKCG,PIK3R3,FOS,PLA2G4A,IL18,CD40,PLA2G2D,CD80,APH1A,IRS1,H2-Eb2,PLA2G4B,HLA-DOB,Tlr13,SNCA,TNF,MMP9
Graft-versus-Host Disease Signaling	2.24E00	1.88E-01	NaN	IFNG,IL18,CD80,HLA-A,H2-Eb2,HLA-DMB,HLA-DOB,HLA-F,TNF
Tryptophan Degradation to 2-amino-3-carboxymuconate Semialdehyde	2.17E00	5E-01	NaN	KMO,TDO2,HAAO,KYNU
