© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules
Sirtuin Signaling Pathway	1.57E01	4.08E-01	-1.476	TUBA1B,POLR2F,NDUFA9,SUV39H1,NDUFB5,NDUFB8,NDUFS1,ATG9A,ZBTB14,APEX1,POLR3D,ATP5J,ATG5,ATG7,SLC2A1,NDRG1,TIMM44,ATG4B,HSF1,TIMM17B,NR1H3,STAT3,TIMM17A,ATG14,NDUFB7,XRCC5,NDUFA4,HIST1H1C,GADD45B,NDUFA7,PAM16,SIRT7,NDUFB9,AKT1,CRTC2,MT-CYB,ACSS2,NFE2L2,NDUFAB1,NDUFS4,SDHA,POLR1D,PRKDC,NDUFAF1,PPIF,POLR1E,DOT1L,ATG3,MT-ND4,ACLY,VDAC3,MT-ND1,TUBA1A,TOMM6,SREBF1,NDUFA11,ADAM10,GABPA,TSPO,GABARAP,FOXO4,RRP9,GABARAPL2,BPGM,ABCA1,LDHB,NDUFA5,GABARAPL1,PRKAA1,NDUFS6,UQCRFS1,NDUFA10,ATG2B,TUBA1C,HIST1H4J,GSK3B,MT-ND2,PGK1,PPID,ATG12,PFKFB3,POLR1B,GABPB2,SMARCA5,SDHC,NDUFAF2,MT-ND4L,ATG13,ATP5C1,H3F3A/H3F3B,XRCC6,NDUFA6,NDUFA12,IDH2,NDUFS3,NDUFB6,NAMPT,GOT2,PDK1,MT-ATP6,NDUFB4,MT-ND6,SLC25A4,GLS,G6PD,TUBA4A,GLUD1,SIRT3,BAX,TIMM23,MT-ND5,NR1H2,SIRT2,NDUFS8,NDUFV2,CYC1,SDHD,NDUFA3,BCL2L11
Oxidative Phosphorylation	1.05E01	4.95E-01	NaN	NDUFA9,NDUFB5,ATP5L,NDUFB8,MT-CO2,NDUFA5,NDUFS1,NDUFS6,NDUFA10,UQCRFS1,MT-ND2,ATP5G3,ATP5J,SURF1,SDHC,MT-ND4L,ATP5C1,NDUFA6,NDUFB7,NDUFA12,NDUFS3,NDUFA4,COX7B,NDUFA7,COX10,Atp5e,NDUFB9,MT-CYB,ATP5J2,MT-CO3,NDUFB6,NDUFAB1,COX4I1,NDUFS4,MT-CO1,SDHA,NDUFB4,MT-ATP6,COX7A2L,MT-ND4,UQCRB,MT-ND5,MT-ND1,NDUFV2,NDUFS8,COX6B2,NDUFA11,CYC1,SDHD,NDUFA3,CYCS,CYB5A,UQCRQ,COX15
Mitochondrial Dysfunction	1.05E01	4.27E-01	NaN	MAP2K4,NDUFA9,XDH,NDUFB5,ATP5L,NCSTN,NDUFB8,MT-CO2,NDUFS1,NDUFA5,GPD2,NDUFS6,UQCRFS1,NDUFA10,GPX4,MT-ND2,ATP5G3,ATP5J,CASP3,SURF1,SDHC,NDUFAF2,MT-ND4L,GSR,ATP5C1,PRDX3,NDUFA6,APH1A,NDUFB7,NDUFA12,NDUFS3,TXNRD2,HSD17B10,NDUFA4,COX7B,NDUFA7,COX10,Atp5e,NDUFB9,MT-CYB,ATP5J2,NDUFB6,MT-CO3,NDUFAB1,COX4I1,NDUFS4,AIFM1,SDHA,MT-CO1,NDUFAF1,NDUFB4,MT-ATP6,MT-ND6,MAPK8,MT-ND4,COX7A2L,VDAC3,UQCRB,FIS1,MT-ND5,MT-ND1,NDUFS8,NDUFV2,COX6B2,NDUFA11,CAT,CYC1,SDHD,NDUFA3,CYCS,CYB5A,UQCRQ,COX15
Protein Ubiquitination Pathway	9.64E00	3.66E-01	NaN	USP45,Ubb,DNAJC3,PSMB8,PAN2,USP10,PSMC2,UBE2Q2,USP9X,PSMD5,HSPA8,USP31,UBE2G2,UBR1,ANAPC5,DNAJC14,HSPB11,SMURF2,ANAPC2,USP24,USP18,HLA-A,USP53,PSMD9,UBE2Z,CDC23,USP39,UBE4A,USP3,PSMC6,UBE2K,PSMD14,IFNG,PSMB9,MED20,PSMD13,MDM2,USP30,USP33,PSMC1,DNAJC24,UBE2J1,USP4,USP22,BTRC,BIRC2,UBE3B,HSPA1A/HSPA1B,UBE2V2,HSPA5,ELOC,HSPA4,UBE2B,UCHL5,USP40,BRCA1,PSMA6,PSMB5,USP36,USP38,DNAJC19,HSPA9,PSMD6,UCHL3,PSMD11,UBE2L3,USP32,UBE2H,UBE2G1,HSPA13,BAP1,DNAJC18,HSP90AA1,VHL,UBE2J2,UBE2I,B2M,USP14,CDC20,DNAJC12,USP54,ANAPC1,UBE2F,PSMD10,USP47,DNAJB1,HSPB6,HSPH1,UBE2R2,DNAJC1,PSMA1,HSPD1,UBE2L6,UBA1,UBC,DNAJB5,DNAJC7
Assembly of RNA Polymerase II Complex	7.23E00	5.8E-01	NaN	POLR2F,POLR2D,POLR2J,GTF2H2,GTF2E2,MNAT1,TAF13,GTF2A2,POLR2A,POLR2C,DR1,GTF2H5,TAF2,POLR2L,TAF12,POLR2I,TAF5L,CDK7,TBP,POLR2H,ERCC2,TAF9B,POLR2G,TAF4B,TAF5,POLR2E,GTF2E1,GTF2H1,TAF15
Huntington's Disease Signaling	6.61E00	3.4E-01	-2.160	MAP2K4,PLCB2,POLR2F,POLR2D,VTI1A,SGK1,PIK3R1,Hspa1b,RACK1,HSPA1A/HSPA1B,NAPG,Ubb,HSPA5,PIK3R4,AP2A2,CDK5R1,HDAC6,HSPA4,NSF,GNA15,CPLX2,PIK3CG,HDAC11,IRS2,PRKD3,FRS2,POLR2L,ATM,POLR2I,ATP5J,PIK3C2B,AKT2,CASP3,GNG2,HSPA9,CLTC,IFT57,CREB3,TBP,POLR2H,STX1A,GPAA1,TAF9B,GNG10,HSPA8,ATP5C1,HDAC3,POLR2E,CAPN1,CASP2,PRKCD,CLTA,PSME4,PIK3CA,PACSIN1,GNA11,POLR2J,SHC1,POLR2A,POLR2C,AKT1,CDK5,SOS1,CREB1,CASP1,DNAJB1,GNG5,BET1L,SDHA,GRB2,GLS,MAPK8,GNAQ,APAF1,BAX,SIN3A,ZDHHC17,POLR2G,CAPNS1,PRKCI,CYCS,PIK3CB,UBC,GOSR2,CASP7
Hereditary Breast Cancer Signaling	6.27E00	3.89E-01	NaN	POLR2F,POLR2D,PIK3R1,SMARCD2,Ubb,KRAS,PIK3R4,PTEN,HDAC6,PIK3CG,HDAC11,IRS2,BRCA1,FRS2,POLR2L,ATM,POLR2I,PIK3C2B,AKT2,RRAS,WEE1,POLR2H,HDAC3,RFC4,POLR2E,MRE11,FAAP24,PHF10,PBRM1,PIK3CA,GADD45B,BARD1,POLR2J,CDK4,MLH1,RAD50,RAD51,POLR2C,POLR2A,AKT1,BLM,PMS2,NRAS,GRB2,ACTB,TUBG1,RFC5,POLR2G,MSH2,CDKN1A,MSH6,BRCA2,PIK3CB,ATR,UBC,HLTF
Molecular Mechanisms of Cancer	6E00	2.99E-01	NaN	RAP2B,Naip1 (includes others),TGFBR1,SUV39H1,PIK3R1,TAB2,NCSTN,KRAS,ZBTB17,LAMTOR3,PAK1,GNA15,PIK3CG,IRS2,NFKBIB,FRS2,PRKD3,FASLG,ATM,PIK3C2B,AKT2,ARHGEF4,CCNE2,TFDP1,RRAS,CDK7,RAP1A,RASGRF2,CCND2,APH1A,ARHGEF6,PRKACA,CDK19,ARHGEF10,TCF4,PIK3CA,RALA,ARHGEF7,GNA11,CDK4,CTNNA1,BMPR2,CRK,JAK2,CDK10,DIABLO,AKT1,SOS1,BID,PRKDC,GRB2,RHOC,GNA12,MAPK8,GNAQ,MDM2,SIN3A,FOS,GNAI3,ARHGEF5,CCNE1,CDKN2D,CDKN1A,BMP7,CYCS,CASP7,LRP1,BIRC2,MAP2K4,PLCB2,PIK3R4,IKBKG,CAMK2D,RHOB,SUFU,TGFB1,ARHGEF11,GSK3B,BRCA1,SMAD1,E2F2,CASP3,AURKA,CDK15,NFKBID,RHOQ,RABIF,RHOA,PRKCD,CDK11A,LEF1,PA2G4,E2F3,RHOH,PRKAG1,BRAF,SHC1,NLK,CDK5,BMPR1A,MAP2K1,NAIP,PAK4,ARHGEF12,NRAS,HAT1,PRKAR2A,APAF1,BAX,PRKCI,NF1,PAK2,ATR,PIK3CB,CDKN1B,ELK1,ADCY7,BCL2L11
Nucleotide Excision Repair Pathway	5.45E00	6E-01	NaN	POLR2I,POLR2F,ERCC6,POLR2D,CDK7,POLR2J,POLR2H,GTF2H2,ERCC2,MNAT1,RPA2,POLR2G,RPA3,ERCC1,POLR2A,POLR2C,POLR2E,GTF2H1,GTF2H5,ERCC5,POLR2L
3-phosphoinositide Degradation	4.88E00	3.54E-01	NaN	SOCS3,MINPP1,PTPN23,MTMR9,PPP2R5B,PIKFYVE,ACP1,IGBP1,PTEN,SACM1L,PTPRC,PDCD1,PPP1R13B,PGAM5,PRUNE1,DUSP11,RNGTT,PTPN6,PIP4P1,PPTC7,FIG4,PLPP6,SYNJ2,INPP4A,INPP4B,MTMR4,DUSP1,PPM1H,SGPP1,INPP5K,MTMR1,PPIP5K1,INPPL1,PPM1K,HACD2,UBLCP1,DUSP2,PXYLP1,MTMR6,SET,DUSP5,PTPRJ,MTM1,PPM1F,INPP5E,DOT1L,PP2D1,PPP4R1,NUDT15,PPP2R5A,DUSP14,SYNJ1,NUDT16,PPP2R5E,PTPN22,DUSP16
