© 2000-2018 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-Value	Predicted Activation State	Activation z-score	Flags	Molecules	# Molecules
Hematological System Development and Function, Tissue Morphology	Quantity of blood cells	4.84E-15	Decreased	-3.345	 	Abcb1b,ABCG2,ADA,AFF1,AHR,ANPEP,ATF3,BANK1,BATF3,BCL11A,BHLHE40,Bhlhe41,BLK,BLNK,C1orf159,C3,C6,CCR3,CD19,CD200,Cd24a,CD274,CD40,CD5L,CD69,CD79A,CD80,CD81,CD8A,CDH17,CDKN2A,CENPX,CFP,CHST3,CIITA,COL10A1,CR2,CSF2RB,CSF3R,CTLA4,CXCR4,DUSP1,DUSP5,E2F6,EBF1,EGR1,EGR3,ERBB2,ESR1,ETS2,FANCA,FCMR,FES,FOS,FOSB,GAB2,GADD45B,GCNT2,GP1BA,GPR83,HBA1/HBA2,HBB,HLA-A,ID3,IFNG,Ifnz (includes others),IGF1R,IL13RA1,IL15,IL18,IL4R,IRAK3,IRF6,ITGA2B,ITGA3,ITGAD,ITK,ITPKB,JCHAIN,KL,KLF4,Klra7 (includes others),LCAT,LILRB3,LRRC32,MARCH1,MEN1,MMP9,MYBL2,NDST2,NFIL3,NOTCH4,NR4A1,PAX5,Pde4d,PFKM,PILRA,PLA2G2D,PLCE1,POU2AF1,PPARG,PPP1R15A,PRNP,PTK2,RAB27B,RASGRP3,RGS1,S1PR3,S1PR5,SIGLEC10,SIGLEC9,SLAMF6,SLFN12L,SLPI,SNCA,SOCS3,SPTB,TIMD4,TIMP2,TNF,TNFAIP3,TNFRSF25,TNFRSF8,TNFSF13B,TNFSF18,TNFSF4,TSPAN33,VEGFA,ZFP36L2	129
Hematological System Development and Function, Tissue Morphology	Quantity of leukocytes	1.26E-15	Decreased	-3.176	 	Abcb1b,ABCG2,ADA,AFF1,AHR,ANPEP,ATF3,BANK1,BATF3,BCL11A,BHLHE40,Bhlhe41,BLK,BLNK,C1orf159,C3,C6,CCR3,CD19,CD200,Cd24a,CD274,CD40,CD5L,CD69,CD79A,CD80,CD81,CD8A,CDH17,CDKN2A,CENPX,CFP,CHST3,CIITA,COL10A1,CR2,CSF2RB,CSF3R,CTLA4,CXCR4,DUSP1,DUSP5,E2F6,EBF1,EGR1,EGR3,ERBB2,ESR1,ETS2,FCMR,FES,FOS,FOSB,GAB2,GADD45B,GCNT2,GPR83,HBB,HLA-A,ID3,IFNG,Ifnz (includes others),IGF1R,IL13RA1,IL15,IL18,IL4R,IRAK3,IRF6,ITGA3,ITGAD,ITK,ITPKB,JCHAIN,KL,KLF4,Klra7 (includes others),LILRB3,LRRC32,MARCH1,MEN1,MMP9,MYBL2,NDST2,NFIL3,NOTCH4,NR4A1,PAX5,Pde4d,PILRA,PLA2G2D,PLCE1,POU2AF1,PPARG,PRNP,PTK2,RASGRP3,RGS1,S1PR3,S1PR5,SIGLEC10,SIGLEC9,SLAMF6,SLFN12L,SLPI,SNCA,SOCS3,TIMD4,TIMP2,TNF,TNFAIP3,TNFRSF25,TNFRSF8,TNFSF13B,TNFSF18,TNFSF4,TSPAN33,VEGFA,ZFP36L2	120
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	Cell movement of phagocytes	3.90E-05	Decreased	-2.967	bias	AIF1,ANXA1,C3,C6,CALCB,CCDC88A,CCR3,CCR8,CD40,CD69,CD80,CD81,CDH1,CEACAM1,CLEC1B,CSF3R,CXCR4,DUSP1,Ear2 (includes others),ERBB2,HEBP1,IFNG,IL15,IL17C,IL18,IL4R,IRF6,ITGAD,KLF6,LCAT,LILRB3,MARCO,MCAM,MMP9,NFKBIZ,NLRC4,Pde4d,PENK,PLA2G4A,PLA2G7,PPARG,PPP1R15A,PRNP,RPL13A,S1PR3,SEMA3E,SERPINF1,SGPP2,SLPI,SOCS3,TIMP2,TNF,TNFAIP3,TNFSF18,TNFSF4,VCAN,VEGFA,VIPR1	58
Tissue Morphology	Quantity of cells	8.84E-13	Decreased	-2.945	 	Abcb1b,ABCG2,ADA,AFF1,AHR,ANPEP,ANXA1,ATF3,BANK1,BATF3,BCAR3,BCL11A,BCL2L2,BHLHE40,Bhlhe41,BLK,BLNK,C1orf159,C3,C6,CACNA1E,CALCB,CCR3,CD19,CD200,Cd24a,CD274,CD40,CD5L,CD69,CD79A,CD80,CD81,CD8A,CDH17,CDKN2A,CENPX,CFP,CHST3,CIITA,COL10A1,COX6A2,CR2,CREM,CSF2RB,CSF3R,CTLA4,CXCR4,DNA2,DSCAM,DSP,DUSP1,DUSP5,E2F6,EBF1,EGR1,EGR3,ERBB2,ESR1,ETS2,FAH,FANCA,FANCL,FCMR,FES,FOS,FOSB,FOSL2,GAB2,GADD45B,GCNT2,GGT1,GNAO1,GP1BA,GPR83,GUCY1A3,HBA1/HBA2,HBB,HEXIM1,HLA-A,HTATIP2,ID3,IFNG,Ifnz (includes others),IFT88,IGF1R,IL13RA1,IL15,IL18,IL4R,INPP4B,IRAK3,IRF6,IRS1,IRS2,ITGA2B,ITGA3,ITGAD,ITK,ITPKB,JAG1,JCHAIN,JUNB,KCNJ10,KIF13A,KIF9,KL,KLF4,KLK3,Klra7 (includes others),KREMEN2,LCAT,LILRB3,LIPE,LRP4,LRRC32,MAP6,MARCH1,MEN1,MMP9,MYBL2,NDST2,NFIL3,NOTCH4,NR1H3,NR4A1,NR4A2,NR4A3,PABPC1L,PAX5,Pde4d,PDE6D,PENK,PER1,Perm1,PFKM,PILRA,PLA2G2D,PLA2G4A,PLCE1,PLCL1,PNPLA8,POU2AF1,PPARG,PPP1R15A,PRDM9,PRNP,PSTPIP2,PTK2,RAB27B,RARB,RASGRP3,RGS1,RP2,RSPH1,RYR1,S1PR3,S1PR5,SERPIND1,SERPINF1,SIGLEC10,SIGLEC9,SLAMF6,SLC17A5,SLFN12L,SLPI,SNCA,SOCS3,SPO11,SPTB,SYTL1,TIMD4,TIMP2,TNF,TNFAIP3,TNFRSF25,TNFRSF8,TNFSF13B,TNFSF18,TNFSF4,TSPAN33,UNC13B,VCAN,VEGFA,ZFP36L2,ZNF365	186
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	Cell movement of antigen presenting cells	5.01E-05	Decreased	-2.931	bias	ANXA1,C3,C6,CALCB,CCDC88A,CCR3,CCR8,CD40,CD80,CD81,CDH1,CEACAM1,CLEC1B,CXCR4,Ear2 (includes others),ERBB2,HEBP1,IFNG,IL15,IL17C,IL18,IL4R,IRF6,KLF6,LCAT,MARCO,NLRC4,PLA2G4A,PPP1R15A,PRNP,RPL13A,S1PR3,SEMA3E,TNF,TNFAIP3,TNFSF18,TNFSF4,VCAN,VEGFA	39
Hematological System Development and Function, Inflammatory Response, Tissue Morphology	Quantity of phagocytes	7.05E-06	Decreased	-2.788	 	ADA,AHR,ATF3,BATF3,BCL11A,Bhlhe41,C3,C6,CCR3,CD19,CD200,CD40,CHST3,CIITA,COL10A1,CR2,CSF3R,CTLA4,FES,GAB2,IFNG,IL15,IL18,IL4R,IRAK3,IRF6,ITGA3,ITGAD,MMP9,NDST2,Pde4d,PILRA,PLA2G2D,PLCE1,PPARG,PTK2,S1PR5,SIGLEC9,SLFN12L,SLPI,SNCA,SOCS3,TIMP2,TNF,TNFAIP3,TSPAN33,VEGFA,ZFP36L2	48
Lymphoid Tissue Structure and Development, Tissue Morphology	Quantity of lymphatic system cells	2.05E-12	Decreased	-2.709	bias	Abcb1b,ABCG2,ADA,AFF1,AHR,ANPEP,BANK1,BATF3,BCL11A,BHLHE40,Bhlhe41,BLK,BLNK,C1orf159,C3,CD19,Cd24a,CD274,CD40,CD5L,CD69,CD79A,CD80,CD81,CD8A,CDH17,CDKN2A,CHST3,CIITA,COL10A1,CR2,CSF2RB,CSF3R,CTLA4,CXCR4,DUSP5,E2F6,EBF1,EGR1,EGR3,ERBB2,ESR1,ETS2,FANCA,FCMR,FES,FOS,FOSB,GAB2,GADD45B,GCNT2,GPR83,HLA-A,ID3,IFNG,Ifnz (includes others),IGF1R,IL13RA1,IL15,IL18,IL4R,ITGAD,ITK,ITPKB,JCHAIN,KL,KLF4,Klra7 (includes others),LILRB3,LRRC32,MARCH1,MMP9,MYBL2,NFIL3,NOTCH4,NR4A1,PAX5,PLA2G2D,POU2AF1,PPARG,PRNP,RASGRP3,RGS1,S1PR3,SIGLEC10,SLAMF6,SLFN12L,SOCS3,TIMD4,TNF,TNFAIP3,TNFRSF25,TNFRSF8,TNFSF13B,TNFSF18,TNFSF4,VEGFA,ZFP36L2	98
Inflammatory Response	Inflammatory response	5.23E-08	Decreased	-2.665	bias	ACVR1,ADA,AHR,AIF1,ANXA1,ATF3,BBS12,BLNK,C3,C6,CALCB,CCDC88A,CCR3,CD200,CD40,CD69,CELA1,CERS6,CIITA,CLEC12A,CSF3R,CXCR4,Ear2 (includes others),EGR1,ERBB2,ESR1,FANCA,FCGR3A/FCGR3B,Fcna,FOS,GGT1,GNAO1,HEBP1,HLA-A,IFNG,IL15,IL18,IL1RL2,IL4R,IRAK3,IRF6,KL,KLF4,KLRG1,LILRB3,LY96,MARCO,MFSD2A,MMP9,NFIL3,NFKBIZ,NLRC4,NR1H3,NR4A2,Pde4d,PENK,PLA2G2D,PLA2G4A,PLA2G7,PPARG,PRG3,PRKCG,PRNP,RGS1,RPL13A,S1PR3,SERPINF1,SHPK,SIGLEC9,SLC11A1,SLPI,SNCA,SOCS3,TIMD4,Tlr11,Tlr13,TLR8,TNF,TNFAIP3,TNFSF18,TNFSF4,TRADD,TUBB1,TUBE1,ULBP1,VEGFA,VIPR1,ZBP1	88
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	Cell movement of leukocytes	1.21E-07	Decreased	-2.592	bias	Abcb1b,ADA,AHR,AIF1,ANXA1,C3,C6,CALCB,CCDC88A,CCR3,CCR8,CD19,CD274,CD40,CD69,CD80,CD81,CD8A,CDH1,CEACAM1,CIITA,CLEC1B,CR2,CSF3R,CTLA4,CXCR4,DUSP1,Ear2 (includes others),ENPP2,ERBB2,ESR1,FCGR3A/FCGR3B,FOS,GNAO1,GPR15,HEBP1,HLA-A,IFNG,IL15,IL17C,IL18,IL4R,IRF6,ITGA3,ITGAD,ITK,KLF6,LCAT,LILRB3,MARCO,MCAM,MMP9,NFIL3,NFKBIZ,NLRC4,NOTCH4,NR1H3,NR4A1,Pde4d,PENK,PLA2G4A,PLA2G7,PLCE1,POU2AF1,PPARG,PPP1R15A,PRNP,RGS1,RPL13A,S1PR3,S1PR5,SEMA3E,SERPINF1,SGPP2,SLPI,SOCS3,TIMP2,TNF,TNFAIP3,TNFRSF8,TNFSF13B,TNFSF18,TNFSF4,VCAN,VEGFA,VIPR1	86
Cell Death and Survival	Cell viability of leukocytes	4.95E-06	Decreased	-2.569	bias	BLNK,C3,CACNB3,CD19,CD40,CD79A,CD80,CD81,CD8A,CSF2RB,CTLA4,CXCR4,EBF1,EGR3,ERBB2,FCGR3A/FCGR3B,FCMR,GAB2,IFNG,IL15,IL17C,IL18,ITPKB,MYBL2,NFIL3,PAX5,PLXNB1,POU2AF1,PTK2,SERPINB9,TNF,TNFRSF8,TNFSF13B	33
