© 2000-2018 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target molecules in dataset	Mechanistic Network	
estriol	 	chemical - endogenous mammalian	Inhibited	-2.000	bias	9.44E-04	IFNG,IRS1,IRS2,TNF	285 (20)	
dexamethasone	 	chemical drug	Inhibited	-2.008	 	4.98E-05	Abcb1b,ACTG2,ANXA1,B4GALT4,BCL2L2,BHLHE40,BNIP3,C3,CALCB,CD40,CD69,CD80,CDKN2A,CEACAM1,CENPX,CHAD,COL10A1,COL11A2,COQ8B,CR2,CXCR4,DPAGT1,DUSP1,DUSP5,EEF1A1,EGR1,EGR3,EHF,EPHA1,FOS,FOSB,FOSL2,GADD45B,GFOD2,GGT1,GPR83,GRK3,GSTM5,HELZ2,HLA-A,HLA-DMB,HLA-DOB,HSPA5,HSPA8,IFIT1B,IFNG,IGF1R,IL15,IL18,IL1R2,IL1RL2,IL4R,IRAK3,IRS1,IRS2,ISG20,JAG1,JUNB,KCNB1,KCNK6,KL,KLF4,LIPE,LSR,MARCO,MMP9,MT-CO2,NAT1,NDUFAF7,NFIL3,NFKBIZ,NR1H3,NR4A1,NUCB2,ODC1,PENK,PER1,PLK2,POU2AF1,PPARG,RARB,RDH5,RGS1,RGS2,SC5D,SCD,SEC14L1,SERPINB9,SERPINF1,SLC25A33,SLC40A1,SLPI,SOCS3,STOM,STON1,Sult1a1,TDO2,TIMP2,TJP1,TLR8,TNF,TNFAIP3,TSPAN33,TTR,UBC,VCAN,VEGFA,VIPR1,ZFP36L2	340 (21)	
INPP5D	1.289	phosphatase	Inhibited	-2.078	 	1.05E-02	CD69,CD80,IFNG,IRAK3,TNF	 	
CD3 group	 	group	Inhibited	-2.190	 	3.89E-02	IFNG,PLA2G4A,PLA2G4B,SCD,TNF	 	
SOX2	 	transcription regulator	Inhibited	-2.230	 	3.47E-04	ABCG2,ACVR1,AHR,ATF3,BHLHE40,CDKN2A,CHST15,CXCR4,DSP,DUSP1,DUSP5,ETS2,EVPL,FOS,GAB2,GADD45B,IER5L,IRF6,IRS1,JAG1,KLF4,KLF6,NOTCH4,PPARG,TEAD2,TGM1,UTF1,VEGFA	207 (9)	
PPARD	1.790	ligand-dependent nuclear receptor	Inhibited	-2.685	bias	3.67E-02	FABP3,IFNG,LGALS4,LIPE,MFSD2A,MMP9,MYCL,PPARG,SCD,SLC27A1,TNF,UBC,VEGFA,Vmn2r88 (includes others),ZBED5	 	
C3AR1	37.633	g-protein coupled receptor	Inhibited	-2.114	bias	1.46E-02	C3,CD40,CD80,HSPA5,IFNG,TNF	 	
ACOX1	-1.515	enzyme	Inhibited	-2.630	 	4.45E-01	ETS2,FAH,HSPA5,KLF6,NR1H3,RGS2,SELENBP1	 	
DMD	6.691	other	Inhibited	-2.000	bias	4.45E-03	BLNK,CAPN3,CHRNE,GATM,GRHL1,IFIT1B,KCNC1,MLF1,OBSCN,PFKM,PSTPIP2,RAP1GAP2,SPTB,SUSD4,WWC1,XK	 	
LTBR	 	transmembrane receptor	Inhibited	-2.724	bias	6.81E-06	CD80,CR2,DSG2,ENPP2,GPM6B,Klra7 (includes others),PLXNB1,POU2AF1,PRNP,TNF,TNFSF13B	154 (11)	
