© 2000-2018 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
L-histidine	 	chemical - endogenous mammalian	Activated	2.042	2.87E-03	ASNS,ATF3,DDIT4,EGR1,ELAVL1,PPP1R15A,SLC38A2	413 (8)	
DNA-methyltransferase	 	group	Activated	2.183	3.49E-02	CDKN1A,IFNG,NAB2,PDLIM2,PTGS2,RGS10	 	
prednisolone	 	chemical drug	Activated	3.958	2.68E-05	AGO2,AKT1,API5,AQR,ATG12,ATG3,ATG4B,ATG5,ATG7,ATG9A,BAX,BCL2L2,BID,BIRC2,BTG1,BYSL,CASP2,CASP3,CAT,CDK5,CDK5R1,CDKN1B,CTSB,CTSS,CXCR4,DAPK1,DUSP1,GABARAP,GABARAPL1,GABARAPL2,GM2A,HSP90AA1,HSPA8,IFNG,IL10,Irgm1,IRS2,ISG20,ITGAM,KLF9,MAP2K1,MAPK8,MRPS16,MYH9,NFIL3,NQO2,NXN,PGK1,PIK3CG,PIK3R4,PIM2,POLB,PRDX1,PRDX2,PRKAA1,PTEN,PTGS2,RHOA,RNF7,RPS6KB1,SGK1,SLC29A3,SPHK2,SPP1,TGFB1,TMEM43,TNFAIP3,TNFSF10,TUBA4A	1268 (14)	
fluocinolone acetonide	 	chemical drug	Activated	3.000	1.00E00	ANGPTL7,BUB3,CXADR,KCNB1,KIF4A,NKRF,PER3,SOCS3,UBR7	 	
alefacept	 	biologic drug	Activated	4.000	4.63E-02	ATG14,CD3D,CD69,CD8A,CST7,CYBA,HOPX,IFNG,IRF2,KLRD1,NCALD,PRF1,SOCS3,STAT2,STAT4,TGFB1	 	
Hdac	 	group	Activated	2.330	1.00E00	ADAMTS1,ADGRL3,AHR,APAF1,ATF3,BCL6,CCNG2,CDKN1A,CSF1R,CXCR4,EGR1,EZH2,FASLG,FOS,GADD45B,GATA3,HOXD11,KLF10,KLF6,KLF9,MXD1,MYBL2,NDRG4,NR4A1,NRP1,RGS10,SPP1,STX1A,TNFSF10	 	
CD3	 	complex	Activated	7.725	6.36E-13	ACTR3,AHR,ALAS1,ANAPC1,AP1B1,ATM,ATP5C1,ATP8A2,BAMBI,BCL2L11,BCL6,BRK1,BTG1,CASP3,CCND2,CCNE1,CCR5,CD247,CD27,CD274,CD28,CD3E,CD69,CD74,CD8A,CD8B,CDK4,CDK7,CDKN1B,CLK1,CNIH4,CREM,CS,CTLA4,CXCR4,CXCR6,CYBA,CYC1,CYCS,DDT,DUSP11,DUSP14,DUSP2,EIF1B,EIF4A3,EIF4E,ELK3,ETS2,EXOSC8,FAM160B1,FASLG,FBL,FDPS,FKBP2,FKBP3,FOS,G6PD,GABARAPL2,GATA3,GDI2,GTPBP4,GZMA,GZMK,HAT1,HAX1,HELLS,HIST1H2AC,HIST2H2AA3/HIST2H2AA4,HLA-DQB1,HNRNPF,HNRNPR,HS2ST1,HSP90AA1,HSPA1A/HSPA1B,HSPA5,HSPA8,ICAM2,IFIT1,IFNG,IL10,IL10RB,IL12RB1,IL12RB2,IL16,IL18R1,IL1RAP,IL21,IL4R,IRF4,IRF8,ITCH,JAK2,JUNB,KATNA1,KDELR2,KDM5D,LEF1,LNPEP,LONP1,LRP1,LTN1,Ly6a (includes others),LYPLA1,MBD1,MT-CO1,NAGA,NAIP,NAMPT,NDUFB6,NFE2L2,NFX1,NIT1,NLRP1,NME1,NR3C2,NR4A1,ODC1,ORAI1,PA2G4,PABPC4,PCSK7,PDCD1,PDCD5,PFDN4,PHB2,PKMYT1,POLR2A,POLR2C,POLR2F,PRF1,PRKACA,PSMA6,PSMC1,PTEN,PTGS2,PTP4A2,PTPN22,PTPRC,PTPRJ,PYGL,RAB2A,RARS,REL,RHOC,RHOH,RNF103,RNF128,RORA,RPS14,RXRA,RYK,SCO1,SDF2,SEC14L1,SH2D2A,SHC1,SLC23A2,SLC5A3,SLC7A1,SMS,SOCS3,SOS1,SPOP,SRPRB,STIM1,STOM,STRN3,STX6,TAF15,TARDBP,TBX21,TCEA1,TFRC,TGFB1,TGFBRAP1,THBS1,TMPO,TMX3,TNFAIP3,TNFRSF9,TNFSF10,TOB2,TRIP10,UBE4A,VBP1,VDAC3,VEGFA,VPS4B,WEE1,XAF1,XRCC6,YES1,ZFP36,ZFP36L1,ZKSCAN1	1148 (18)	
maslinic acid	 	chemical - endogenous non-mammalian	Activated	4.000	1.89E-03	ADAM17,AKT1,ANAPC1,APPL1,BAX,BID,BTRC,CCND2,CDK4,ELP1,FBXW11,FLOT2,GRB2,GSK3B,JUNB,MSH6,PIK3R1,PLCB2,PRKACA,PRKCI,PTGS2,SHC1,SOS1,TGFB1,TGFBR1,THBS1,YWHAG	 	
BMS-690514	 	chemical drug	Activated	2.111	3.64E-02	BCL2L11,BRCA1,CDKN1B,CYCS,HSP90AA1,HSPA4,HSPA8,HSPH1,MCM3,MCM4,TP53RK	 	
GnRH analog	 	biologic drug	Activated	2.036	2.38E-10	ABCC1,ACAA2,ACP1,ADAM8,AKAP10,ANKLE2,AP3S2,AQP7,ARHGAP1,ARHGEF10,ARHGEF7,ATF3,ATP6V1E1,ATRN,BHLHE40,BUB3,CAMKK2,CAPNS1,CASP3,CCNC,CCP110,CDK5,CETN2,CHMP2A,CIAO1,CIB1,CLCN5,CLTA,CLUH,CNPY3,CUL5,CYB5A,CYC1,DCAF7,DSCR3,DUSP1,EIF2B2,ENSA,ERCC5,FBXO7,FOS,FOXJ3,GABARAP,GDI2,GPSM2,GRB2,HADHB,HAUS3,HDDC2,IFNG,KDSR,LIMS1,MAP2K4,MARF1,MIPEP,MTIF2,MTX1,N4BP1,NADK,NARS,NCBP2,NCOA3,NDRG1,NDUFB5,NDUFV2,NFX1,NME2,NR4A2,PDLIM5,PKNOX1,PLA2G16,POLR2E,PPP2R2A,PRCP,PRPF8,PSMA6,PSMD13,PWP1,RAB5C,RALA,RAN,RBMS2,RER1,RIPK1,RNGTT,RPA2,RYK,SDF2,SEC22B,SLC25A44,SLC35A3,SLC7A11,SNRPD3,SRI,SSR1,STX2,TAF15,TCEA1,TFDP1,THOC1,TRIB2,TSC1,TUBA1A,TXK,UBAC1,UQCRB,UROD,VEGFB,VPS52,YIF1A,ZBTB1	 	
