genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000023034	Nr4a1	15370	nuclear receptor subfamily 4, group A, member 1	8.92673728658205	8.93017786730872	10.5932102721213	1.4222304145964e-16	1.79741479796693e-12	486.648833462992
ENSMUSG00000028341	Nr4a3	18124	nuclear receptor subfamily 4, group A, member 3	8.50207436223599	8.50418035682112	10.4704318746617	4.55582650013688e-15	2.87882676543649e-11	362.559599463958
ENSMUSG00000090877	Hspa1b	15511	heat shock protein 1B	6.02793479606031	6.02815171281356	12.722833944272	3.67168082856896e-13	1.19796269749755e-09	65.2513025521358
ENSMUSG00000038418	Egr1	13653	early growth response 1	7.66065104165675	7.66188831201442	9.97089990717132	3.79162113466544e-13	1.19796269749755e-09	202.341865583449
ENSMUSG00000026826	Nr4a2	18227	nuclear receptor subfamily 4, group A, member 2	7.47527037925173	7.47682079358795	9.88509682249462	6.78939954394099e-13	1.71608862872652e-09	177.942877755249
ENSMUSG00000019850	Tnfaip3	21929	tumor necrosis factor, alpha-induced protein 3	5.29348276409301	5.29367540777747	10.7009838617883	1.36373987240022e-12	2.87249075123233e-09	39.2190521623207
ENSMUSG00000091971	Hspa1a	193740	heat shock protein 1A	6.42245322253944	6.42273512658353	12.2814649884402	2.00153425110618e-11	3.61362712363998e-08	85.7730919337748
ENSMUSG00000021250	Fos	14281	FBJ osteosarcoma oncogene	6.35418310412319	6.35524466005368	9.41431285161453	4.15655237706464e-11	6.56631361766787e-08	81.8087415967254
ENSMUSG00000029135	Fosl2	14284	fos-like antigen 2	6.08501163453187	6.08759435001275	8.88551761087654	4.15484506550186e-10	5.83432577086805e-07	67.884562896544
ENSMUSG00000003545	Fosb	14282	FBJ osteosarcoma oncogene B	6.25568230602819	6.25717911785951	8.67455016862181	6.1384458897224e-09	7.75776791543117e-06	76.4096160592592
ENSMUSG00000026628	Atf3	11910	activating transcription factor 3	11.6683281884243	12.1697543483661	6.94488029164674	1.44810089937817e-08	1.66373628784921e-05	3254.74361704105
ENSMUSG00000055170	Ifng	15978	interferon gamma	7.15458635052015	7.15559562843532	9.81556321007717	4.33066556936835e-08	4.56091262213977e-05	142.477110243434
ENSMUSG00000008348	Ubc	22190	ubiquitin C	2.47595442702803	2.47596017372114	13.2559736482141	6.13542612292504e-08	5.96457810319436e-05	5.56335214457379
ENSMUSG00000018476	Kdm6b	216850	KDM1 lysine (K)-specific demethylase 6B	4.87792955320713	4.87848975991901	8.6604868810486	8.86157774129513e-08	7.99947282103484e-05	29.403776449992
ENSMUSG00000021270	Hsp90aa1	15519	heat shock protein 90, alpha (cytosolic), class A member 1	2.96811385227539	2.96813334534269	12.0404131375614	1.2286500384806e-07	0.000101163669283414	7.82512529380281
ENSMUSG00000036931	Nfkbid	243910	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, delta	6.75585055741053	6.75868408730224	7.76372108497604	1.28075542691456e-07	0.000101163669283414	108.072118283363
ENSMUSG00000024401	Tnf	21926	tumor necrosis factor	6.47728675758951	6.48029742807197	8.46842921233886	2.16617597526903e-07	0.000161036070443823	89.0958764783394
ENSMUSG00000035356	Nfkbiz	80859	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta	5.41739007956533	5.41821076449073	8.25447851491564	2.98143165633389e-07	0.000209329629293043	42.7362992930734
ENSMUSG00000066278	Vps37b	330192	vacuolar protein sorting 37B	4.61290131811317	4.61400161992084	8.24042176496843	9.02892483105247e-07	0.000600566063236006	24.4693066620829
ENSMUSG00000018930	Ccl4	20303	chemokine (C-C motif) ligand 4	6.42880336225985	6.43042743455535	8.35312457715891	2.6279070432366e-06	0.00166057446062121	86.1514612844521
ENSMUSG00000015312	Gadd45b	17873	growth arrest and DNA-damage-inducible 45 beta	6.44403254433651	6.44891385733321	6.75371236330222	3.75387985192069e-06	0.00225912064612256	87.0656985611716
ENSMUSG00000021025	Nfkbia	18035	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha	4.3925890904711	4.39327993083673	7.97394982883536	5.05483991794221e-06	0.00290377576740698	21.0039547919381
ENSMUSG00000030103	Bhlhe40	20893	basic helix-loop-helix family, member e40	3.66344100284056	3.66380931943562	8.44056752429316	5.55975706636275e-06	0.00305496564368228	12.6708464847942
ENSMUSG00000005483	Dnajb1	81489	DnaJ heat shock protein family (Hsp40) member B1	4.16485916552352	4.16514229608126	8.87840347818287	6.49105676791933e-06	0.00341808230970685	17.9369061797803
ENSMUSG00000030156	Cd69	12515	CD69 antigen	5.72814204792368	5.72892947293622	8.73534846494158	1.53625186821904e-05	0.00776606044422091	53.008141256311
ENSMUSG00000000982	Ccl3	20302	chemokine (C-C motif) ligand 3	6.35886746342706	6.36019375103306	9.03706823352629	1.63826376421505e-05	0.00796322209698069	82.0748022356984
ENSMUSG00000052837	Junb	16477	jun B proto-oncogene	3.46210297248266	3.46248373564547	8.54707022012076	1.76173175473507e-05	0.00824620959864513	11.0203869240594
ENSMUSG00000033730	Egr3	13655	early growth response 3	6.5474281266609	6.55402759219981	7.57507717814277	1.88498476292427e-05	0.00850801336922748	93.5345929471369
ENSMUSG00000033450	Tagap	72536	T cell activation Rho GTPase activating protein	4.4029474090833	4.40308520462879	9.74747836561436	2.13166788989024e-05	0.00923906176073861	21.1553024887869
ENSMUSG00000037868	Egr2	13654	early growth response 2	6.28688627404208	6.28986276287346	7.91762135052328	2.1931623106675e-05	0.00923906176073861	78.0802774381318
