genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000023034	Nr4a1	15370	nuclear receptor subfamily 4, group A, member 1	8.92673728658205	10.5932102721213	139.250750387819	8.64683039878491e-17	1.09278642579844e-12	486.648833462992
ENSMUSG00000028341	Nr4a3	18124	nuclear receptor subfamily 4, group A, member 3	8.50207436223599	10.4704318746617	116.663017413757	2.74584245717688e-15	1.73509784869007e-11	362.559599463958
ENSMUSG00000090877	Hspa1b	15511	heat shock protein 1B	6.02793479606031	12.722833944272	94.2897774623696	1.37049614815662e-13	5.77344344013447e-10	65.2513025521358
ENSMUSG00000038418	Egr1	13653	early growth response 1	7.66065104165675	9.97089990717132	91.8571061214095	2.17178994110863e-13	6.8617703189327e-10	202.341865583449
ENSMUSG00000026826	Nr4a2	18227	nuclear receptor subfamily 4, group A, member 2	7.47527037925173	9.88509682249462	88.9411371212749	3.8101223611251e-13	8.0915738534222e-10	177.942877755249
ENSMUSG00000019850	Tnfaip3	21929	tumor necrosis factor, alpha-induced protein 3	5.29348276409301	10.7009838617883	88.8989672191424	3.8415447951047e-13	8.0915738534222e-10	39.2190521623207
ENSMUSG00000091971	Hspa1a	193740	heat shock protein 1A	6.42245322253944	12.2814649884402	73.2176254850721	9.77599724535999e-12	1.76498647409799e-08	85.7730919337748
ENSMUSG00000021250	Fos	14281	FBJ osteosarcoma oncogene	6.35418310412319	9.41431285161453	69.8926144077939	2.04449250139205e-11	3.22978702907409e-08	81.8087415967254
ENSMUSG00000029135	Fosl2	14284	fos-like antigen 2	6.08501163453187	8.88551761087654	60.0125160775406	2.0730977248741e-10	2.91108989410654e-07	67.884562896544
ENSMUSG00000008348	Ubc	22190	ubiquitin C	2.47595442702803	13.2559736482141	50.3342144564858	2.46439153004555e-09	3.11449801567157e-06	5.56335214457379
ENSMUSG00000003545	Fosb	14282	FBJ osteosarcoma oncogene B	6.25568230602819	8.67455016862181	48.9686588103041	3.56059299775987e-09	4.09079766415357e-06	76.4096160592592
ENSMUSG00000021270	Hsp90aa1	15519	heat shock protein 90, alpha (cytosolic), class A member 1	2.96811385227539	12.0404131375614	44.6482178411499	1.17978663885001e-08	1.24251196181554e-05	7.82512529380281
ENSMUSG00000026628	Atf3	11910	activating transcription factor 3	11.6683281884243	6.94488029164674	44.3539495500813	1.28258147771177e-08	1.24686651656318e-05	3254.74361704105
ENSMUSG00000055170	Ifng	15978	interferon gamma	7.15458635052015	9.81556321007717	41.3008157625468	3.09911416366864e-08	2.79761462860316e-05	142.477110243434
ENSMUSG00000018476	Kdm6b	216850	KDM1 lysine (K)-specific demethylase 6B	4.87792955320713	8.6604868810486	40.4677117108298	3.9626349950792e-08	3.3386520711874e-05	29.403776449992
ENSMUSG00000036931	Nfkbid	243910	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, delta	6.75585055741053	7.76372108497604	37.7327660902333	9.02357413001811e-08	7.12749561594806e-05	108.072118283363
ENSMUSG00000024401	Tnf	21926	tumor necrosis factor	6.47728675758951	8.46842921233886	36.0925252171829	1.49642965070069e-07	0.000111246340738561	89.0958764783394
ENSMUSG00000035356	Nfkbiz	80859	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta	5.41739007956533	8.25447851491564	35.6689694696056	1.70788536617254e-07	0.000119912529209381	42.7362992930734
