Pathway	N	Up	Down	P.Up	P.Down
MAPK signaling pathway	221	8	4	8.00323226435153e-07	0.920729403397122
IL-17 signaling pathway	61	5	1	2.09389625646827e-06	0.858252249301495
Antigen processing and presentation	65	5	4	2.87737891710855e-06	0.147569598493696
Estrogen signaling pathway	74	5	1	5.48291122587361e-06	0.906642183373961
Legionellosis	48	4	1	2.23287713206013e-05	0.784874907878331
Longevity regulating pathway - multiple species	52	4	1	3.07534087327246e-05	0.81078079020403
Fluid shear stress and atherosclerosis	107	5	5	3.3234376515737e-05	0.246835950159607
Measles	110	5	1	3.79676777855299e-05	0.970697157936575
Osteoclast differentiation	112	5	5	4.1402612200919e-05	0.276782642506503
Protein processing in endoplasmic reticulum	150	5	2	0.000165557438355168	0.952237972351233
Toxoplasmosis	93	4	5	0.000298976118734795	0.168682551658742
Epstein-Barr virus infection	184	5	3	0.000426598962031659	0.932225052939776
Endocytosis	231	5	1	0.00119221809729857	0.999418415022877
Influenza A	135	4	6	0.0012186149698348	0.251537437375897
Rheumatoid arthritis	61	3	7	0.00123452240148768	0.00291366114505521
Intestinal immune network for IgA production	30	1	5	0.0995474101598972	0.00223233731769308
Circadian rhythm	25	2	0	0.00338443586741483	1
Prion diseases	25	2	1	0.00338443586741483	0.55046284707674
Th17 cell differentiation	90	3	3	0.00375656950022375	0.541512835851506
TNF signaling pathway	94	3	3	0.00424499412524697	0.571125646880411
