genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000023034	Nr4a1	15370	nuclear receptor subfamily 4, group A, member 1	-7.5863484388724	10.5932102721213	72.534078181112	1.13589464776929e-11	1.00354461450815e-07	-192.184535174925
ENSMUSG00000019850	Tnfaip3	21929	tumor necrosis factor, alpha-induced protein 3	-6.32680095847639	10.7009838617883	71.0209480345573	1.58813833598378e-11	1.00354461450815e-07	-80.2706657772628
ENSMUSG00000020680	Taf15	70439	TATA-box binding protein associated factor 15	-15.7136538985817	8.57672799678543	69.5828089729479	3.30459145061649e-11	1.39211422509637e-07	-53737.9586672204
ENSMUSG00000046434	Hnrnpa1	15382	heterogeneous nuclear ribonucleoprotein A1	-11.7839480051269	8.87388613269915	62.0231992179272	1.27326039187105e-10	4.02286620811657e-07	-3526.32078419348
ENSMUSG00000037563	Rps16	20055	ribosomal protein S16	-15.8554124270935	8.15383344692942	62.3072123847878	1.70449146693543e-10	4.30827263182598e-07	-59286.3528139319
ENSMUSG00000037940	Inpp4b	234515	inositol polyphosphate-4-phosphatase, type II	-14.7982310618499	8.08263735947183	57.8537261497892	4.90792125628262e-10	1.03377181394833e-06	-28491.2453337744
ENSMUSG00000028341	Nr4a3	18124	nuclear receptor subfamily 4, group A, member 3	-6.90302120653411	10.4704318746617	55.6245300533604	6.1955168012978e-10	1.11855630478288e-06	-119.67858448461
ENSMUSG00000021218	Gdi2	14569	guanosine diphosphate (GDP) dissociation inhibitor 2	-15.4492787220193	8.69154241328895	53.7381537273848	1.35706925849612e-09	2.14383016110924e-06	-44740.0336806564
ENSMUSG00000038418	Egr1	13653	early growth response 1	-6.90564857504874	9.97089990717132	50.2730786668777	2.50506358076912e-09	3.51766594819557e-06	-119.89673609058
ENSMUSG00000045382	Cxcr4	12767	chemokine (C-X-C motif) receptor 4	-12.7947687772191	6.80074854489684	48.9576436684406	3.57124977335056e-09	4.38981220400925e-06	-7105.73798717474
ENSMUSG00000031666	Rbl2	19651	RB transcriptional corepressor like 2	-14.356287074519	8.10535986917467	49.7115604502211	3.82085252762318e-09	4.38981220400925e-06	-20973.602643315
ENSMUSG00000026826	Nr4a2	18227	nuclear receptor subfamily 4, group A, member 2	-6.50342249546524	9.88509682249462	45.5942367631317	9.03467670196866e-09	9.51502034662333e-06	-90.7246383366424
ENSMUSG00000031627	Irf2	16363	interferon regulatory factor 2	-10.934984480918	7.61353131643643	44.1305652536062	1.36678858696569e-08	1.32872878169787e-05	-1957.75495073315
ENSMUSG00000074656	Eif2s2	67204	eukaryotic translation initiation factor 2, subunit 2 (beta)	-15.5255351513717	8.47410143939847	42.9605860956237	2.39160959310361e-08	2.15894014554596e-05	-47168.4689139762
ENSMUSG00000032116	Stt3a	16430	STT3, subunit of the oligosaccharyltransferase complex, homolog A (S. cerevisiae)	-14.5268573720351	7.78278285548434	41.9456006677186	3.18780695147285e-08	2.68583361684759e-05	-23605.859163095
ENSMUSG00000037646	Vps13b	666173	vacuolar protein sorting 13B	-13.9694893556464	7.16352578313443	40.5837265993472	4.71156422643619e-08	3.72154679335629e-05	-16041.1433608478
ENSMUSG00000032253	Phip	83946	pleckstrin homology domain interacting protein	-10.9744757322666	7.74373275152829	39.5672125027197	5.18160100201862e-08	3.7672269142396e-05	-2012.08527182468
ENSMUSG00000040785	Ttc3	22129	tetratricopeptide repeat domain 3	-13.4670627727524	7.44586119229881	40.0355084914979	5.52332510151699e-08	3.7672269142396e-05	-11323.7389296086
ENSMUSG00000054766	Set	56086	SET nuclear oncogene	-14.1322902365255	7.35318010557765	39.9492881948421	5.66365812395572e-08	3.7672269142396e-05	-17957.3922257571
