genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000068457	Uty	22290	ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome	-13.2301830195341	-144269491.16985	5.19275775877616	1.30666608341168e-08	0.000161398366803028	-9609.08282998358
ENSMUSG00000056673	Kdm5d	20592	lysine (K)-specific demethylase 5D	-12.6573765444771	-144269490.59697	5.28481511608845	2.71087088800527e-08	0.000161398366803028	-6460.26013854123
ENSMUSG00000069045	Ddx3y	26900	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	-13.3442336647558	-144269491.283912	6.33408355276138	3.83126365254855e-08	0.000161398366803028	-10399.551315502
ENSMUSG00000069049	Eif2s3y	26908	eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked	-10.1109526749363	-10.5895479514022	6.14159486458686	3.98473190863521e-06	0.012589760465333	-1105.85972089818
ENSMUSG00000025077	Dclre1a	55947	DNA cross-link repair 1A	11.0040659077494	144269488.943181	2.31569583132367	8.06585667167529e-06	0.0203872593233265	2053.77996299517
ENSMUSG00000043061	Tmem18	211986	transmembrane protein 18	12.6020712027955	144269490.541656	3.9169391059119	1.30939427320797e-05	0.0275802080413373	6217.29450106807
ENSMUSG00000024800	Rpp30	54364	ribonuclease P/MRP 30 subunit	11.7401554631816	144269489.679551	3.39012032885363	1.9574606179767e-05	0.0321783234449626	3420.8887292079
ENSMUSG00000015750	Aph1a	226548	aph1 homolog A, gamma secretase subunit	10.3711519596583	144269488.30988	3.43489307073125	2.11277594828193e-05	0.0321783234449626	1324.42640128023
ENSMUSG00000030471	Zdhhc13	243983	zinc finger, DHHC domain containing 13	10.3794882240776	11.5700572187764	2.98813837149787	2.45712262111588e-05	0.0321783234449626	1332.10143176464
ENSMUSG00000018986	Slfn3	20557	schlafen 3	11.5445379349368	144269489.483872	2.94553651542158	2.54615630993532e-05	0.0321783234449626	2987.11680071227
ENSMUSG00000073792	Alg6	320438	asparagine-linked glycosylation 6 (alpha-1,3,-glucosyltransferase)	11.4813451407475	144269489.420657	2.69183396300122	3.93267125710533e-05	0.045182817588452	2859.09955503653
ENSMUSG00000029802	Abcg2	26357	ATP binding cassette subfamily G member 2 (Junior blood group)	11.0981611871376	144269489.03732	2.63302962060222	4.30783202323226e-05	0.0453686509246744	2192.19616690359
