genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000068457	Uty	22290	ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome	-13.2301830195341	5.19275775877616	46.7808981840609	1.20205959098364e-08	0.000149131777809438	-9609.08282998358
ENSMUSG00000056673	Kdm5d	20592	lysine (K)-specific demethylase 5D	-12.6573765444771	5.28481511608845	44.0363574752657	2.48228138877717e-08	0.000149131777809438	-6460.26013854123
ENSMUSG00000069045	Ddx3y	26900	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	-13.3442336647558	6.33408355276138	43.046198244219	3.54008018221485e-08	0.000149131777809438	-10399.551315502
ENSMUSG00000069049	Eif2s3y	26908	eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked	-10.1109526749363	6.14159486458686	26.8792136367741	3.63468211551129e-06	0.0114837781439579	-1105.85972089818
ENSMUSG00000025077	Dclre1a	55947	DNA cross-link repair 1A	11.0040659077494	2.31569583132367	25.7344899305358	7.66447481901407e-06	0.01937272655254	2053.77996299517
ENSMUSG00000043061	Tmem18	211986	transmembrane protein 18	12.6020712027955	3.9169391059119	23.7314400059286	1.25845134719113e-05	0.0265071802096693	6217.29450106807
ENSMUSG00000024800	Rpp30	54364	ribonuclease P/MRP 30 subunit	11.7401554631816	3.39012032885363	22.6947174306985	1.87652434326182e-05	0.0309080738325366	3420.8887292079
ENSMUSG00000015750	Aph1a	226548	aph1 homolog A, gamma secretase subunit	10.3711519596583	3.43489307073125	22.1295640555414	1.99645979818582e-05	0.0309080738325366	1324.42640128023
ENSMUSG00000030471	Zdhhc13	243983	zinc finger, DHHC domain containing 13	10.3794882240776	2.98813837149787	21.8994363972302	2.31637277818449e-05	0.0309080738325366	1332.10143176464
ENSMUSG00000018986	Slfn3	20557	schlafen 3	11.5445379349368	2.94553651542158	22.2714211492399	2.4456459750385e-05	0.0309080738325366	2987.11680071227
ENSMUSG00000073792	Alg6	320438	asparagine-linked glycosylation 6 (alpha-1,3,-glucosyltransferase)	11.4813451407475	2.69183396300122	21.015413036506	3.78786933209763e-05	0.0435191751082271	2859.09955503653
ENSMUSG00000029802	Abcg2	26357	ATP binding cassette subfamily G member 2 (Junior blood group)	11.0981611871376	2.63302962060222	20.7634148500555	4.14009237272328e-05	0.0436020728387306	2192.19616690359
