genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000020680	Taf15	70439	TATA-box binding protein associated factor 15	14.5738576776511	8.57672799678543	70.4523527326692	2.73453253713279e-11	3.45590222042842e-07	24387.5579012226
ENSMUSG00000046434	Hnrnpa1	15382	heterogeneous nuclear ribonucleoprotein A1	9.93235608434491	8.87388613269915	57.1457801723941	4.21784644999039e-10	2.66525717174893e-06	977.095715651404
ENSMUSG00000037940	Inpp4b	234515	inositol polyphosphate-4-phosphatase, type II	13.3769852078686	8.08263735947183	56.4610628381826	6.89351605041809e-10	2.90400852817279e-06	10638.3383567999
ENSMUSG00000040785	Ttc3	22129	tetratricopeptide repeat domain 3	14.6681671762644	7.44586119229881	54.7666956148336	1.04853824823181e-09	3.06278347125167e-06	26035.0431299441
ENSMUSG00000031666	Rbl2	19651	RB transcriptional corepressor like 2	13.7878634189582	8.10535986917467	54.1885949270196	1.21173582499275e-09	3.06278347125167e-06	14143.6162773405
ENSMUSG00000037849	LOC102639543	102639543	signaling mucin HKR1-like	11.1984622992019	7.03223005977313	52.2929922075364	1.46607784628754e-09	3.08804863689699e-06	2350.02811124523
ENSMUSG00000061991	Hist1h2af	319173	histone cluster 1, H2af	-13.6188668563363	8.37020763382776	50.681012219714	3.27024707981823e-09	5.90419751353469e-06	-12580.1966726826
ENSMUSG00000074656	Eif2s2	67204	eukaryotic translation initiation factor 2, subunit 2 (beta)	14.8607038573102	8.47410143939847	45.9431674092213	1.046644204393e-08	1.65343618188984e-05	29752.0994975769
ENSMUSG00000021218	Gdi2	14569	guanosine diphosphate (GDP) dissociation inhibitor 2	12.7400358769417	8.69154241328895	44.2373182026723	1.67360920335051e-08	2.35011923466042e-05	6841.21036106791
ENSMUSG00000075595	Zfp652	268469	zinc finger protein 652	13.3780656416942	6.83881131733039	42.0410742530106	3.10236706335581e-08	3.80471949442698e-05	10646.308388783
ENSMUSG00000024384	Iws1	73473	IWS1, SUPT6 interacting protein	9.89225913907886	7.48526911244513	41.0753071074579	3.31159316653717e-08	3.80471949442698e-05	950.313121266218
ENSMUSG00000031627	Irf2	16363	interferon regulatory factor 2	8.97361082378797	7.61353131643643	39.1483011967536	5.87551000600324e-08	6.18789128798908e-05	502.71984259014
ENSMUSG00000021149	Gtpbp4	69237	GTP binding protein 4	8.82805165945362	7.62716398902829	38.764732599017	6.59546326621984e-08	6.41180498142203e-05	454.47327799008
