Pathway	N	Up	Down	P.Up	P.Down
RNA transport	147	22	13	0.306889013827301	0.000571869544622711
Ubiquitin mediated proteolysis	126	29	5	0.00189239788357135	0.341699940804018
Carbon metabolism	91	22	2	0.00336621276859171	0.7717291394474
Insulin resistance	82	20	2	0.00452974789113367	0.719917979744747
Citrate cycle (TCA cycle)	27	9	0	0.00623950689202809	1
Insulin signaling pathway	109	24	0	0.00796030270205054	1
mTOR signaling pathway	121	26	0	0.00820870017346381	1
Oxidative phosphorylation	116	25	3	0.00906148299012834	0.693322030508104
mRNA surveillance pathway	79	8	7	0.840704822639742	0.010380398058802
Metabolic pathways	928	147	20	0.0109595481606699	0.965930869654336
Synaptic vesicle cycle	50	13	0	0.0116900788458687	1
Renal cell carcinoma	62	15	1	0.0139423233624477	0.854841117789666
Parkinson's disease	122	25	2	0.0169253206541155	0.89143779276931
RNA degradation	70	16	2	0.019334011277411	0.635855985851894
SNARE interactions in vesicular transport	32	9	1	0.0202492483520175	0.630234397156177
Endometrial cancer	55	13	0	0.025508306400839	1
Valine, leucine and isoleucine degradation	44	11	1	0.025940821844653	0.745544768327124
ErbB signaling pathway	73	16	1	0.0280734812593655	0.897032606287037
Taurine and hypotaurine metabolism	9	1	2	0.722833439956829	0.0291149094301424
Glycosaminoglycan degradation	14	5	0	0.0292140051953485	1
