Pathway	N	Up	Down	P.Up	P.Down
Metabolic pathways	928	31	400	0.801419893737472	4.53114108281399e-13
Pyrimidine metabolism	84	2	52	0.834439380121835	2.14426494403204e-08
Oxidative phosphorylation	116	16	54	7.74292526237918e-06	0.0008884173493243
RNA degradation	70	1	40	0.934183679299265	1.4941607524687e-05
Purine metabolism	132	3	64	0.883022056984117	7.21758416865022e-05
Lysosome	113	2	56	0.932379258040439	9.45453946750784e-05
RNA polymerase	28	0	19	1	0.000119192708405165
Cardiac muscle contraction	54	9	9	0.000178229893765642	0.997027231546717
Parkinson's disease	122	14	56	0.00021683390794633	0.00109478919964512
Amino sugar and nucleotide sugar metabolism	42	0	25	1	0.000247638353901273
Mismatch repair	22	0	15	1	0.000590172158267237
Valine, leucine and isoleucine degradation	44	0	25	1	0.000662345646559178
Ubiquitin mediated proteolysis	126	1	58	0.992618352970068	0.000827124763426386
Huntington's disease	163	10	72	0.0926786652872381	0.00091226417424686
Carbon metabolism	91	1	44	0.970991625955865	0.000986434896986318
SNARE interactions in vesicular transport	32	0	19	1	0.00142661191273365
Homologous recombination	37	0	21	1	0.00179816098428516
IL-17 signaling pathway	61	8	12	0.0020632200333481	0.9902605413443
Fatty acid elongation	20	0	13	1	0.00267309791767254
Basal transcription factors	38	1	21	0.771253041600196	0.00280823028168379
