Pathway	N	Up	Down	P.Up	P.Down
Metabolic pathways	928	31	181	0.95457233844406	4.91991236692958e-05
Amino sugar and nucleotide sugar metabolism	42	0	17	1	5.12223324999131e-05
Systemic lupus erythematosus	90	3	28	0.756490685683357	7.50042113639233e-05
Protein digestion and absorption	35	8	2	0.00010098050293424	0.975186005871694
Necroptosis	132	2	35	0.980639711110187	0.000365295041719437
Pyrimidine metabolism	84	1	25	0.976415433627975	0.000383595317320872
Retrograde endocannabinoid signaling	106	13	17	0.000672706916513998	0.414113828619618
Parkinson's disease	122	14	27	0.000831131155517736	0.020939075013567
RNA polymerase	28	0	11	1	0.00145863998377211
Oxidative phosphorylation	116	13	25	0.00156766779929665	0.0344160606470802
MAPK signaling pathway	221	20	21	0.0015691864159019	0.993801587265365
ECM-receptor interaction	46	7	6	0.00346531079598208	0.702178974303233
Cytokine-cytokine receptor interaction	142	14	15	0.00353368056192738	0.948934154234288
Platinum drug resistance	63	0	18	1	0.00393202662951597
Alcoholism	129	5	31	0.66595400714793	0.00412218232093655
N-Glycan biosynthesis	45	1	14	0.865235556385085	0.00455443614475252
Nicotinate and nicotinamide metabolism	24	0	9	1	0.00562653064097007
Purine metabolism	132	2	31	0.980639711110187	0.00590595123472936
Amoebiasis	66	8	10	0.00758190205023971	0.532075176769009
cGMP-PKG signaling pathway	110	11	10	0.00828509499939734	0.974802713490066
