Pathway	N	Up	Down	P.Up	P.Down
IL-17 signaling pathway	61	6	1	2.96372535274201e-07	0.904155044727166
Estrogen signaling pathway	74	6	1	9.45193187182291e-07	0.941940258635551
MAPK signaling pathway	221	8	4	6.1368701966219e-06	0.969169498619592
Fluid shear stress and atherosclerosis	107	6	6	8.22372674263796e-06	0.215233464207901
Antigen processing and presentation	65	5	5	1.05369279624892e-05	0.097257902471733
Legionellosis	48	4	1	6.26613918268152e-05	0.841862850520392
Longevity regulating pathway - multiple species	52	4	1	8.60211103461649e-05	0.864435454200539
Intestinal immune network for IgA production	30	1	7	0.12707770597983	9.78690778433711e-05
Measles	110	5	1	0.000133801446864885	0.985551330062134
Osteoclast differentiation	112	5	5	0.000145658490994087	0.413803501036642
Rheumatoid arthritis	61	4	9	0.000160889203684537	0.000425596133057237
Pathways in cancer	374	8	15	0.000255504029748197	0.437299421538292
Chemical carcinogenesis	26	0	6	1	0.000332830783493956
Influenza A	135	5	6	0.000347918156116187	0.39822111046759
AGE-RAGE signaling pathway in diabetic complica...	78	4	1	0.000415440728326389	0.950243934819177
Cytokine-cytokine receptor interaction	142	5	11	0.000439001462876561	0.0182589866028469
Protein processing in endoplasmic reticulum	150	5	2	0.000563973216807465	0.978730609072008
Endocytosis	231	6	2	0.000585268299810221	0.998665518387443
Chagas disease (American trypanosomiasis)	89	4	1	0.00068543308698362	0.967461037971248
Th17 cell differentiation	90	4	4	0.000714920382649313	0.440500381079393
