genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000023034	Nr4a1	15370	nuclear receptor subfamily 4, group A, member 1	7.52732565021185	10.5932102721213	112.810470489966	5.18288672110032e-15	6.55013223812658e-11	184.480644773513
ENSMUSG00000028341	Nr4a3	18124	nuclear receptor subfamily 4, group A, member 3	6.40820939940712	10.4704318746617	80.8919075725998	1.91296298079224e-12	1.20880130756262e-08	84.9304152955402
ENSMUSG00000019850	Tnfaip3	21929	tumor necrosis factor, alpha-induced protein 3	4.43239936136398	10.7009838617883	69.4234570825553	2.27244941139627e-11	9.57307188707536e-08	21.5916166316015
ENSMUSG00000026826	Nr4a2	18227	nuclear receptor subfamily 4, group A, member 2	5.79283582675598	9.88509682249462	63.4172753378368	9.12652399192898e-11	2.88352525524996e-07	55.4392496735148
ENSMUSG00000029135	Fosl2	14284	fos-like antigen 2	6.15240947859381	8.88551761087654	62.0269653390774	1.27210861594178e-10	3.21538173765444e-07	71.1311448460055
ENSMUSG00000090877	Hspa1b	15511	heat shock protein 1B	4.25531967998921	12.722833944272	57.1247795299363	4.24013967221875e-10	8.93114752958344e-07	19.097603167502
ENSMUSG00000038418	Egr1	13653	early growth response 1	5.129866074282	9.97089990717132	53.0873727817841	1.1909363795266e-09	2.15015056635103e-06	35.0141479179338
ENSMUSG00000091971	Hspa1a	193740	heat shock protein 1A	4.40845696619429	12.2814649884402	42.8298564395752	1.9851709264443e-08	3.13607377105039e-05	21.2362476560158
ENSMUSG00000061808	Ttr	22139	transthyretin	13.1539572902808	7.6830431046064	38.9157445753423	6.30167432123555e-08	8.84895111908609e-05	9114.55995529694
ENSMUSG00000066278	Vps37b	330192	vacuolar protein sorting 37B	4.78012420557726	8.24042176496843	35.4176221246521	1.84780523234701e-07	0.000233525625264015	27.4764593880144
ENSMUSG00000026628	Atf3	11910	activating transcription factor 3	9.0534919119779	6.94488029164674	32.1879013329225	5.1908208966723e-07	0.000596378131746768	531.340146307131
ENSMUSG00000021250	Fos	14281	FBJ osteosarcoma oncogene	3.73274912905226	9.41431285161453	31.8638170538483	5.77055619681823e-07	0.000607735743461574	13.2944218109645
ENSMUSG00000034765	Dusp5	240672	dual specificity phosphatase 5	4.73048617198077	7.35559711134108	27.0250843350492	2.95412899746647e-06	0.00287186786692163	26.5471700561922
ENSMUSG00000024042	Sik1	17691	salt inducible kinase 1	5.01984964269692	6.645760400498	26.2705152916088	3.84663486591282e-06	0.00326208892602599	32.4433219424785
ENSMUSG00000045573	Penk	18619	preproenkephalin	-11.6167361002689	4.08679745003227	27.8647493057943	3.87176245374188e-06	0.00326208892602599	-3140.40758685829
ENSMUSG00000030103	Bhlhe40	20893	basic helix-loop-helix family, member e40	3.34845955756525	8.44056752429316	25.0326343427512	5.96626959019781e-06	0.0047126071925575	10.1856034981402
ENSMUSG00000003545	Fosb	14282	FBJ osteosarcoma oncogene B	3.80672132147723	8.67455016862181	23.5580345488412	1.01634393451353e-05	0.0075556203790482	13.9938528515639
ENSMUSG00000067149	Jchain	16069	immunoglobulin joining chain	-10.628290080188	2.49956148418996	25.6167197148228	1.26516416806985e-05	0.00888285819781489	-1582.829430452
ENSMUSG00000008348	Ubc	22190	ubiquitin C	1.55311194322271	13.2559736482141	22.3247561342181	1.60042818059901e-05	0.0106453743928475	2.93449437610231
ENSMUSG00000021270	Hsp90aa1	15519	heat shock protein 90, alpha (cytosolic), class A member 1	1.93141293135624	12.0404131375614	21.5496604795278	2.13782769492583e-05	0.0135089332042363	3.81428575820991
ENSMUSG00000052837	Junb	16477	jun B proto-oncogene	3.0378536388792	8.54707022012076	20.5581266400654	3.11115324586482e-05	0.0179039085566699	8.21268314844751
ENSMUSG00000089762	Ier5l	72500	immediate early response 5-like	6.98034565955949	5.34905865868765	20.553471098169	3.11667976140796e-05	0.0179039085566699	126.268035482243
ENSMUSG00000015656	Hspa8	15481	heat shock protein 8	1.59700641585619	13.6935327657234	20.4304807587288	3.2664357934693e-05	0.0179483545903761	3.02514944777883
ENSMUSG00000053641	Dennd4a	102442	DENN/MADD domain containing 4A	3.19515025096926	9.4573849465931	20.2396351779752	3.51378984809773e-05	0.0185030317084413	9.15874708232226
ENSMUSG00000070369	Itgad	381924	integrin, alpha D	-10.4279885762063	2.38523637851542	20.9308593142953	4.58207430919796e-05	0.0231633020478575	-1377.64511277884
ENSMUSG00000025964	Adam23	23792	a disintegrin and metallopeptidase domain 23	-9.49269517331377	2.5282987419263	20.3105345220713	5.04196084540338e-05	0.02450780814008	-720.420374637774
ENSMUSG00000026360	Rgs2	19735	regulator of G-protein signaling 2	4.77459430445539	7.77722842124391	18.8557954163559	6.00381831767929e-05	0.028102316999567	27.3713427339251
ENSMUSG00000030178	Klra13-ps	16631	killer cell lectin-like receptor subfamily A, member 13, pseudogene	-9.27506261747391	1.31490894908649	20.0747500122091	7.34007734624333e-05	0.0324185704519942	-619.543863236771
ENSMUSG00000072596	Ear2	13587	eosinophil-associated, ribonuclease A family, member 2	-10.4536288528808	1.63255179512462	20.0347229873516	7.43898198376193e-05	0.0324185704519942	-1402.34815757832
ENSMUSG00000073471	Rsph3a	66832	radial spoke 3A homolog (Chlamydomonas)	-9.26314046131253	1.06070641564345	19.684599683874	8.36677017680403e-05	0.0351554924616246	-614.445167467405
ENSMUSG00000062905	Vmn1r32	171188	vomeronasal 1 receptor 32	12.6935651731345	3.99219625991335	18.9367407363484	8.83829560542632e-05	0.0351554924616246	6624.359129544
ENSMUSG00000044309	Apol7c	108956	apolipoprotein L 7c	-8.52090069802444	4.18717354280203	18.4659344907153	9.20229002414362e-05	0.0351554924616246	-367.321796905032
ENSMUSG00000015750	Aph1a	226548	aph1 homolog A, gamma secretase subunit	-8.73916970547403	3.43489307073125	18.036573990449	9.23884072177506e-05	0.0351554924616246	-427.319014903127
ENSMUSG00000047293	Gpr15	71223	G protein-coupled receptor 15	-10.1332338942323	1.43128574400307	18.8490904629478	9.45787896577968e-05	0.0351554924616246	-1123.07136779823
ENSMUSG00000030471	Zdhhc13	243983	zinc finger, DHHC domain containing 13	-8.86926407299616	2.98813837149787	18.0161285750954	9.77387782456249e-05	0.0352920765562345	-467.64309424396
ENSMUSG00000048621	Gm6377	622976	predicted gene 6377	-8.59572658473528	1.98278935170679	18.9907592826047	0.000105871918018789	0.0371669249978183	-386.8757751569
ENSMUSG00000025077	Dclre1a	55947	DNA cross-link repair 1A	-8.05111507874815	2.31569583132367	17.9715662557813	0.000113906105724352	0.0386649252317591	-265.232743317815
ENSMUSG00000042474	Fcmr	69169	Fc fragment of IgM receptor	-8.45406702068649	1.70859474118451	18.7176015878168	0.000116257885647005	0.0386649252317591	-350.693534030998
ENSMUSG00000091754	Gm3636	100041151	predicted gene 3636	-9.65629413399408	2.1572684382904	17.9299162666064	0.000131457533505511	0.0415383587536277	-806.926877303071
ENSMUSG00000031505	Naxd	69225	NAD(P)HX dehydratase	-8.47015621249685	0.66198789307229	17.4091099545245	0.000140553040614942	0.0415383587536277	-354.626420086414
ENSMUSG00000026034	Clk1	12747	CDC-like kinase 1	2.98981256575625	9.63439710328699	16.7148182030342	0.000140765391711377	0.0415383587536277	7.94370785375987
ENSMUSG00000018986	Slfn3	20557	schlafen 3	-9.27762186705255	2.94553651542158	17.2930142953687	0.000146826519259481	0.0415383587536277	-620.643870172363
ENSMUSG00000037548	H2-DMb2	15000	histocompatibility 2, class II, locus Mb2	-8.14487051740169	2.12320776871473	16.8705280870907	0.000155784366646518	0.0415383587536277	-283.041642981586
ENSMUSG00000093979	Gm2237	100039441	predicted gene 2237	-9.4358746645981	1.32028383239042	17.8416513843944	0.000157510625469298	0.0415383587536277	-692.598121612388
ENSMUSG00000022504	Ciita	12265	class II transactivator	-8.69828198702846	1.40570121381256	17.0673816404434	0.000159875294724882	0.0415383587536277	-415.378284943611
ENSMUSG00000031887	Tradd	71609	TNFRSF1A-associated via death domain	-8.45253649890686	1.04767782137175	17.0326523616961	0.000161989528189945	0.0415383587536277	-350.32168865303
ENSMUSG00000031342	Gpm6b	14758	glycoprotein m6b	-8.57247050870988	0.883949055045299	16.6501301484706	0.000169747757765053	0.0415383587536277	-380.689378677967
ENSMUSG00000051147	Nat2	17961	N-acetyltransferase 2 (arylamine N-acetyltransferase)	-8.83800006264798	1.3719683094342	17.2064973307587	0.000171064508596931	0.0415383587536277	-457.618022998405
ENSMUSG00000045136	Tubb2b	73710	tubulin, beta 2B class IIB	-8.61097491098738	1.50004042863429	17.169839742804	0.000173380308992625	0.0415383587536277	-390.986480015996
ENSMUSG00000095677	Dynlt1f	100040531	dynein light chain Tctex-type 1F	-9.50958663615398	1.51581602093779	16.8426328667468	0.000174089237737656	0.0415383587536277	-728.904822966851
ENSMUSG00000025993	Slc40a1	53945	solute carrier family 40 (iron-regulated transporter), member 1	-9.29359507633055	0.868194588101035	17.5517677540332	0.000174378171702838	0.0415383587536277	-627.553687066552
ENSMUSG00000041538	H2-Ob	15002	histocompatibility 2, O region beta locus	-8.21196361616159	0.895196176159422	17.4786105218199	0.000178930868874268	0.0415383587536277	-296.515480362367
ENSMUSG00000064351	COX1	17708	cytochrome c oxidase subunit I	1.04587563583494	16.0894754119527	16.0951310452319	0.000181152525260489	0.0415383587536277	2.06461908761662
ENSMUSG00000028229	Rmdn1	66302	regulator of microtubule dynamics 1	-9.31401292000111	1.15512355414293	17.0133563514145	0.000183644335606895	0.0415383587536277	-636.498330590124
ENSMUSG00000024800	Rpp30	54364	ribonuclease P/MRP 30 subunit	-8.87478647199752	3.39012032885363	16.3215774233102	0.000197460357776153	0.0415383587536277	-469.4365853913
ENSMUSG00000001065	Zfp276	57247	zinc finger protein (C2H2 type) 276	-7.98347767578138	3.52538868125744	15.8355566081398	0.0002014986588635	0.0415383587536277	-253.084909230803
ENSMUSG00000022057	Adamdec1	58860	ADAM-like, decysin 1	-8.31009296336724	-0.183222755810333	16.7312195819196	0.000203804050972311	0.0415383587536277	-317.385621996715
ENSMUSG00000015854	Cd5l	11801	CD5 antigen-like	-9.0374284988481	0.40070310818624	16.7083260714288	0.000205539251483668	0.0415383587536277	-525.456854632992
ENSMUSG00000021906	Oxnad1	218885	oxidoreductase NAD-binding domain containing 1	-8.67266048105251	1.56163291526347	15.8707251691415	0.000209106582096368	0.0415383587536277	-408.066503703784
ENSMUSG00000039062	Anpep	16790	alanyl (membrane) aminopeptidase	-8.12801362641597	0.0161407912351298	16.5246439902293	0.000220038601196836	0.0415383587536277	-279.753743502753
