Pathway	N	Up	Down	P.Up	P.Down
Metabolic pathways	928	17	297	0.428782142280064	2.63242038558424e-09
Pyrimidine metabolism	84	0	41	1	5.31969150943472e-07
Oxidative phosphorylation	116	12	50	7.0159598630678e-07	3.53225019847615e-06
Parkinson's disease	122	12	52	1.2095862851337e-06	3.39627928861592e-06
Huntington's disease	163	7	64	0.0225383446439521	7.68089112324509e-06
Purine metabolism	132	1	53	0.899803086394076	2.17703396605075e-05
Non-alcoholic fatty liver disease (NAFLD)	131	5	52	0.0754584538724341	3.74516269871755e-05
Ubiquitin mediated proteolysis	126	0	50	1	5.28734926374005e-05
Carbon metabolism	91	1	37	0.794727529467343	0.000268526313354895
Cardiac muscle contraction	54	6	9	0.000312264674111835	0.924393561641145
RNA degradation	70	0	30	1	0.000341220044194207
Alzheimer's disease	153	9	55	0.0013045931679192	0.000485683467819937
Lysosome	113	2	42	0.581582732483868	0.00100752274431005
Systemic lupus erythematosus	90	0	35	1	0.00102178496202263
B cell receptor signaling pathway	68	0	28	1	0.00113615248450677
Necroptosis	132	2	47	0.66602933113399	0.00151322670591234
Amino sugar and nucleotide sugar metabolism	42	0	19	1	0.00189196901443318
Retrograde endocannabinoid signaling	106	7	30	0.00232724856922752	0.166637083841479
Fatty acid elongation	20	0	11	1	0.00262515007468
Valine, leucine and isoleucine degradation	44	1	19	0.534277657835547	0.00362412400341873
