Pathway	N	Up	Down	P.Up	P.Down
Metabolic pathways	928	18	309	0.470871395994145	1.20392112922154e-09
Pyrimidine metabolism	84	0	41	1	1.6920734447154e-06
Oxidative phosphorylation	116	12	50	1.7028791770465e-06	1.21798742894571e-05
Parkinson's disease	122	12	52	2.91147966258773e-06	1.2088515525542e-05
Huntington's disease	163	7	64	0.0334810153941001	3.1042035519312e-05
Purine metabolism	132	1	54	0.918240782400311	3.37231146547818e-05
Ubiquitin mediated proteolysis	126	0	52	1	3.52795948994326e-05
Non-alcoholic fatty liver disease (NAFLD)	131	5	52	0.099127854532335	0.000119152616050957
RNA degradation	70	0	31	1	0.000294861909615151
B cell receptor signaling pathway	68	0	30	1	0.000397473743621049
Cardiac muscle contraction	54	6	9	0.000488403580175607	0.945297913813151
Lysosome	113	2	44	0.627490234823969	0.000624832915216474
Carbon metabolism	91	1	37	0.821537726551949	0.000633753447257799
Alzheimer's disease	153	9	55	0.00231929353447213	0.0013803564528252
Glycosaminoglycan degradation	14	0	9	1	0.00204971447563998
Systemic lupus erythematosus	90	0	35	1	0.00219973610354668
Citrate cycle (TCA cycle)	27	0	14	1	0.00228540788728284
Amino sugar and nucleotide sugar metabolism	42	0	19	1	0.003148023453758
Necroptosis	132	2	47	0.710461116331987	0.00366081881666019
Retrograde endocannabinoid signaling	106	7	31	0.00370983224107554	0.173622986983559
