Pathway	N	Up	Down	P.Up	P.Down
Oxidative phosphorylation	116	14	40	2.45554751724634e-09	3.30354530248557e-05
Parkinson's disease	122	13	40	4.25263703550655e-08	0.00011850818664759
Metabolic pathways	928	19	225	0.117703816918866	4.89065015146596e-06
Pyrimidine metabolism	84	1	33	0.727015697545905	7.32786626571223e-06
NOD-like receptor signaling pathway	134	0	46	1	1.00379134205536e-05
Systemic lupus erythematosus	90	0	33	1	3.92071245431456e-05
Necroptosis	132	1	43	0.870515045847345	7.94000299482384e-05
Purine metabolism	132	1	43	0.870515045847345	7.94000299482384e-05
Protein processing in endoplasmic reticulum	150	0	47	1	0.000110737105415254
RNA degradation	70	1	26	0.66086036864602	0.000197198133552975
Huntington's disease	163	9	49	0.000895269881506991	0.000245923212528816
Ubiquitin mediated proteolysis	126	1	40	0.857839930299973	0.000256566551703713
Alzheimer's disease	153	9	45	0.000568343755864002	0.000724863475539314
Carbon metabolism	91	1	30	0.755106378039487	0.000723954323922777
Alcoholism	129	1	39	0.864324659320243	0.000893263252574227
Measles	110	0	34	1	0.00121488000255747
Non-alcoholic fatty liver disease (NAFLD)	131	6	39	0.0152858848781283	0.00123346093498593
Cardiac muscle contraction	54	5	8	0.00136606156846394	0.811315120265172
Cytosolic DNA-sensing pathway	46	1	17	0.508313587361066	0.00257819728487993
Synthesis and degradation of ketone bodies	7	0	5	1	0.0033235679514629
