Pathway	N	Up	Down	P.Up	P.Down
Oxidative phosphorylation	116	14	40	4.43615601577053e-09	6.21288499814512e-05
Parkinson's disease	122	13	40	7.28603628418635e-08	0.000215270974380159
Pyrimidine metabolism	84	1	34	0.743179498666694	4.53422314279964e-06
Metabolic pathways	928	19	230	0.159835987248718	5.27948170988706e-06
NOD-like receptor signaling pathway	134	0	46	1	2.06432636522559e-05
Systemic lupus erythematosus	90	0	34	1	2.61245206847074e-05
Protein processing in endoplasmic reticulum	150	0	49	1	4.96001129177249e-05
Purine metabolism	132	1	44	0.882379561351231	6.90264692857413e-05
Huntington's disease	163	9	51	0.00123355966571079	0.000122911428678419
Necroptosis	132	1	43	0.882379561351231	0.000149919575579587
RNA degradation	70	1	26	0.677669754135898	0.000308070258669244
Alcoholism	129	1	41	0.876485503788006	0.000378812971631839
Ubiquitin mediated proteolysis	126	1	40	0.870297624896811	0.000455462091924834
Alzheimer's disease	153	9	45	0.000787992801998683	0.00129318489311252
Measles	110	0	35	1	0.000958304373913989
Carbon metabolism	91	1	30	0.77078008108495	0.00114074932626963
Cytosolic DNA-sensing pathway	46	1	18	0.524452172154878	0.0012537060522442
FoxO signaling pathway	112	1	35	0.837087887564448	0.00136748289259808
Cardiac muscle contraction	54	5	8	0.00167060047957434	0.835315844391635
Fatty acid elongation	20	0	10	1	0.00178653839693029
