genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000023034	Nr4a1	15370	nuclear receptor subfamily 4, group A, member 1	-7.5863484388724	-7.58977772713815	10.5932102721213	2.14598318697587e-11	1.70659878466284e-07	-192.184535174925
ENSMUSG00000020680	Taf15	70439	TATA-box binding protein associated factor 15	-15.7136538985817	-144269493.65345	8.57672799678543	4.02149150462691e-11	1.70659878466284e-07	-53737.9586672204
ENSMUSG00000019850	Tnfaip3	21929	tumor necrosis factor, alpha-induced protein 3	-6.32680095847639	-6.32700318493834	10.7009838617883	4.05111279790197e-11	1.70659878466284e-07	-80.2706657772628
ENSMUSG00000046434	Hnrnpa1	15382	heterogeneous nuclear ribonucleoprotein A1	-11.7839480051269	-11.8508679159418	8.87388613269915	1.60508360623229e-10	5.07126165389093e-07	-3526.32078419348
ENSMUSG00000037563	Rps16	20055	ribosomal protein S16	-15.8554124270935	-144269493.795216	8.15383344692942	2.0254533261518e-10	5.1195358271813e-07	-59286.3528139319
ENSMUSG00000037940	Inpp4b	234515	inositol polyphosphate-4-phosphatase, type II	-14.7982310618499	-144269492.73797	8.08263735947183	5.99514922726061e-10	1.26277826556866e-06	-28491.2453337744
ENSMUSG00000028341	Nr4a3	18124	nuclear receptor subfamily 4, group A, member 3	-6.90302120653411	-6.90511056237806	10.4704318746617	1.16864706174822e-09	2.10990879519629e-06	-119.67858448461
ENSMUSG00000021218	Gdi2	14569	guanosine diphosphate (GDP) dissociation inhibitor 2	-15.4492787220193	-144269493.389063	8.69154241328895	1.60312935031136e-09	2.53254359115437e-06	-44740.0336806564
ENSMUSG00000045382	Cxcr4	12767	chemokine (C-X-C motif) receptor 4	-12.7947687772191	-12.9428333767809	6.80074854489684	4.19223833284844e-09	5.3153021049937e-06	-7105.73798717474
ENSMUSG00000038418	Egr1	13653	early growth response 1	-6.90564857504874	-6.90687137646934	9.97089990717132	4.46901092235221e-09	5.3153021049937e-06	-119.89673609058
ENSMUSG00000031666	Rbl2	19651	RB transcriptional corepressor like 2	-14.356287074519	-144269492.296022	8.10535986917467	4.62639050126054e-09	5.3153021049937e-06	-20973.602643315
ENSMUSG00000026826	Nr4a2	18227	nuclear receptor subfamily 4, group A, member 2	-6.50342249546524	-6.50495912836057	9.88509682249462	1.65256604734896e-08	1.65972600684156e-05	-90.7246383366424
ENSMUSG00000031627	Irf2	16363	interferon regulatory factor 2	-10.934984480918	-11.0711673921886	7.61353131643643	1.70726682140689e-08	1.65972600684156e-05	-1957.75495073315
ENSMUSG00000074656	Eif2s2	67204	eukaryotic translation initiation factor 2, subunit 2 (beta)	-15.5255351513717	-144269493.465334	8.47410143939847	2.72814213880275e-08	2.46273288215637e-05	-47168.4689139762
ENSMUSG00000032116	Stt3a	16430	STT3, subunit of the oligosaccharyltransferase complex, homolog A (S. cerevisiae)	-14.5268573720351	-144269492.466609	7.78278285548434	3.71955436281836e-08	3.1338485358199e-05	-23605.859163095
ENSMUSG00000037646	Vps13b	666173	vacuolar protein sorting 13B	-13.9694893556464	-144269491.909207	7.16352578313443	5.55058659171799e-08	4.38426958413325e-05	-16041.1433608478
ENSMUSG00000032253	Phip	83946	pleckstrin homology domain interacting protein	-10.9744757322666	-11.1107785876574	7.74373275152829	6.31158087640264e-08	4.40695521273529e-05	-2012.08527182468
ENSMUSG00000040785	Ttc3	22129	tetratricopeptide repeat domain 3	-13.4670627727524	-144269491.406753	7.44586119229881	6.62407129745366e-08	4.40695521273529e-05	-11323.7389296086
ENSMUSG00000054766	Set	56086	SET nuclear oncogene	-14.1322902365255	-144269492.072022	7.35318010557765	6.62542720699245e-08	4.40695521273529e-05	-17957.3922257571
ENSMUSG00000020128	Vps54	245944	VPS54 GARP complex subunit	-14.3194203313725	-144269492.259153	7.42540364455883	7.00197994264911e-08	4.42455112575997e-05	-20444.4315785281
ENSMUSG00000019961	Tmpo	21917	thymopoietin	-14.2479031111373	-144269492.18764	7.09634649926204	9.33171679107031e-08	5.42009618349773e-05	-19455.6709164153
ENSMUSG00000075010	AW112010	107350	expressed sequence AW112010	-9.36056917308164	-9.40767431970358	8.28466208735769	9.43520462390806e-08	5.42009618349773e-05	-657.373355807505
ENSMUSG00000021149	Gtpbp4	69237	GTP binding protein 4	-9.81631567771197	-9.8822532973059	7.62716398902829	1.27768583889942e-07	7.01852580669228e-05	-901.582484576752
ENSMUSG00000021577	Sdha	66945	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	-10.6943324098767	-10.8413141385571	7.15069467453126	1.33284237506421e-07	7.01852580669228e-05	-1656.97073838451
ENSMUSG00000033047	Eif3l	223691	eukaryotic translation initiation factor 3, subunit L	-13.7517905586722	-144269491.691488	6.87294671031645	1.59837717979176e-07	8.03202360973968e-05	-13794.3567092207
ENSMUSG00000041408	Wapl	218914	WAPL cohesin release factor	-13.7982557516677	-144269491.737973	7.68221051592719	1.6524182137461e-07	8.03202360973968e-05	-14245.8664639667
ENSMUSG00000025323	Sp4	20688	trans-acting transcription factor 4	-14.3738780896696	-144269492.313653	6.80387762340009	2.01369678266457e-07	9.42559257011662e-05	-21230.9026523302
ENSMUSG00000078763	Slfn1	20555	schlafen 1	-12.3459387997753	-144269490.285316	6.74278082134749	2.36408923392845e-07	0.000106704856208528	-5205.9249554021
ENSMUSG00000033107	Rnf125	67664	ring finger protein 125	-14.9470304563814	-144269492.88688	6.83961391246797	2.56815304026503e-07	0.000109755545810128	-31586.7187524835
ENSMUSG00000047187	Rab2a	59021	RAB2A, member RAS oncogene family	-13.6122573405153	-144269491.551943	6.90946826011634	2.60536981666706e-07	0.000109755545810128	-12522.6939925946
ENSMUSG00000040710	St8sia4	20452	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	-13.7988467755545	-144269491.738566	6.64494185013483	2.74335739831683e-07	0.000111840486451381	-14251.7037143829
ENSMUSG00000024384	Iws1	73473	IWS1, SUPT6 interacting protein	-10.0416555173024	-10.1776607688503	7.48526911244513	2.90746552620389e-07	0.000114826716625515	-1053.99734484143
ENSMUSG00000037849	LOC102639543	102639543	signaling mucin HKR1-like	-9.65664557015655	-9.80365114923234	7.03223005977313	3.10498969096675e-07	0.000118911696104357	-807.123466200891
ENSMUSG00000049323	Smcr8	237782	Smith-Magenis syndrome chromosome region, candidate 8 homolog (human)	-13.9270029049892	-144269491.86684	6.04847861243342	3.45912042549479e-07	0.000126058424549082	-15575.6300773741
ENSMUSG00000064145	Arih2	23807	ariadne RBR E3 ubiquitin protein ligase 2	-15.4135341830653	-144269493.353488	6.84444861681604	3.53353773877388e-07	0.000126058424549082	-43645.1638561473
ENSMUSG00000078427	Sarnp	66118	SAP domain containing ribonucleoprotein	-14.7770643551646	-144269492.71683	8.09342069021538	3.59083975610616e-07	0.000126058424549082	-28076.2834815719
ENSMUSG00000042079	Hnrnpf	98758	heterogeneous nuclear ribonucleoprotein F	-7.80839659848981	-7.81366043926732	9.58139669313797	4.22745836912282e-07	0.000144396267213444	-224.161794261914
ENSMUSG00000031715	Smarca5	93762	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	-7.81804626553184	-7.82406730801921	8.36752414740071	4.4445872843979e-07	0.000145902369956096	-225.666157156239
ENSMUSG00000043535	Setx	269254	senataxin	-13.9376164221984	-144269491.877345	7.82552487620182	4.50244692853912e-07	0.000145902369956096	-15690.6382985911
ENSMUSG00000015961	Adss	11566	adenylosuccinate synthetase, non muscle	-9.80416103691614	-9.84682121312835	7.45392782218868	4.65995279138437e-07	0.000147231208443789	-894.018600150086
ENSMUSG00000028034	Fubp1	51886	far upstream element (FUSE) binding protein 1	-14.4020641550006	-144269492.341817	7.48960497021733	5.19718434424415e-07	0.000160200038396482	-21649.7711574944
ENSMUSG00000050310	Rictor	78757	RPTOR independent companion of MTOR, complex 2	-14.058423191784	-144269491.99817	6.62744846669596	5.82749011139756e-07	0.000175351952447244	-17061.1017270056
ENSMUSG00000007739	Cct4	12464	chaperonin containing Tcp1, subunit 4 (delta)	-13.3493219664166	-144269491.288997	6.50068187750913	6.57039059807876e-07	0.000189830849302862	-10436.2946870785
ENSMUSG00000034042	Gpbp1l1	77110	GC-rich promoter binding protein 1-like 1	-13.6768781404629	-144269491.616579	7.10060952210249	6.60908163421896e-07	0.000189830849302862	-13096.3588729398
ENSMUSG00000029135	Fosl2	14284	fos-like antigen 2	-5.72963835392425	-5.73221302515654	8.88551761087654	6.8570901890845e-07	0.000191811954690999	-53.0631477155597
ENSMUSG00000028248	Pnisr	66625	PNN interacting serine/arginine-rich	-13.3021635136036	-144269491.241837	6.91727348456139	6.98160303512101e-07	0.000191811954690999	-10100.6709852083
ENSMUSG00000064363	ND4	17719	NADH dehydrogenase subunit 4	3.01411877286463	3.01412158498333	13.718769680835	7.90577222772274e-07	0.000208576157583189	8.07867544712612
ENSMUSG00000026721	Rabgap1l	29809	RAB GTPase activating protein 1-like	-10.5020115656959	-10.5747946995204	7.59212514840371	7.92186703908298e-07	0.000208576157583189	-1450.17527434795
ENSMUSG00000064367	ND5	17721	NADH dehydrogenase subunit 5	2.72838799675545	2.72838929381248	14.3791709814543	8.41482245083038e-07	0.000216503281070195	6.62714734846709
ENSMUSG00000064368	ND6	17722	NADH dehydrogenase subunit 6	3.36693354167124	3.36693893441759	12.8056963127456	8.56556737894426e-07	0.000216503281070195	10.31687074349
ENSMUSG00000026491	Ahctf1	226747	AT hook containing transcription factor 1	-13.5517395652956	-144269491.491427	6.92081143743079	9.22295246742661e-07	0.000228548378986936	-12008.2605530592
ENSMUSG00000072235	Tuba1a	22142	tubulin, alpha 1A	-14.6061277178031	-144269492.545935	6.9018567286413	1.04451556126428e-06	0.000249471576001793	-24939.2026126041
ENSMUSG00000030662	Ipo5	70572	importin 5	-13.7461001630385	-144269491.685795	6.80343415184569	1.04620933123082e-06	0.000249471576001793	-13740.0550415665
ENSMUSG00000032328	Tmem30a	69981	transmembrane protein 30A	-12.3079013001848	-144269490.247438	6.65147312525487	1.13064103417308e-06	0.000264611877590359	-5070.46133140459
ENSMUSG00000022811	Zfp148	22661	zinc finger protein 148	-13.494013176207	-144269491.43367	6.55305216933859	1.2838463248965e-06	0.000295004542800763	-11537.2612767755
ENSMUSG00000078945	Naip2	17948	NLR family, apoptosis inhibitory protein 2	-10.1092131044467	-10.2568846606521	6.59937217089824	1.32824792362195e-06	0.000299757093905969	-1104.52710273766
ENSMUSG00000075595	Zfp652	268469	zinc finger protein 652	-12.3115509342129	-144269490.251	6.83881131733039	1.39542662077054e-06	0.00030387365817406	-5083.30448551073
ENSMUSG00000022584	Ly6c2	100041546	lymphocyte antigen 6 complex, locus C2	-10.3525140961731	-10.4886151694604	7.85776224557526	1.40926486137856e-06	0.00030387365817406	-1307.42647026864
ENSMUSG00000073408	Dpcr1	268949	diffuse panbronchiolitis critical region 1 (human)	13.8245408209789	144269491.736205	5.21307897187085	1.43936002768976e-06	0.00030387365817406	14507.796776183
ENSMUSG00000024383	Map3k2	26405	mitogen-activated protein kinase kinase kinase 2	-14.0630403050371	-144269492.002819	6.54223632836543	1.44266652084536e-06	0.00030387365817406	-17115.7905014525
ENSMUSG00000030059	Tmf1	232286	TATA element modulatory factor 1	-12.4914793737278	-144269490.431048	6.1944159191448	1.57000020931042e-06	0.000322338726030679	-5758.50809538076
ENSMUSG00000051124	Gimap9	317758	GTPase, IMAP family member 9	-14.1094889250249	-144269492.04926	6.5181473966861	1.59362138513536e-06	0.000322338726030679	-17675.81265788
ENSMUSG00000021794	Glud1	14661	glutamate dehydrogenase 1	-9.68404488026754	-9.81705876823339	7.27634211565487	1.60684758189055e-06	0.000322338726030679	-822.598642198718
ENSMUSG00000032504	Pdcd6ip	18571	programmed cell death 6 interacting protein	-7.99532675324307	-8.02001945599485	7.780360156467	1.67240016268005e-06	0.000330246769624227	-255.172094179687
ENSMUSG00000052997	Uba2	50995	ubiquitin-like modifier activating enzyme 2	-12.9297562662641	-144269490.869328	6.34318322235998	1.77297642996621e-06	0.000344721171106353	-7802.69215565201
ENSMUSG00000028552	Eps15	13858	epidermal growth factor receptor pathway substrate 15	-14.0842656027405	-144269492.023989	7.6970289664928	2.00745475489813e-06	0.000384397169581857	-17369.4638582435
ENSMUSG00000032601	Prkar2a	19087	protein kinase, cAMP dependent regulatory, type II alpha	-12.9182852675774	-144269490.857789	6.23296510662048	2.04641434988416e-06	0.00038600872468412	-7740.89823504971
