genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000068457	Uty	22290	ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome	-13.2301830195341	-144269491.16985	5.19275775877616	1.30666608341168e-08	0.000161398366803028	-9609.08282998358
ENSMUSG00000056673	Kdm5d	20592	lysine (K)-specific demethylase 5D	-12.6573765444771	-144269490.59697	5.28481511608845	2.71087088800527e-08	0.000161398366803028	-6460.26013854123
ENSMUSG00000069045	Ddx3y	26900	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	-13.3442336647558	-144269491.283912	6.33408355276138	3.83126365254855e-08	0.000161398366803028	-10399.551315502
ENSMUSG00000069049	Eif2s3y	26908	eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked	-10.1109526749363	-10.5895479514022	6.14159486458686	3.98473190863521e-06	0.012589760465333	-1105.85972089818
ENSMUSG00000025077	Dclre1a	55947	DNA cross-link repair 1A	11.0040659077494	144269488.943181	2.31569583132367	8.06585667167529e-06	0.0203872593233265	2053.77996299517
ENSMUSG00000043061	Tmem18	211986	transmembrane protein 18	12.6020712027955	144269490.541656	3.9169391059119	1.30939427320797e-05	0.0275802080413373	6217.29450106807
ENSMUSG00000024800	Rpp30	54364	ribonuclease P/MRP 30 subunit	11.7401554631816	144269489.679551	3.39012032885363	1.9574606179767e-05	0.0321783234449626	3420.8887292079
ENSMUSG00000015750	Aph1a	226548	aph1 homolog A, gamma secretase subunit	10.3711519596583	144269488.30988	3.43489307073125	2.11277594828193e-05	0.0321783234449626	1324.42640128023
ENSMUSG00000030471	Zdhhc13	243983	zinc finger, DHHC domain containing 13	10.3794882240776	11.5700572187764	2.98813837149787	2.45712262111588e-05	0.0321783234449626	1332.10143176464
ENSMUSG00000018986	Slfn3	20557	schlafen 3	11.5445379349368	144269489.483872	2.94553651542158	2.54615630993532e-05	0.0321783234449626	2987.11680071227
ENSMUSG00000073792	Alg6	320438	asparagine-linked glycosylation 6 (alpha-1,3,-glucosyltransferase)	11.4813451407475	144269489.420657	2.69183396300122	3.93267125710533e-05	0.045182817588452	2859.09955503653
ENSMUSG00000029802	Abcg2	26357	ATP binding cassette subfamily G member 2 (Junior blood group)	11.0981611871376	144269489.03732	2.63302962060222	4.30783202323226e-05	0.0453686509246744	2192.19616690359
ENSMUSG00000026958	Dpp7	83768	dipeptidylpeptidase 7	9.40115825176588	144269487.338841	1.13077656489382	7.69089771619699e-05	0.0710371678808121	676.130656497441
ENSMUSG00000061808	Ttr	22139	transthyretin	-6.85075052245776	-6.85951017825756	7.6830431046064	8.94331188414527e-05	0.0710371678808121	-115.420087728276
ENSMUSG00000028926	Cdk14	18647	cyclin-dependent kinase 14	9.89381175874499	144269487.83211	1.45336555591832	9.19295407698757e-05	0.0710371678808121	951.336393012957
ENSMUSG00000024142	Mlst8	56716	MTOR associated protein, LST8 homolog (S. cerevisiae)	8.97085096557644	9.60266476624492	2.75453473148691	9.827813794284e-05	0.0710371678808121	501.759064866134
ENSMUSG00000021391	Cenpp	66336	centromere protein P	9.7303466365954	144269487.668465	1.01639289635425	9.9226826450359e-05	0.0710371678808121	849.427282442348
ENSMUSG00000017188	Coa3	52469	cytochrome C oxidase assembly factor 3	9.35318237881726	144269487.290792	1.28558185273025	0.000113072581616673	0.0710371678808121	654.01611716724
ENSMUSG00000098488	Pla2g4b	211429	phospholipase A2, group IVB (cytosolic)	10.3172420826163	144269488.255927	2.01991809484814	0.000117957592945371	0.0710371678808121	1275.84918164995
ENSMUSG00000032554	Trf	22041	transferrin	-10.9178758493323	-144269488.856947	2.53085175899579	0.000125017079623934	0.0710371678808121	-1934.67544491205
ENSMUSG00000050394	Armcx6	278097	armadillo repeat containing, X-linked 6	9.85426516740466	144269487.792523	3.89131437360271	0.000130826476466436	0.0710371678808121	925.612904247157
ENSMUSG00000030346	Rad51ap1	19362	RAD51 associated protein 1	9.63470749200409	10.0924895693718	3.01136201507231	0.000145092703793095	0.0710371678808121	794.942936111806
ENSMUSG00000037548	H2-DMb2	15000	histocompatibility 2, class II, locus Mb2	8.18648458604444	144269486.121344	2.12320776871473	0.000159114263285167	0.0710371678808121	291.324774821834
ENSMUSG00000048416	Mlf1	17349	myeloid leukemia factor 1	10.5030550902453	144269488.441878	2.72638656531314	0.000161032234803187	0.0710371678808121	1451.22458891801
ENSMUSG00000031755	Bbs2	67378	Bardet-Biedl syndrome 2 (human)	-10.8688018721573	-144269488.807848	3.38020748438625	0.000164087130713821	0.0710371678808121	-1869.97319168867
ENSMUSG00000085442	LOC108168233	108168233	60S ribosomal protein L23a pseudogene	-11.8597822201914	-144269489.799211	3.26224043796218	0.000168306499388708	0.0710371678808121	-3716.63737855855
ENSMUSG00000045573	Penk	18619	preproenkephalin	7.77909246615669	144269485.712342	4.08679745003227	0.000175168703563425	0.0710371678808121	219.654533581016
ENSMUSG00000051147	Nat2	17961	N-acetyltransferase 2 (arylamine N-acetyltransferase)	8.85351158722378	144269486.790209	1.3719683094342	0.000176780146998965	0.0710371678808121	462.56477201141
ENSMUSG00000045136	Tubb2b	73710	tubulin, beta 2B class IIB	8.63791960940042	144269486.574112	1.50004042863429	0.00017792543841994	0.0710371678808121	398.357412300057
ENSMUSG00000000127	Fer	14158	fer (fms/fps related) protein kinase	-9.99541893690146	-144269487.933823	2.12328997364687	0.00019810950119832	0.0710371678808121	-1020.75359756729
ENSMUSG00000034361	Cpne2	234577	copine II	9.27350688543087	144269487.210992	0.79630513260908	0.000199466693395687	0.0710371678808121	618.876137405453
ENSMUSG00000031613	Hpgd	15446	hydroxyprostaglandin dehydrogenase 15 (NAD)	10.7769566961239	144269488.715951	2.03827828247327	0.000201442125459911	0.0710371678808121	1754.63677546894
ENSMUSG00000001065	Zfp276	57247	zinc finger protein (C2H2 type) 276	8.04629205961237	8.68566782153783	3.52538868125744	0.000204123610154684	0.0710371678808121	264.347534260632
ENSMUSG00000049086	Bmyc	107771	brain expressed myelocytomatosis oncogene	9.82776234113617	144269487.765991	1.41870665828562	0.000206667293845913	0.0710371678808121	908.764293953862
ENSMUSG00000036214	Znrd1as	76416	zinc ribbon domain containing 1, antisense	10.3190654194295	144269488.257752	2.52902738422423	0.0002107692303263	0.0710371678808121	1277.46267124594
ENSMUSG00000028698	Pik3r3	18710	phosphoinositide-3-kinase regulatory subunit 3	8.80804431834414	144269486.744641	0.636309360711621	0.000212873825887725	0.0710371678808121	448.214129342459
ENSMUSG00000039238	Zfp750	319530	zinc finger protein 750	-9.50269786157229	-144269487.440525	3.41458204497712	0.000215381597403282	0.0710371678808121	-725.432646355507
ENSMUSG00000096145	Vkorc1	27973	vitamin K epoxide reductase complex, subunit 1	-10.7438975532752	-144269488.682873	2.57616426405201	0.000226513884409505	0.0710371678808121	-1714.88670685928
ENSMUSG00000064837	Snora75	100303740	small nucleolar RNA, H/ACA box 75	7.35260017156061	144269485.283589	3.69454027890358	0.00022971057537379	0.0710371678808121	163.43805968329
ENSMUSG00000032615	Nt5m	103850	5',3'-nucleotidase, mitochondrial	9.28914316440305	144269487.226654	1.60044981497249	0.000230334344502226	0.0710371678808121	625.620147767772
ENSMUSG00000090215	Trim34b	434218	tripartite motif-containing 34B	10.4963172102068	144269488.435136	3.00111417158139	0.0002304576581036	0.0710371678808121	1444.46267548532
ENSMUSG00000044339	Alkbh2	231642	alkB homolog 2, alpha-ketoglutarate-dependent dioxygenase	7.88712573359419	144269485.820843	0.679122698029376	0.000251927760057405	0.072552554588635	236.734430150224
ENSMUSG00000028696	Ipp	16351	IAP promoted placental gene	8.51878516113567	9.20815791776544	4.71075090807589	0.00028023581808084	0.072552554588635	366.783558872016
ENSMUSG00000046056	Sbsn	282619	suprabasin	8.9573123888663	144269486.894227	0.781336450878823	0.000280957894382015	0.072552554588635	497.072468698335
ENSMUSG00000020397	Med7	66213	mediator complex subunit 7	8.10698035029453	8.77391029908123	2.63803442708571	0.000307704241837871	0.072552554588635	275.704757143024
ENSMUSG00000072980	Oip5	70645	Opa interacting protein 5	9.30140487593488	144269487.238935	0.620169637899167	0.000311159919330497	0.072552554588635	630.960060516043
ENSMUSG00000059939	9430015G10Rik	230996	RIKEN cDNA 9430015G10 gene	9.02429942467349	144269486.961346	0.967630406717456	0.000317463231384565	0.072552554588635	520.696689697925
ENSMUSG00000026047	Kdelc1	72050	KDEL (Lys-Asp-Glu-Leu) containing 1	8.66464455320669	144269486.600905	1.51230756126112	0.000343841020795645	0.072552554588635	405.805484512361
ENSMUSG00000033405	Nudt15	214254	nudix (nucleoside diphosphate linked moiety X)-type motif 15	-9.68197303694917	-144269487.620032	2.13638779164229	0.00034954613883287	0.072552554588635	-821.418162419552
ENSMUSG00000074604	Mgst2	211666	microsomal glutathione S-transferase 2	8.33446637773418	144269486.269813	1.27277480935477	0.000351424852988429	0.072552554588635	322.793200225806
ENSMUSG00000034071	Zfp551	619331	zinc fingr protein 551	8.85777236555608	9.57583991678327	1.87066246640891	0.000355035528217442	0.072552554588635	463.932905347773
ENSMUSG00000047534	Mis18bp1	217653	MIS18 binding protein 1	9.47197453876325	9.79627090831093	3.14150287257013	0.000355474453348122	0.072552554588635	710.147323131686
ENSMUSG00000075272	Ttc30a2	620631	tetratricopeptide repeat domain 30A2	10.2137808634356	144269488.152383	1.74466274767213	0.000361186273472373	0.072552554588635	1187.55684988172
ENSMUSG00000020785	Camkk1	55984	calcium/calmodulin-dependent protein kinase kinase 1, alpha	8.53723264429957	144269486.473165	0.579444097712774	0.000372568861151006	0.072552554588635	371.503667846061
ENSMUSG00000053646	Plxnb1	235611	plexin B1	8.73016544918048	144269486.666572	1.54781338635977	0.000391539929486185	0.072552554588635	424.660304977185
ENSMUSG00000059554	Ccdc28a	215814	coiled-coil domain containing 28A	9.13502384364029	10.2893403046169	1.71359147963516	0.00040796550280435	0.072552554588635	562.232812689361
ENSMUSG00000041180	Hectd2	226098	HECT domain E3 ubiquitin protein ligase 2	-9.02948059284263	-9.85003338745776	2.73105687187415	0.000412328435892858	0.072552554588635	-522.570035896448
ENSMUSG00000001911	Nfix	18032	nuclear factor I/X	8.69745714122226	144269486.633787	0.580747588605287	0.0004170500471898	0.072552554588635	415.140864629748
ENSMUSG00000063535	Zfp773	76373	zinc finger protein 773	8.67671685866744	144269486.613007	0.441861229712631	0.000420367169908273	0.072552554588635	409.215465197989
ENSMUSG00000022701	Ccdc191	212153	coiled-coil domain containing 191	8.46212043502227	9.57549688645473	2.75147985457123	0.000432518775585989	0.072552554588635	352.656650138986
ENSMUSG00000001507	Itga3	16400	integrin alpha 3	8.22445405082004	144269486.159429	0.127647864963625	0.000437767897602265	0.072552554588635	299.093770211126
ENSMUSG00000041035	Dpcd	226162	deleted in primary ciliary dyskinesia	8.73809009239957	9.89069670936301	2.59909823479529	0.00044722794583239	0.072552554588635	426.999358559771
ENSMUSG00000024027	Glp1r	14652	glucagon-like peptide 1 receptor	9.12406052708084	144269487.061291	0.499426298181488	0.000447970213427375	0.072552554588635	557.976490405734
ENSMUSG00000025144	Cenpx	20892	centromere protein X	7.57474221515494	144269485.50699	0.722362301769515	0.000451070971975038	0.072552554588635	190.644647309381
ENSMUSG00000025507	Pidd1	57913	p53 induced death domain protein 1	8.22088729979949	144269486.155863	0.628137644017621	0.000458486534899992	0.072552554588635	298.355238949372
ENSMUSG00000003779	Kif20a	19348	kinesin family member 20A	8.55726387811124	144269486.493247	1.30355388255944	0.000471861223408016	0.072552554588635	376.697821068883
ENSMUSG00000035448	Ccr3	12771	chemokine (C-C motif) receptor 3	9.85433548125247	10.5493990495136	2.70656508755896	0.00047868403444461	0.072552554588635	925.658017725105
ENSMUSG00000034898	Filip1	70598	filamin A interacting protein 1	8.47811153604888	144269486.413879	0.154770378452865	0.000481372813605608	0.072552554588635	356.587306070424
ENSMUSG00000004018	Fancl	67030	Fanconi anemia, complementation group L	8.73677216250724	9.78322560275396	2.37947041762088	0.000486317520474838	0.072552554588635	426.60946448163
ENSMUSG00000067220	Cnga1	12788	cyclic nucleotide gated channel alpha 1	9.19501202146397	144269487.132367	0.812564557702549	0.000491720731435646	0.072552554588635	586.103653999189
ENSMUSG00000052062	Pard3b	72823	par-3 family cell polarity regulator beta	-9.4308187350822	-144269487.368544	1.48385871666665	0.000501246364205646	0.072552554588635	-690.175157340145
ENSMUSG00000031505	Naxd	69225	NAD(P)HX dehydratase	7.07745288637061	144269485.006571	0.66198789307229	0.000501635816702351	0.072552554588635	135.059647438072
