genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000068457	Uty	22290	ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome	-13.2301830195341	5.19275775877616	46.7808981840609	1.20205959098364e-08	0.000149131777809438	-9609.08282998358
ENSMUSG00000056673	Kdm5d	20592	lysine (K)-specific demethylase 5D	-12.6573765444771	5.28481511608845	44.0363574752657	2.48228138877717e-08	0.000149131777809438	-6460.26013854123
ENSMUSG00000069045	Ddx3y	26900	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	-13.3442336647558	6.33408355276138	43.046198244219	3.54008018221485e-08	0.000149131777809438	-10399.551315502
ENSMUSG00000069049	Eif2s3y	26908	eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked	-10.1109526749363	6.14159486458686	26.8792136367741	3.63468211551129e-06	0.0114837781439579	-1105.85972089818
ENSMUSG00000025077	Dclre1a	55947	DNA cross-link repair 1A	11.0040659077494	2.31569583132367	25.7344899305358	7.66447481901407e-06	0.01937272655254	2053.77996299517
ENSMUSG00000043061	Tmem18	211986	transmembrane protein 18	12.6020712027955	3.9169391059119	23.7314400059286	1.25845134719113e-05	0.0265071802096693	6217.29450106807
ENSMUSG00000024800	Rpp30	54364	ribonuclease P/MRP 30 subunit	11.7401554631816	3.39012032885363	22.6947174306985	1.87652434326182e-05	0.0309080738325366	3420.8887292079
ENSMUSG00000015750	Aph1a	226548	aph1 homolog A, gamma secretase subunit	10.3711519596583	3.43489307073125	22.1295640555414	1.99645979818582e-05	0.0309080738325366	1324.42640128023
ENSMUSG00000030471	Zdhhc13	243983	zinc finger, DHHC domain containing 13	10.3794882240776	2.98813837149787	21.8994363972302	2.31637277818449e-05	0.0309080738325366	1332.10143176464
ENSMUSG00000018986	Slfn3	20557	schlafen 3	11.5445379349368	2.94553651542158	22.2714211492399	2.4456459750385e-05	0.0309080738325366	2987.11680071227
ENSMUSG00000073792	Alg6	320438	asparagine-linked glycosylation 6 (alpha-1,3,-glucosyltransferase)	11.4813451407475	2.69183396300122	21.015413036506	3.78786933209763e-05	0.0435191751082271	2859.09955503653
ENSMUSG00000029802	Abcg2	26357	ATP binding cassette subfamily G member 2 (Junior blood group)	11.0981611871376	2.63302962060222	20.7634148500555	4.14009237272328e-05	0.0436020728387306	2192.19616690359
ENSMUSG00000026958	Dpp7	83768	dipeptidylpeptidase 7	9.40115825176588	1.13077656489382	19.566148189968	7.3449980393335e-05	0.0686784674800069	676.130656497441
ENSMUSG00000061808	Ttr	22139	transthyretin	-6.85075052245776	7.6830431046064	18.1936411884003	7.78985880785713e-05	0.0686784674800069	-115.420087728276
ENSMUSG00000028926	Cdk14	18647	cyclin-dependent kinase 14	9.89381175874499	1.45336555591832	18.3561432714059	8.81141400484493e-05	0.0686784674800069	951.336393012957
ENSMUSG00000024142	Mlst8	56716	MTOR associated protein, LST8 homolog (S. cerevisiae)	8.97085096557644	2.75453473148691	18.1827814423344	9.17039521323123e-05	0.0686784674800069	501.759064866134
ENSMUSG00000021391	Cenpp	66336	centromere protein P	9.7303466365954	1.01639289635425	18.8285106014522	9.52724684230401e-05	0.0686784674800069	849.427282442348
ENSMUSG00000017188	Coa3	52469	cytochrome C oxidase assembly factor 3	9.35318237881726	1.28558185273025	18.4706792515496	0.000108230981101033	0.0686784674800069	654.01611716724
ENSMUSG00000098488	Pla2g4b	211429	phospholipase A2, group IVB (cytosolic)	10.3172420826163	2.01991809484814	17.9788479517083	0.000113598182346993	0.0686784674800069	1275.84918164995
ENSMUSG00000032554	Trf	22041	transferrin	-10.9178758493323	2.53085175899579	17.2984314538799	0.000120522286607293	0.0686784674800069	-1934.67544491205
ENSMUSG00000050394	Armcx6	278097	armadillo repeat containing, X-linked 6	9.85426516740466	3.89131437360271	17.7246343454712	0.000124884486071993	0.0686784674800069	925.612904247157
ENSMUSG00000030346	Rad51ap1	19362	RAD51 associated protein 1	9.63470749200409	3.01136201507231	17.1332508255588	0.000137421416273033	0.0686784674800069	794.942936111806
ENSMUSG00000037548	H2-DMb2	15000	histocompatibility 2, class II, locus Mb2	8.18648458604444	2.12320776871473	16.9702934337627	0.000149864134914736	0.0686784674800069	291.324774821834
ENSMUSG00000048416	Mlf1	17349	myeloid leukemia factor 1	10.5030550902453	2.72638656531314	17.1425807362577	0.000155396071736483	0.0686784674800069	1451.22458891801
ENSMUSG00000031755	Bbs2	67378	Bardet-Biedl syndrome 2 (human)	-10.8688018721573	3.38020748438625	16.7725130034209	0.00015819413033129	0.0686784674800069	-1869.97319168867
ENSMUSG00000045573	Penk	18619	preproenkephalin	7.77909246615669	4.08679745003227	17.0261171276288	0.000162390649922075	0.0686784674800069	219.654533581016
ENSMUSG00000085442	LOC108168233	108168233	60S ribosomal protein L23a pseudogene	-11.8597822201914	3.26224043796218	16.6896933553757	0.000163411319213823	0.0686784674800069	-3716.63737855855
ENSMUSG00000051147	Nat2	17961	N-acetyltransferase 2 (arylamine N-acetyltransferase)	8.85351158722378	1.3719683094342	17.2405123963055	0.000168944822731603	0.0686784674800069	462.56477201141
ENSMUSG00000045136	Tubb2b	73710	tubulin, beta 2B class IIB	8.63791960940042	1.50004042863429	17.2300997226267	0.000169590741375837	0.0686784674800069	398.357412300057
ENSMUSG00000001065	Zfp276	57247	zinc finger protein (C2H2 type) 276	8.04629205961237	3.52538868125744	16.0033106980639	0.000188093383433192	0.0686784674800069	264.347534260632
ENSMUSG00000000127	Fer	14158	fer (fms/fps related) protein kinase	-9.99541893690146	2.12328997364687	16.3000702472186	0.000190484892353494	0.0686784674800069	-1020.75359756729
ENSMUSG00000034361	Cpne2	234577	copine II	9.27350688543087	0.79630513260908	16.6599008719073	0.000191728357376259	0.0686784674800069	618.876137405453
ENSMUSG00000031613	Hpgd	15446	hydroxyprostaglandin dehydrogenase 15 (NAD)	10.7769566961239	2.03827828247327	16.8446045564486	0.000195435056189328	0.0686784674800069	1754.63677546894
ENSMUSG00000049086	Bmyc	107771	brain expressed myelocytomatosis oncogene	9.82776234113617	1.41870665828562	16.2413479735024	0.000199227441357856	0.0686784674800069	908.764293953862
ENSMUSG00000036214	Znrd1as	76416	zinc ribbon domain containing 1, antisense	10.3190654194295	2.52902738422423	16.4322058162051	0.000203580729551318	0.0686784674800069	1277.46267124594
