Pathway	N	Up	Down	P.Up	P.Down
Ubiquitin mediated proteolysis	126	36	6	1.95197328703686e-05	0.467943222813927
Metabolic pathways	928	166	42	0.000639830823279637	0.411055217970082
Oxidative phosphorylation	116	29	5	0.00135417021967894	0.570468217587266
Protein processing in endoplasmic reticulum	150	34	6	0.00327326003632542	0.638711854850746
Carbon metabolism	91	23	3	0.00350001343618698	0.761993883513352
Inositol phosphate metabolism	66	18	4	0.00390583110801799	0.321683945437881
Insulin signaling pathway	109	26	1	0.00463849503689873	0.992236180441356
Parkinson's disease	122	28	2	0.00599280092471765	0.971411840210124
Bile secretion	39	4	6	0.823615498116154	0.00626327309391689
Citrate cycle (TCA cycle)	27	9	0	0.00960764979772045	1
Purine metabolism	132	29	9	0.0098082980105546	0.120256330429063
Collecting duct acid secretion	19	7	1	0.0120865530076327	0.569910608731007
Bacterial invasion of epithelial cells	63	16	1	0.0129203626645629	0.939356389773095
Nucleotide excision repair	43	12	2	0.0140218721620922	0.562609658241645
RNA degradation	70	17	3	0.0165357853179027	0.591088461414543
Phosphatidylinositol signaling system	87	20	4	0.0179644669503161	0.525736369423128
Synaptic vesicle cycle	50	13	2	0.0195996043809095	0.645122816577754
Huntington's disease	163	33	3	0.0205534035028353	0.974962795838011
mRNA surveillance pathway	79	10	8	0.700031840944847	0.0209528588056337
Alzheimer's disease	153	31	5	0.0239527782561106	0.799545867342786
