Pathway	N	Up	Down	P.Up	P.Down
Ubiquitin mediated proteolysis	126	36	6	4.50720529328228e-05	0.533672680726706
Metabolic pathways	928	170	44	0.00107275545049958	0.464184356783843
Oxidative phosphorylation	116	29	5	0.00244832416528241	0.630473677989931
Carbon metabolism	91	24	3	0.00263897636267319	0.80079369929211
Protein processing in endoplasmic reticulum	150	35	7	0.00328665352751117	0.5489434364566
Insulin signaling pathway	109	27	1	0.0038846279071506	0.994501803573676
Purine metabolism	132	31	9	0.00492408172939145	0.160206045135013
Inositol phosphate metabolism	66	18	4	0.00588881962079662	0.367289526775754
RNA transport	147	26	14	0.183398437250996	0.0084095725356438
Bile secretion	39	4	6	0.846902219560666	0.0086092429215894
Parkinson's disease	122	28	2	0.0100346261846479	0.979375875790967
RNA degradation	70	18	3	0.0111960506854075	0.637035685783814
Citrate cycle (TCA cycle)	27	9	0	0.0122883815412478	1
Alzheimer's disease	153	33	6	0.0142197781774918	0.719857139515345
Homologous recombination	37	11	3	0.0148256643884081	0.245384877166683
Collecting duct acid secretion	19	7	1	0.0148261619364243	0.59492548960155
Bacterial invasion of epithelial cells	63	16	1	0.0182170964084844	0.95030215750306
Nucleotide excision repair	43	12	2	0.0186608684890859	0.599746975362097
Cytosolic DNA-sensing pathway	46	10	6	0.13030230676737	0.0188321613891304
Autophagy - other	29	9	0	0.0199809678374913	1
