genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000020680	Taf15	70439	TATA-box binding protein associated factor 15	14.5738576776511	144269492.513616	8.57672799678543	3.33825134346461e-11	4.21888204787058e-07	24387.5579012226
ENSMUSG00000046434	Hnrnpa1	15382	heterogeneous nuclear ribonucleoprotein A1	9.93235608434491	9.99922166327097	8.87388613269915	5.4584119512239e-10	3.44917051197838e-06	977.095715651404
ENSMUSG00000037940	Inpp4b	234515	inositol polyphosphate-4-phosphatase, type II	13.3769852078686	144269491.316667	8.08263735947183	8.54480610957287e-10	3.59964198709273e-06	10638.3383567999
ENSMUSG00000040785	Ttc3	22129	tetratricopeptide repeat domain 3	14.6681671762644	144269492.607929	7.44586119229881	1.22084909522175e-09	3.69694622343721e-06	26035.0431299441
ENSMUSG00000031666	Rbl2	19651	RB transcriptional corepressor like 2	13.7878634189582	144269491.727578	8.10535986917467	1.46263104266388e-09	3.69694622343721e-06	14143.6162773405
ENSMUSG00000037849	LOC102639543	102639543	signaling mucin HKR1-like	11.1984622992019	11.3456279783949	7.03223005977313	1.77434353972022e-09	3.73735894249737e-06	2350.02811124523
ENSMUSG00000061991	Hist1h2af	319173	histone cluster 1, H2af	-13.6188668563363	-144269491.55857	8.37020763382776	3.8977391412132e-09	7.03708960952178e-06	-12580.1966726826
ENSMUSG00000074656	Eif2s2	67204	eukaryotic translation initiation factor 2, subunit 2 (beta)	14.8607038573102	144269492.800473	8.47410143939847	1.1900370836605e-08	1.87996108291267e-05	29752.0994975769
ENSMUSG00000021218	Gdi2	14569	guanosine diphosphate (GDP) dissociation inhibitor 2	12.7400358769417	144269490.679643	8.69154241328895	2.05280281300133e-08	2.88259132785675e-05	6841.21036106791
ENSMUSG00000075595	Zfp652	268469	zinc finger protein 652	13.3780656416942	144269491.317747	6.83881131733039	3.61600982359196e-08	4.56991321505552e-05	10646.308388783
ENSMUSG00000024384	Iws1	73473	IWS1, SUPT6 interacting protein	9.89225913907886	10.0282520474477	7.48526911244513	4.07963196185629e-08	4.68712624853998e-05	950.313121266218
ENSMUSG00000031627	Irf2	16363	interferon regulatory factor 2	8.97361082378797	9.10961680857133	7.61353131643643	7.6086715897321e-08	8.01319929591952e-05	502.71984259014
ENSMUSG00000021149	Gtpbp4	69237	GTP binding protein 4	8.82805165945362	8.89391723258914	7.62716398902829	8.33168756481271e-08	8.09968211108485e-05	454.47327799008
ENSMUSG00000093904	Tomm20	67952	translocase of outer mitochondrial membrane 20 homolog (yeast)	-13.5076757456889	-144269491.447369	6.01444437281807	9.25122387215565e-08	8.35121194973594e-05	-11647.040111633
ENSMUSG00000037646	Vps13b	666173	vacuolar protein sorting 13B	12.3196507490187	144269490.259186	7.16352578313443	1.16005187492209e-07	9.77382373017693e-05	5111.92427194568
