Pathway	N	Up	Down	P.Up	P.Down
RNA transport	147	22	13	0.250979182214279	0.000373464975268115
Ubiquitin mediated proteolysis	126	29	4	0.00110417342273417	0.505046307761122
Carbon metabolism	91	22	2	0.0021790834113238	0.749611582034784
Citrate cycle (TCA cycle)	27	9	0	0.00494988165620948	1
Insulin resistance	82	19	2	0.00688917834264748	0.696328449950879
Synaptic vesicle cycle	50	13	0	0.00882437096924741	1
mTOR signaling pathway	121	25	0	0.0101613261528943	1
Parkinson's disease	122	25	1	0.0112674892202964	0.973659501000278
Oxidative phosphorylation	116	24	2	0.0114320559271452	0.857328579486865
Metabolic pathways	928	142	19	0.0123926578372126	0.965078945364665
Valine, leucine and isoleucine degradation	44	11	1	0.0205434975117842	0.729490808094905
Renal cell carcinoma	62	14	1	0.0232661048719244	0.841761671177945
Glycosaminoglycan degradation	14	5	0	0.0254893962981072	1
Huntington's disease	163	30	1	0.0255510828915074	0.992302741803769
Bile secretion	39	7	4	0.227604938294812	0.0264020554510969
Taurine and hypotaurine metabolism	9	0	2	1	0.0267721493853122
mRNA surveillance pathway	79	8	6	0.81115165561066	0.0278729393448109
RNA degradation	70	15	2	0.0300460793352592	0.611146453625363
Alanine, aspartate and glutamate metabolism	25	7	3	0.0335627465106611	0.0353895447945888
2-Oxocarboxylic acid metabolism	15	5	0	0.034291621504552	1
