genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000020680	Taf15	70439	TATA-box binding protein associated factor 15	14.6071790081731	8.57672799678543	60.7021180759987	2.4830977880159e-10	3.13813898449449e-06	24957.382406503
ENSMUSG00000037940	Inpp4b	234515	inositol polyphosphate-4-phosphatase, type II	13.9016952108475	8.08263735947183	51.2950768736603	2.53058014835453e-09	1.30263155846033e-05	15304.7855635015
ENSMUSG00000046434	Hnrnpa1	15382	heterogeneous nuclear ribonucleoprotein A1	10.2031466461464	8.87388613269915	49.4899215755312	3.09217809414543e-09	1.30263155846033e-05	1178.83545854553
ENSMUSG00000037849	LOC102639543	102639543	signaling mucin HKR1-like	11.6935659471088	7.03223005977313	47.4049797629464	5.46011055863076e-09	1.72512193099939e-05	3312.18134168433
ENSMUSG00000040785	Ttc3	22129	tetratricopeptide repeat domain 3	14.614597413903	7.44586119229881	46.8588960969908	8.16346193366576e-09	2.06339663835336e-05	25086.0449511649
ENSMUSG00000031666	Rbl2	19651	RB transcriptional corepressor like 2	13.1040997220439	8.10535986917467	41.4792830032407	3.6416659137122e-08	7.6705623029158e-05	8804.95381948817
ENSMUSG00000074656	Eif2s2	67204	eukaryotic translation initiation factor 2, subunit 2 (beta)	14.9890587413773	8.47410143939847	40.2426748364267	5.20070906496398e-08	9.38950873757354e-05	32520.4306382638
ENSMUSG00000021218	Gdi2	14569	guanosine diphosphate (GDP) dissociation inhibitor 2	12.8968245175031	8.69154241328895	37.7018764991918	1.09886636506866e-07	0.000173593414021722	7626.6010445009
ENSMUSG00000037646	Vps13b	666173	vacuolar protein sorting 13B	13.2680003850153	7.16352578313443	36.6929732936444	1.48807737787048e-07	0.00020895913223919	9864.29605955416
ENSMUSG00000045382	Cxcr4	12767	chemokine (C-X-C motif) receptor 4	10.4688384193367	6.80074854489684	35.5436880451246	1.77619887229545e-07	0.000224476013480699	1417.21057392387
ENSMUSG00000075595	Zfp652	268469	zinc finger protein 652	13.4229230583014	6.83881131733039	35.7695761596192	1.97028621619509e-07	0.000226367974547941	10982.5318150828
ENSMUSG00000061991	Hist1h2af	319173	histone cluster 1, H2af	-12.5797946294227	8.37020763382776	35.481166686952	2.28681068038452e-07	0.000230452114462851	-6122.03097679913
ENSMUSG00000054766	Set	56086	SET nuclear oncogene	13.2415279662182	7.35318010557765	35.1667158440648	2.37053132459017e-07	0.000230452114462851	9684.94382957161
ENSMUSG00000075010	AW112010	107350	expressed sequence AW112010	8.54229022376255	8.28466208735769	33.0285416642113	3.95189779111449e-07	0.000320705692373476	372.808314022699
ENSMUSG00000026491	Ahctf1	226747	AT hook containing transcription factor 1	14.0325686187779	6.92081143743079	33.4411850150292	4.05511491733052e-07	0.000320705692373476	16758.0727122259
ENSMUSG00000028719	Cmpk1	66588	cytidine monophosphate (UMP-CMP) kinase 1	15.4079592416878	6.38939422865664	33.3814654730948	4.13200915917082e-07	0.000320705692373476	43476.833263584
ENSMUSG00000025781	Atp5c1	11949	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	14.7406287548546	6.65091957575625	33.2364384838922	4.32511942327702e-07	0.000320705692373476	27376.0893821388
ENSMUSG00000034042	Gpbp1l1	77110	GC-rich promoter binding protein 1-like 1	13.809623432342	7.10060952210249	32.9350305379145	4.75706530892801e-07	0.000320705692373476	14358.5598233891
ENSMUSG00000021149	Gtpbp4	69237	GTP binding protein 4	8.99774925417254	7.62716398902829	32.3365950504615	4.94538252807251e-07	0.000320705692373476	511.201852516355
ENSMUSG00000031627	Irf2	16363	interferon regulatory factor 2	9.09158482578429	7.61353131643643	32.2058817401444	5.16048209916436e-07	0.000320705692373476	545.556507748111
ENSMUSG00000015750	Aph1a	226548	aph1 homolog A, gamma secretase subunit	-19.3034408541974	3.43489307073125	32.9266859881008	5.32902321557446e-07	0.000320705692373476	-647015.547408888
ENSMUSG00000032116	Stt3a	16430	STT3, subunit of the oligosaccharyltransferase complex, homolog A (S. cerevisiae)	12.7181641625523	7.78278285548434	32.2364800577148	5.93952690943001e-07	0.000341198823097166	6738.277659869
ENSMUSG00000028696	Ipp	16351	IAP promoted placental gene	-22.2452259826216	4.71075090807589	32.1148862676329	6.50935194739933e-07	0.00035767473874449	-4971418.00756989
ENSMUSG00000042079	Hnrnpf	98758	heterogeneous nuclear ribonucleoprotein F	7.44323140554179	9.58139669313797	31.243029912987	7.07632904818008e-07	0.00036063839504811	174.034727564876
ENSMUSG00000059495	Arhgef12	69632	Rho guanine nucleotide exchange factor (GEF) 12	15.1935942828838	6.21498121892638	31.6644636244611	7.13400844769959e-07	0.00036063839504811	37473.7902059265
ENSMUSG00000029152	Ociad1	68095	OCIA domain containing 1	14.1230430490625	6.65273039747502	30.6920821308318	9.77128009546746e-07	0.000463817026019843	17842.6595044406
ENSMUSG00000028552	Eps15	13858	epidermal growth factor receptor pathway substrate 15	14.5385652846806	7.6970289664928	30.649083433142	9.9090518298273e-07	0.000463817026019843	23798.2073754377
ENSMUSG00000024384	Iws1	73473	IWS1, SUPT6 interacting protein	9.2210111046129	7.48526911244513	29.9117997114688	1.10179031217194e-06	0.000466295118513312	596.761686780168
ENSMUSG00000007739	Cct4	12464	chaperonin containing Tcp1, subunit 4 (delta)	12.8897866622983	6.50068187750913	30.2099151028481	1.14374856287681e-06	0.000466295118513312	7589.4870289814
ENSMUSG00000064145	Arih2	23807	ariadne RBR E3 ubiquitin protein ligase 2	14.3850059685948	6.84444861681604	30.1430058604447	1.16910399947139e-06	0.000466295118513312	21395.2952662716
ENSMUSG00000022385	Gtse1	29870	G two S phase expressed protein 1	-20.4309393236021	4.18026130460585	30.2644824006109	1.17931897312602e-06	0.000466295118513312	-1413596.87362697
ENSMUSG00000054321	Taf4b	72504	TATA-box binding protein associated factor 4b	15.6626381820933	6.32105500028834	30.1129564679483	1.18068078750008e-06	0.000466295118513312	51870.9144088885
ENSMUSG00000032253	Phip	83946	pleckstrin homology domain interacting protein	9.23770185440992	7.74373275152829	29.4914310769311	1.26908354030123e-06	0.000471850811172526	603.705801243926
ENSMUSG00000040710	St8sia4	20452	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	12.7017907964395	6.64494185013483	29.8923162145655	1.26941981166845e-06	0.000471850811172526	6662.23623778025
ENSMUSG00000031715	Smarca5	93762	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	7.17586293177952	8.36752414740071	29.2520345180962	1.37593717524072e-06	0.000496831257734062	144.593905169467
ENSMUSG00000020128	Vps54	245944	VPS54 GARP complex subunit	12.3190682785631	7.42540364455883	29.4479714829645	1.46981842295072e-06	0.000515987923034755	5109.86081169779
ENSMUSG00000035024	Ncapd3	78658	non-SMC condensin II complex, subunit D3	13.5083407569869	6.52664281560542	29.0417834407607	1.68182740325463e-06	0.000574457695198162	11652.4100605444
ENSMUSG00000008398	Elk3	13713	ELK3, member of ETS oncogene family	11.983332679906	5.42819764827714	28.4432841606204	1.81135057566246e-06	0.000602417067769006	4048.9515935085
ENSMUSG00000093904	Tomm20	67952	translocase of outer mitochondrial membrane 20 homolog (yeast)	-12.5717387047599	6.01444437281807	28.10634556327	2.4025886171364e-06	0.000778561921624869	-6087.94118045793
ENSMUSG00000027985	Lef1	16842	lymphoid enhancer binding factor 1	13.5147812494083	6.68565165384023	27.9013791017757	2.46473653173517e-06	0.000778733507201728	11704.5451406786
ENSMUSG00000031954	Cfdp1	23837	craniofacial development protein 1	13.0455611303175	6.51411390317191	27.8052039298634	2.54615774736059e-06	0.000784837600271784	8454.83643934751
ENSMUSG00000011257	Pabpc4	230721	poly(A) binding protein, cytoplasmic 4	-10.1814446837715	7.68209806293204	27.294802376446	2.68983137873061e-06	0.000809383070580891	-1161.23535261348
ENSMUSG00000029804	Herc3	73998	hect domain and RLD 3	15.0602499574326	6.61947661155849	27.489346192309	2.83380672836673e-06	0.0008328755682116	34165.4369494877
ENSMUSG00000029203	Ube2k	53323	ubiquitin-conjugating enzyme E2K	14.6514573792492	6.21856311667245	27.3448329100282	2.97649204112862e-06	0.000854929691267807	25735.2357705821
ENSMUSG00000038252	Ncapd2	68298	non-SMC condensin I complex, subunit D2	12.1730458635644	5.50231759392483	27.1196384135087	3.21391132354389e-06	0.000888483195933969	4617.97889228854
ENSMUSG00000026021	Sumo1	22218	small ubiquitin-like modifier 1	-9.59500403907392	6.89916807324808	26.7655862880467	3.23391573136276e-06	0.000888483195933969	-773.364128971575
ENSMUSG00000042064	Myo3b	329421	myosin IIIB	15.4949058750939	6.51001195063308	26.9690199992624	3.38363007357634e-06	0.000903234215391264	46177.6096675186
ENSMUSG00000026965	Anapc2	99152	anaphase promoting complex subunit 2	13.0607827864671	5.60261405796527	26.8712908851844	3.49871621988478e-06	0.000903234215391264	8544.51439115921
ENSMUSG00000072235	Tuba1a	22142	tubulin, alpha 1A	13.5913215279364	6.9018567286413	26.8685384160733	3.50201586913847e-06	0.000903234215391264	12342.2818734156
ENSMUSG00000052137	Rbm12b2	77604	RNA binding motif protein 12 B2	-15.9790122728701	6.02744363434112	26.9086627643655	3.59845592865131e-06	0.000909545720525906	-64589.510800174
ENSMUSG00000067194	Eif1ax	66235	eukaryotic translation initiation factor 1A, X-linked	-14.6069008384258	6.80969659454692	26.7393081552265	3.81204188155995e-06	0.000944638927434406	-24952.5707731957
ENSMUSG00000031360	Ctps2	55936	cytidine 5'-triphosphate synthase 2	-11.9103477771378	7.06887196597162	25.9721265489133	4.27305792790202e-06	0.00101478795077656	-3849.21296308512
ENSMUSG00000026377	Nifk	67949	nucleolar protein interacting with the FHA domain of MKI67	14.5420824515809	6.27949477660405	26.2570625976048	4.3216727144492e-06	0.00101478795077656	23856.2961449504
ENSMUSG00000028248	Pnisr	66625	PNN interacting serine/arginine-rich	12.0254111055515	6.91727348456139	26.2474708243299	4.33601434894243e-06	0.00101478795077656	4168.78457251818
ENSMUSG00000030224	Strap	20901	serine/threonine kinase receptor associated protein	14.4166134520591	7.12432847919415	26.0793459205424	4.59559543348522e-06	0.0010559842743343	21869.209497911
ENSMUSG00000038147	Cd84	12523	CD84 antigen	13.0700951553114	6.1806584145719	25.8712797662685	4.93939273982176e-06	0.00111471509724763	8599.84627046322
ENSMUSG00000050075	Gpr171	229323	G protein-coupled receptor 171	13.4936126318743	6.15974063874416	25.8173672116067	5.03276724618143e-06	0.00111586162205686	11534.0585603009
ENSMUSG00000033107	Rnf125	67664	ring finger protein 125	12.679084202515	6.83961391246797	25.696783893039	5.24832012398067e-06	0.00114359085735979	6558.20008534255
ENSMUSG00000049606	Zfp644	52397	zinc finger protein 644	-8.50668737635749	6.64610569680133	25.0295113684026	5.97293581550435e-06	0.00127942309892108	-363.720738341204
ENSMUSG00000034940	Synrg	217030	synergin, gamma	13.2664116756257	6.20008346279867	25.2279632897955	6.18196513390466e-06	0.00128814885475667	9853.43938250718
ENSMUSG00000021715	Cwc27	67285	CWC27 spliceosome-associated protein	14.4144021555908	5.97207081394619	25.1754812803568	6.29674011497128e-06	0.00128814885475667	21835.7150574169
ENSMUSG00000009575	Cbx5	12419	chromobox 5	-13.3141207848584	6.09553866553668	25.21040242778	6.455615614076e-06	0.00128814885475667	-10184.7347351115
ENSMUSG00000029763	Exoc4	20336	exocyst complex component 4	13.3470854815696	6.37149418179485	25.0756876801432	6.52113930645336e-06	0.00128814885475667	10420.1287392203
ENSMUSG00000024387	Csnk2b	13001	casein kinase 2, beta polypeptide	12.9099476226333	6.67690149647477	25.002261688309	6.69154966865037e-06	0.00128814885475667	7696.29094092206
ENSMUSG00000031292	Cdkl5	382253	cyclin-dependent kinase-like 5	-19.71222376539	2.76664840217122	25.7093653069645	6.69697564692802e-06	0.00128814885475667	-858955.440170398
ENSMUSG00000041229	Phf8	320595	PHD finger protein 8	14.3826038538309	6.4881582581751	24.9871646368063	6.72715812738885e-06	0.00128814885475667	21359.7013320292
ENSMUSG00000028282	Casp8ap2	26885	caspase 8 associated protein 2	-12.4471695856166	6.50786252817805	24.8688758100324	7.27317199297581e-06	0.00135376354504808	-5584.3342670127
ENSMUSG00000041408	Wapl	218914	WAPL cohesin release factor	11.3833030044348	7.68221051592719	24.7613065543291	7.284057688184e-06	0.00135376354504808	2671.25688208429
