Pathway	N	Up	Down	P.Up	P.Down
Metabolic pathways	928	31	390	0.703545693495659	6.20107563795593e-13
Pyrimidine metabolism	84	2	52	0.81227492489459	6.96480270411574e-09
Oxidative phosphorylation	116	16	54	4.03878539785496e-06	0.00040160272567706
Purine metabolism	132	3	64	0.860627276224893	2.6380477032889e-05
RNA degradation	70	1	38	0.924400206770439	5.45929229290406e-05
RNA polymerase	28	0	19	1	7.59546583608409e-05
Lysosome	113	2	55	0.918985133765292	8.29456118422861e-05
Cardiac muscle contraction	54	9	9	0.000121004849968619	0.99547323576523
Parkinson's disease	122	14	56	0.000127213959605476	0.000491569169354824
Huntington's disease	163	10	72	0.0713770812291491	0.000355546897348207
Valine, leucine and isoleucine degradation	44	0	25	1	0.000401534445978148
Mismatch repair	22	0	15	1	0.00041229723323914
Amino sugar and nucleotide sugar metabolism	42	0	24	1	0.000465872623980448
Ubiquitin mediated proteolysis	126	1	57	0.990521461500363	0.000688891880908732
SNARE interactions in vesicular transport	32	0	19	1	0.000954947867293307
Carbon metabolism	91	1	43	0.965259627039573	0.0010300740109703
Homologous recombination	37	0	21	1	0.00117872038133124
Fatty acid elongation	20	0	13	1	0.00197877670724716
Citrate cycle (TCA cycle)	27	0	16	1	0.00247205941639824
Systemic lupus erythematosus	90	2	41	0.841467260052806	0.00312974550758808
