genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000064357	ATP6	17705	ATP synthase F0 subunit 6	3.40435598838334	3.40435732434177	15.3972782450415	9.20608409479747e-14	1.1634649079005e-09	10.5879838067826
ENSMUSG00000064367	ND5	17721	NADH dehydrogenase subunit 5	3.36950386740462	3.36950692927636	14.3791709814543	4.21495473146728e-13	2.66342989481417e-09	10.3352678085745
ENSMUSG00000064363	ND4	17719	NADH dehydrogenase subunit 4	3.67082669709761	3.67083220007241	13.718769680835	7.12850269865455e-13	3.00300057018654e-09	12.7358795984415
ENSMUSG00000064368	ND6	17722	NADH dehydrogenase subunit 6	4.00430800561357	4.00432020134002	12.8056963127456	2.12141860575446e-12	6.70262208488122e-09	16.0478487156567
ENSMUSG00000064351	COX1	17708	cytochrome c oxidase subunit I	2.78065325532637	2.78065385677763	16.0894754119527	2.86161191977263e-12	7.2330102884173e-09	6.87163427751019
ENSMUSG00000020680	Taf15	70439	TATA-box binding protein associated factor 15	-15.3038466560468	-144269493.243628	8.57672799678543	8.29495978824581e-12	1.74719503006417e-08	-40449.8478627375
ENSMUSG00000064345	ND2	17717	NADH dehydrogenase subunit 2	3.54630398177227	3.54631098399708	13.2080645852634	1.25708754402891e-11	2.26958176877676e-08	11.6827174224782
ENSMUSG00000046434	Hnrnpa1	15382	heterogeneous nuclear ribonucleoprotein A1	-11.296997059302	-11.3639009522324	8.87388613269915	3.31050044480508e-11	4.65009778165935e-08	-2516.14100720538
ENSMUSG00000037940	Inpp4b	234515	inositol polyphosphate-4-phosphatase, type II	-15.160262199727	-144269493.10004	8.08263735947183	3.31151131784571e-11	4.65009778165935e-08	-36617.9193862117
ENSMUSG00000037563	Rps16	20055	ribosomal protein S16	-15.3383367030642	-144269493.278119	8.15383344692942	5.49105622254091e-11	6.31533468939591e-08	-41428.521188204
ENSMUSG00000064341	ND1	17716	NADH dehydrogenase subunit 1	3.22031559352817	3.22032038531149	13.5097533903667	5.49680974706085e-11	6.31533468939591e-08	9.3199072242401
ENSMUSG00000021218	Gdi2	14569	guanosine diphosphate (GDP) dissociation inhibitor 2	-15.4628485127412	-144269493.402634	8.69154241328895	1.95533033400098e-10	2.05928873009204e-07	-45162.8375718107
ENSMUSG00000031666	Rbl2	19651	RB transcriptional corepressor like 2	-14.8582049943206	-144269492.797974	8.10535986917467	2.16762912735241e-10	2.10726899319075e-07	-29700.6110898515
ENSMUSG00000064370	CYTB	17711	cytochrome b	2.9223450031104	2.92234855188033	13.709365782815	5.58902616253926e-10	5.04529376015508e-07	7.58077319848595
ENSMUSG00000031627	Irf2	16363	interferon regulatory factor 2	-10.9975759873168	-11.1337638708584	7.61353131643643	1.35993391594912e-09	1.14578965531766e-06	-2044.5618446023
ENSMUSG00000064358	COX3	17710	cytochrome c oxidase subunit III	3.10436082396475	3.10436742691125	12.8915469335701	1.57261372250227e-09	1.21951405872313e-06	8.6001440452934
ENSMUSG00000078763	Slfn1	20555	schlafen 1	-13.9306249801764	-144269491.87035	6.74278082134749	1.64042878606529e-09	1.21951405872313e-06	-15614.7838700652
ENSMUSG00000075010	AW112010	107350	expressed sequence AW112010	-10.0438791272525	-10.0910216058929	8.28466208735769	1.99645029311731e-09	1.4017299335787e-06	-1055.62311188751
ENSMUSG00000064354	COX2	17709	cytochrome c oxidase subunit II	2.86463907387457	2.86464264112462	13.5336128217188	3.40198950789446e-09	2.26286017898791e-06	7.28353628263548
ENSMUSG00000037646	Vps13b	666173	vacuolar protein sorting 13B	-14.367014857279	-144269492.306764	7.16352578313443	3.82771348926333e-09	2.4187321538655e-06	-21130.1422217692
ENSMUSG00000032253	Phip	83946	pleckstrin homology domain interacting protein	-11.2595322837331	-11.3958581139091	7.74373275152829	4.02603710861779e-09	2.42290747517674e-06	-2451.64144533901
ENSMUSG00000032116	Stt3a	16430	STT3, subunit of the oligosaccharyltransferase complex, homolog A (S. cerevisiae)	-14.6276315417941	-144269492.567392	7.78278285548434	4.32557221963277e-09	2.48484462325995e-06	-25313.713449975
ENSMUSG00000037849	LOC102639543	102639543	signaling mucin HKR1-like	-10.4362130433901	-10.5833329449174	7.03223005977313	6.16497888804203e-09	3.14124033259101e-06	-1385.52117399036
ENSMUSG00000020128	Vps54	245944	VPS54 GARP complex subunit	-14.6192568256091	-144269492.559017	7.42540364455883	6.25852434862778e-09	3.14124033259101e-06	-25167.1952724744
ENSMUSG00000021577	Sdha	66945	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	-11.1551193094188	-11.3021501879659	7.15069467453126	6.37760845837374e-09	3.14124033259101e-06	-2280.47605939488
ENSMUSG00000054766	Set	56086	SET nuclear oncogene	-14.3377317722846	-144269492.277479	7.35318010557765	6.46243461365456e-09	3.14124033259101e-06	-20705.5767997285
ENSMUSG00000040785	Ttc3	22129	tetratricopeptide repeat domain 3	-13.4677234153918	-144269491.407413	7.44586119229881	7.53092772084214e-09	3.52503201985196e-06	-11328.9255128235
ENSMUSG00000074656	Eif2s2	67204	eukaryotic translation initiation factor 2, subunit 2 (beta)	-15.0138569355659	-144269492.95363	8.47410143939847	8.74297787201682e-09	3.94620551237673e-06	-33084.2495669887
ENSMUSG00000045382	Cxcr4	12767	chemokine (C-X-C motif) receptor 4	-10.9380180520411	-11.0854792949226	6.80074854489684	1.01811785458246e-08	4.43688739524591e-06	-1961.87587517268
ENSMUSG00000042079	Hnrnpf	98758	heterogeneous nuclear ribonucleoprotein F	-8.22407931526165	-8.22935197989167	9.58139669313797	1.08103797153139e-08	4.55405262807122e-06	-299.016091621599
ENSMUSG00000019961	Tmpo	21917	thymopoietin	-14.3366978903948	-144269492.276445	7.09634649926204	1.16480085033696e-08	4.74863004727695e-06	-20690.7438297804
ENSMUSG00000033047	Eif3l	223691	eukaryotic translation initiation factor 3, subunit L	-13.9610567040567	-144269491.900783	6.87294671031645	1.59314980266798e-08	6.29194600191186e-06	-15947.6552646317
ENSMUSG00000041408	Wapl	218914	WAPL cohesin release factor	-13.9578111399462	-144269491.897538	7.68221051592719	1.73007216192738e-08	6.62565211589037e-06	-15911.8188891839
ENSMUSG00000047187	Rab2a	59021	RAB2A, member RAS oncogene family	-14.0163658835701	-144269491.956096	6.90946826011634	1.9865029765235e-08	7.38394841685413e-06	-16570.9177295546
ENSMUSG00000021149	Gtpbp4	69237	GTP binding protein 4	-9.47580912537865	-9.54172259832727	7.62716398902829	2.14484008160987e-08	7.74471112896731e-06	-712.03735774635
ENSMUSG00000022584	Ly6c2	100041546	lymphocyte antigen 6 complex, locus C2	-11.623343886984	-11.7595981895757	7.85776224557526	2.51904521968432e-08	8.84324819065844e-06	-3154.82417348839
ENSMUSG00000073408	Dpcr1	268949	diffuse panbronchiolitis critical region 1 (human)	14.5587283842691	144269492.498486	5.21307897187085	2.61171743105885e-08	8.91935229901835e-06	24133.1461170342
ENSMUSG00000024384	Iws1	73473	IWS1, SUPT6 interacting protein	-10.0567957569003	-10.1928023188165	7.48526911244513	2.68187519672968e-08	8.91935229901835e-06	-1065.1166731138
ENSMUSG00000075595	Zfp652	268469	zinc finger protein 652	-13.3450535876393	-144269491.284732	6.83881131733039	3.4257718003497e-08	1.09649944116194e-05	-10405.4633435704
ENSMUSG00000043535	Setx	269254	senataxin	-14.4168749560161	-144269492.356626	7.82552487620182	3.47048406761177e-08	1.09649944116194e-05	-21873.1738860826
ENSMUSG00000040710	St8sia4	20452	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	-13.7569172143909	-144269491.69663	6.64494185013483	4.29610241469435e-08	1.3242473735831e-05	-13843.4625253899
ENSMUSG00000032328	Tmem30a	69981	transmembrane protein 30A	-13.0125263975663	-144269490.952169	6.65147312525487	4.54690043596669e-08	1.36818399308921e-05	-8263.43784924423
ENSMUSG00000025323	Sp4	20688	trans-acting transcription factor 4	-14.0714975016953	-144269492.011231	6.80387762340009	4.87708583061336e-08	1.43340955179748e-05	-17216.4193282444
ENSMUSG00000078427	Sarnp	66118	SAP domain containing ribonucleoprotein	-14.848143029144	-144269492.787911	8.09342069021538	5.67176639164609e-08	1.62908599221871e-05	-29494.1871515581
ENSMUSG00000026980	Ly75	17076	lymphocyte antigen 75	-13.4772546934599	-144269491.416945	6.36431635268054	6.23667336200018e-08	1.75153506553241e-05	-11404.0187302581
ENSMUSG00000039304	Tnfsf10	22035	tumor necrosis factor (ligand) superfamily, member 10	-13.4123314021278	-144269491.352016	6.1356372280292	7.28524810813691e-08	2.00154273023118e-05	-10902.1979657237
ENSMUSG00000034042	Gpbp1l1	77110	GC-rich promoter binding protein 1-like 1	-13.8202113226005	-144269491.759929	7.10060952210249	8.28016848205864e-08	2.19921327790103e-05	-14464.3244365281
ENSMUSG00000032601	Prkar2a	19087	protein kinase, cAMP dependent regulatory, type II alpha	-13.8694905385607	-144269491.809211	6.23296510662048	8.47595674638658e-08	2.19921327790103e-05	-14966.9282495265
ENSMUSG00000007739	Cct4	12464	chaperonin containing Tcp1, subunit 4 (delta)	-13.4387765901471	-144269491.378464	6.50068187750913	8.55851322423136e-08	2.19921327790103e-05	-11103.8825301712
ENSMUSG00000032504	Pdcd6ip	18571	programmed cell death 6 interacting protein	-8.18917683530211	-8.21388115910699	7.780360156467	8.704399051154e-08	2.19921327790103e-05	-291.868930835748
ENSMUSG00000021794	Glud1	14661	glutamate dehydrogenase 1	-10.0560561712141	-10.1891093597481	7.27634211565487	8.93568346110259e-08	2.19921327790103e-05	-1064.5707897897
ENSMUSG00000078945	Naip2	17948	NLR family, apoptosis inhibitory protein 2	-10.4608946961882	-10.6085994887887	6.59937217089824	9.04882817303794e-08	2.19921327790103e-05	-1409.42861661336
ENSMUSG00000028248	Pnisr	66625	PNN interacting serine/arginine-rich	-13.3529942196226	-144269491.292673	6.91727348456139	9.35587429382558e-08	2.21493501133362e-05	-10462.8931940693
ENSMUSG00000015961	Adss	11566	adenylosuccinate synthetase, non muscle	-9.43652520484055	-9.47915099387131	7.45392782218868	9.67529082242173e-08	2.21493501133362e-05	-692.910498474026
ENSMUSG00000033107	Rnf125	67664	ring finger protein 125	-14.3759441999461	-144269492.315693	6.83961391246797	9.70719712363377e-08	2.21493501133362e-05	-21261.3296033621
ENSMUSG00000026491	Ahctf1	226747	AT hook containing transcription factor 1	-13.8282532003549	-144269491.767971	6.92081143743079	9.81455615086904e-08	2.21493501133362e-05	-14545.1766786901
ENSMUSG00000028034	Fubp1	51886	far upstream element (FUSE) binding protein 1	-14.2960854556565	-144269492.235831	7.48960497021733	1.02163309690973e-07	2.2651577331132e-05	-20116.4129724518
ENSMUSG00000031715	Smarca5	93762	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	-7.21283338499275	-7.21883383376892	8.36752414740071	1.04047272386761e-07	2.26715418693773e-05	-148.34714843177
ENSMUSG00000030662	Ipo5	70572	importin 5	-14.0374176812557	-144269491.977149	6.80343415184569	1.17378969452154e-07	2.46167616609764e-05	-16814.4932696236
