genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000064357	ATP6	17705	ATP synthase F0 subunit 6	3.40435598838334	15.3972782450415	118.389996770645	2.07500180282114e-15	2.62238727840536e-11	10.5879838067826
ENSMUSG00000064367	ND5	17721	NADH dehydrogenase subunit 5	3.36950386740462	14.3791709814543	108.579517438465	1.05930031631569e-14	6.69371869879887e-11	10.3352678085745
ENSMUSG00000064351	COX1	17708	cytochrome c oxidase subunit I	2.78065325532637	16.0894754119527	102.538892395656	3.03793199674184e-14	1.04013521863029e-10	6.87163427751019
ENSMUSG00000064363	ND4	17719	NADH dehydrogenase subunit 4	3.67082669709761	13.718769680835	102.087574977273	3.29208804757172e-14	1.04013521863029e-10	12.7358795984415
ENSMUSG00000064368	ND6	17722	NADH dehydrogenase subunit 6	4.00430800561357	12.8056963127456	92.9116146354615	1.77721677036759e-13	4.49209310878112e-10	16.0478487156567
ENSMUSG00000064345	ND2	17717	NADH dehydrogenase subunit 2	3.54630398177227	13.2080645852634	86.2952802802352	6.40935605497961e-13	1.35002403038054e-09	11.6827174224782
ENSMUSG00000064341	ND1	17716	NADH dehydrogenase subunit 1	3.22031559352817	13.5097533903667	80.3100128746647	2.15766971545548e-12	3.89551855198948e-09	9.3199072242401
ENSMUSG00000020680	Taf15	70439	TATA-box binding protein associated factor 15	-15.3038466560468	8.57672799678543	76.9523557297229	6.92347094909136e-12	1.09373532318271e-08	-40449.8478627375
ENSMUSG00000064370	CYTB	17711	cytochrome b	2.9223450031104	13.709365782815	69.8811183615144	2.04978519906209e-11	2.87835392730519e-08	7.58077319848595
ENSMUSG00000046434	Hnrnpa1	15382	heterogeneous nuclear ribonucleoprotein A1	-11.296997059302	8.87388613269915	68.7063941344243	2.67302332537062e-11	3.20542396067441e-08	-2516.14100720538
ENSMUSG00000037940	Inpp4b	234515	inositol polyphosphate-4-phosphatase, type II	-15.160262199727	8.08263735947183	70.3598840999976	2.78997179675728e-11	3.20542396067441e-08	-36617.9193862117
ENSMUSG00000037563	Rps16	20055	ribosomal protein S16	-15.3383367030642	8.15383344692942	68.0079324067645	4.67294775713277e-11	4.921392812887e-08	-41428.521188204
ENSMUSG00000064358	COX3	17710	cytochrome c oxidase subunit III	3.10436082396475	12.8915469335701	63.6617552000304	8.61239357468802e-11	8.37257153822363e-08	8.6001440452934
ENSMUSG00000064354	COX2	17709	cytochrome c oxidase subunit II	2.86463907387457	13.5336128217188	61.2849047837489	1.5213064093318e-10	1.37330502865252e-07	7.28353628263548
ENSMUSG00000021218	Gdi2	14569	guanosine diphosphate (GDP) dissociation inhibitor 2	-15.4628485127412	8.69154241328895	62.3553993688848	1.68548792451585e-10	1.42007975933542e-07	-45162.8375718107
ENSMUSG00000031666	Rbl2	19651	RB transcriptional corepressor like 2	-14.8582049943206	8.10535986917467	61.9823376184532	1.83855839213215e-10	1.45223130998538e-07	-29700.6110898515
ENSMUSG00000031627	Irf2	16363	interferon regulatory factor 2	-10.9975759873168	7.61353131643643	53.3495671370027	1.11235637966989e-09	8.26938819192242e-07	-2044.5618446023
ENSMUSG00000078763	Slfn1	20555	schlafen 1	-13.9306249801764	6.74278082134749	53.6484619036747	1.38810775315227e-09	9.74605876907687e-07	-15614.7838700652
ENSMUSG00000075010	AW112010	107350	expressed sequence AW112010	-10.0438791272525	8.28466208735769	51.9287655703467	1.61352383537079e-09	1.07324811744295e-06	-1055.62311188751
ENSMUSG00000037646	Vps13b	666173	vacuolar protein sorting 13B	-14.367014857279	7.16352578313443	50.2645304791134	3.30636032338775e-09	2.03322644432888e-06	-21130.1422217692
ENSMUSG00000032253	Phip	83946	pleckstrin homology domain interacting protein	-11.2595322837331	7.74373275152829	49.1623204470691	3.37852154857623e-09	2.03322644432888e-06	-2451.64144533901
ENSMUSG00000032116	Stt3a	16430	STT3, subunit of the oligosaccharyltransferase complex, homolog A (S. cerevisiae)	-14.6276315417941	7.78278285548434	49.7738594376562	3.75894868535325e-09	2.15934515843156e-06	-25313.713449975
ENSMUSG00000037849	LOC102639543	102639543	signaling mucin HKR1-like	-10.4362130433901	7.03223005977313	47.7174945326623	5.01024481804116e-09	2.72320045314055e-06	-1385.52117399036
ENSMUSG00000021577	Sdha	66945	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	-11.1551193094188	7.15069467453126	47.4716956144321	5.36067734296987e-09	2.72320045314055e-06	-2280.47605939488
ENSMUSG00000020128	Vps54	245944	VPS54 GARP complex subunit	-14.6192568256091	7.42540364455883	48.3542693581944	5.46805515729143e-09	2.72320045314055e-06	-25167.1952724744
ENSMUSG00000054766	Set	56086	SET nuclear oncogene	-14.3377317722846	7.35318010557765	48.2630343893165	5.60240637613976e-09	2.72320045314055e-06	-20705.5767997285
ENSMUSG00000040785	Ttc3	22129	tetratricopeptide repeat domain 3	-13.4677234153918	7.44586119229881	47.8025408526314	6.33480900690317e-09	2.96515986034231e-06	-11328.9255128235
ENSMUSG00000074656	Eif2s2	67204	eukaryotic translation initiation factor 2, subunit 2 (beta)	-15.0138569355659	8.47410143939847	47.0701404682006	7.71124153338813e-09	3.4805239463914e-06	-33084.2495669887
ENSMUSG00000042079	Hnrnpf	98758	heterogeneous nuclear ribonucleoprotein F	-8.22407931526165	9.58139669313797	45.8996356599076	8.29355821592379e-09	3.6029389068018e-06	-299.016091621599
ENSMUSG00000045382	Cxcr4	12767	chemokine (C-X-C motif) receptor 4	-10.9380180520411	6.80074854489684	45.7897700286402	8.55263231556053e-09	3.6029389068018e-06	-1961.87587517268
ENSMUSG00000019961	Tmpo	21917	thymopoietin	-14.3366978903948	7.09634649926204	46.0466766205496	1.01753114177962e-08	4.148244699939e-06	-20690.7438297804
ENSMUSG00000033047	Eif3l	223691	eukaryotic translation initiation factor 3, subunit L	-13.9610567040567	6.87294671031645	44.9264331038216	1.38310761258237e-08	5.46241062744249e-06	-15947.6552646317
ENSMUSG00000041408	Wapl	218914	WAPL cohesin release factor	-13.9578111399462	7.68221051592719	44.6442222386932	1.49516841560579e-08	5.7260419504321e-06	-15911.8188891839
ENSMUSG00000021149	Gtpbp4	69237	GTP binding protein 4	-9.47580912537865	7.62716398902829	43.3058800725142	1.73068045491839e-08	6.25174314142924e-06	-712.03735774635
ENSMUSG00000047187	Rab2a	59021	RAB2A, member RAS oncogene family	-14.0163658835701	6.90946826011634	44.1151990446785	1.73137371379984e-08	6.25174314142924e-06	-16570.9177295546
ENSMUSG00000024384	Iws1	73473	IWS1, SUPT6 interacting protein	-10.0567957569003	7.48526911244513	42.4927385928844	2.18864521974864e-08	7.48208098227227e-06	-1065.1166731138
ENSMUSG00000022584	Ly6c2	100041546	lymphocyte antigen 6 complex, locus C2	-11.623343886984	7.85776224557526	42.4897972680999	2.19051271042945e-08	7.48208098227227e-06	-3154.82417348839
ENSMUSG00000073408	Dpcr1	268949	diffuse panbronchiolitis critical region 1 (human)	14.5587283842691	5.21307897187085	43.4483815951184	2.45162161517921e-08	8.1535773612197e-06	24133.1461170342
ENSMUSG00000075595	Zfp652	268469	zinc finger protein 652	-13.3450535876393	6.83881131733039	42.2297177803102	2.94046981330809e-08	9.52863012835582e-06	-10405.4633435704
ENSMUSG00000043535	Setx	269254	senataxin	-14.4168749560161	7.82552487620182	42.0860467515881	3.06294847250284e-08	9.67738569887271e-06	-21873.1738860826
ENSMUSG00000040710	St8sia4	20452	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	-13.7569172143909	6.64494185013483	41.3714650954729	3.75585336692196e-08	1.15771889880877e-05	-13843.4625253899
ENSMUSG00000032328	Tmem30a	69981	transmembrane protein 30A	-13.0125263975663	6.65147312525487	41.2614020289593	3.87626070431489e-08	1.16638530431266e-05	-8263.43784924423
ENSMUSG00000025323	Sp4	20688	trans-acting transcription factor 4	-14.0714975016953	6.80387762340009	40.897222867668	4.30406084058435e-08	1.26499350937919e-05	-17216.4193282444
ENSMUSG00000078427	Sarnp	66118	SAP domain containing ribonucleoprotein	-14.848143029144	8.09342069021538	40.3234627076793	5.0802626641855e-08	1.45918998977219e-05	-29494.1871515581
ENSMUSG00000026980	Ly75	17076	lymphocyte antigen 75	-13.4772546934599	6.36431635268054	40.0867083975134	5.44170570185645e-08	1.52827281466804e-05	-11404.0187302581
ENSMUSG00000039304	Tnfsf10	22035	tumor necrosis factor (ligand) superfamily, member 10	-13.4123314021278	6.1356372280292	40.5772211733403	6.39578706439068e-08	1.75717297651673e-05	-10902.1979657237
ENSMUSG00000032504	Pdcd6ip	18571	programmed cell death 6 interacting protein	-8.18917683530211	7.780360156467	38.6540554038196	6.81977693298787e-08	1.83379448678938e-05	-291.868930835748
ENSMUSG00000034042	Gpbp1l1	77110	GC-rich promoter binding protein 1-like 1	-13.8202113226005	7.10060952210249	39.0904897648453	7.28141685583014e-08	1.84375008454343e-05	-14464.3244365281
ENSMUSG00000021794	Glud1	14661	glutamate dehydrogenase 1	-10.0560561712141	7.27634211565487	38.3743303932022	7.42267497639341e-08	1.84375008454343e-05	-1064.5707897897
