Pathway	N	Up	Down	P.Up	P.Down
Amino sugar and nucleotide sugar metabolism	42	0	17	1	9.79679240001467e-05
Protein digestion and absorption	35	8	2	0.000134347999391146	0.980996624476428
Systemic lupus erythematosus	90	3	28	0.780840511268222	0.000181885515509938
Metabolic pathways	928	32	184	0.962294899776821	0.000272348455321427
MAPK signaling pathway	221	22	24	0.00044604523579909	0.984938091353218
Pyrimidine metabolism	84	1	25	0.979916475119842	0.000823051449001374
Necroptosis	132	2	35	0.984401122748511	0.000934430212965728
Retrograde endocannabinoid signaling	106	13	17	0.000982700631113758	0.502043124225018
Parkinson's disease	122	14	27	0.00123283439912932	0.037152364747171
IL-17 signaling pathway	61	9	8	0.001593232577969	0.761648983572218
Rheumatoid arthritis	61	9	7	0.001593232577969	0.863146001080584
Cytokine-cytokine receptor interaction	142	15	17	0.00194414546083512	0.91410820377815
RNA polymerase	28	0	11	1	0.00221502794570863
Oxidative phosphorylation	116	13	25	0.00225231387771643	0.0574217322309636
Fanconi anemia pathway	50	0	16	1	0.00306023084471241
cGMP-PKG signaling pathway	110	12	11	0.00408960678901826	0.968670256327992
ECM-receptor interaction	46	7	6	0.00434362782878802	0.749372184582641
Alcoholism	129	5	32	0.700950977098995	0.00467535228724354
Ubiquitin mediated proteolysis	126	1	31	0.997182323398417	0.00603442042965815
Platinum drug resistance	63	0	18	1	0.00672755314636565
