gene_id	AgedFemale-Brain-NoStim-13_S10_counts	AgedFemale-Brain-NoStim-14_S1_counts	AgedFemale-Brain-NoStim-15_S6_counts	AgedFemale-Brain-NoStim-16_S12_counts	AgedFemale-Brain-NoStim-17_S8_counts	AgedFemale-Brain-PlusStim-23_S11_counts	AgedFemale-Brain-PlusStim-24_S9_counts	AgedFemale-Brain-PlusStim-25_S5_counts	AgedFemale-Brain-PlusStim-26_S1_counts	AgedFemale-Brain-PlusStim-27_S8_counts	AgedMale-Brain-NoStim-10_S9_counts	AgedMale-Brain-NoStim-11_S10_counts	AgedMale-Brain-NoStim-12_S11_counts	AgedMale-Brain-NoStim-7_S6_counts	AgedMale-Brain-NoStim-8_S7_counts	AgedMale-Brain-NoStim-9_S8_counts	AgedMale-Brain-PlusStim-19_S4_counts	AgedMale-Brain-PlusStim-20_S3_counts	AgedMale-Brain-PlusStim-21_S7_counts	AgedMale-Brain-PlusStim-22_S2_counts	AgedMaleSpleenNoStim30_S10_counts	AgedMaleSpleenNoStim31_S7_counts	AgedMaleSpleenNoStim32_S12_counts	AgedMaleSpleenNoStim33_S3_counts	AgedMaleSpleenNoStim34_S4_counts	AgedMaleSpleenPlusStim36_S2_counts	AgedMaleSpleenPlusStim37_S6_counts	AgedMaleSpleenPlusStim38_S5_counts	AgedMaleSpleenPlusStim39_S9_counts	AgedMaleSpleenPlusStim40_S11_counts	YoungMale-Brain-NoStim-2_S1_counts	YoungMale-Brain-NoStim-3_S2_counts	YoungMale-Brain-NoStim-4_S3_counts	YoungMale-Brain-NoStim-5_S4_counts	YoungMale-Brain-NoStim-6_S5_counts
ENSMUSG00000000001	1126	376	856	116	1229	162	68	2	122	234	268	2023	2851	1463	115	488	76	0	4	0	765	794	791	1242	826	831	1053	599	533	857	3746	1396	663	2083	1527
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	457	30	0	1222	0	0	1	0	0	0	585	26	1	2	0	1	0	0	0	0	23	71	52	55	101	94	17	29	22	33	2	1	1	78	1
ENSMUSG00000000031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000000049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000056	398	978	24	15	389	0	0	0	0	0	95	389	399	922	19	536	0	0	0	0	182	142	97	272	122	146	85	53	91	161	29	924	21	109	62
ENSMUSG00000000058	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000078	3025	3898	2055	6509	3073	696	428	1016	292	84	5382	4113	6710	10473	4483	5586	842	227	122	52	736	742	829	1248	724	3006	3025	2462	1959	2714	6032	5860	2884	6004	4974
ENSMUSG00000000085	15	10	0	0	24	0	0	0	0	0	217	205	5	2	191	58	0	0	0	0	37	58	43	21	28	9	16	19	27	49	1824	4	1	2	36
