Sample_ID	Sample_Name	TERM_1	TERM_2	TERM_3	TERM_4	Number
AgedFemale-Brain-NoStim-13_S10_counts	AgedFemale-Brain-NoStim-13_S10	Aged	Female	Brain	NoStim	1
AgedFemale-Brain-NoStim-14_S1_counts	AgedFemale-Brain-NoStim-14_S1	Aged	Female	Brain	NoStim	2
AgedFemale-Brain-NoStim-15_S6_counts	AgedFemale-Brain-NoStim-15_S6	Aged	Female	Brain	NoStim	3
AgedFemale-Brain-NoStim-16_S12_counts	AgedFemale-Brain-NoStim-16_S12	Aged	Female	Brain	NoStim	4
AgedFemale-Brain-NoStim-17_S8_counts	AgedFemale-Brain-NoStim-17_S8	Aged	Female	Brain	NoStim	5
AgedFemale-Brain-PlusStim-23_S11_counts	AgedFemale-Brain-PlusStim-23_S11	Aged	Female	Brain	PlusStim	6
AgedFemale-Brain-PlusStim-24_S9_counts	AgedFemale-Brain-PlusStim-24_S9	Aged	Female	Brain	PlusStim	7
AgedFemale-Brain-PlusStim-25_S5_counts	AgedFemale-Brain-PlusStim-25_S5	Aged	Female	Brain	PlusStim	8
AgedFemale-Brain-PlusStim-26_S1_counts	AgedFemale-Brain-PlusStim-26_S1	Aged	Female	Brain	PlusStim	9
AgedFemale-Brain-PlusStim-27_S8_counts	AgedFemale-Brain-PlusStim-27_S8	Aged	Female	Brain	PlusStim	10
AgedMale-Brain-NoStim-10_S9_counts	AgedMale-Brain-NoStim-10_S9	Aged	Male	Brain	NoStim	11
AgedMale-Brain-NoStim-11_S10_counts	AgedMale-Brain-NoStim-11_S10	Aged	Male	Brain	NoStim	12
AgedMale-Brain-NoStim-12_S11_counts	AgedMale-Brain-NoStim-12_S11	Aged	Male	Brain	NoStim	13
AgedMale-Brain-NoStim-7_S6_counts	AgedMale-Brain-NoStim-7_S6	Aged	Male	Brain	NoStim	14
AgedMale-Brain-NoStim-8_S7_counts	AgedMale-Brain-NoStim-8_S7	Aged	Male	Brain	NoStim	15
AgedMale-Brain-NoStim-9_S8_counts	AgedMale-Brain-NoStim-9_S8	Aged	Male	Brain	NoStim	16
AgedMale-Brain-PlusStim-19_S4_counts	AgedMale-Brain-PlusStim-19_S4	Aged	Male	Brain	PlusStim	17
AgedMale-Brain-PlusStim-20_S3_counts	AgedMale-Brain-PlusStim-20_S3	Aged	Male	Brain	PlusStim	18
AgedMale-Brain-PlusStim-21_S7_counts	AgedMale-Brain-PlusStim-21_S7	Aged	Male	Brain	PlusStim	19
AgedMale-Brain-PlusStim-22_S2_counts	AgedMale-Brain-PlusStim-22_S2	Aged	Male	Brain	PlusStim	20
AgedMaleSpleenNoStim30_S10_counts	AgedMaleSpleenNoStim30_S10	Aged	Male	Spleen	NoStim	21
AgedMaleSpleenNoStim31_S7_counts	AgedMaleSpleenNoStim31_S7	Aged	Male	Spleen	NoStim	22
AgedMaleSpleenNoStim32_S12_counts	AgedMaleSpleenNoStim32_S12	Aged	Male	Spleen	NoStim	23
AgedMaleSpleenNoStim33_S3_counts	AgedMaleSpleenNoStim33_S3	Aged	Male	Spleen	NoStim	24
AgedMaleSpleenNoStim34_S4_counts	AgedMaleSpleenNoStim34_S4	Aged	Male	Spleen	NoStim	25
AgedMaleSpleenPlusStim36_S2_counts	AgedMaleSpleenPlusStim36_S2	Aged	Male	Spleen	PlusStim	26
AgedMaleSpleenPlusStim37_S6_counts	AgedMaleSpleenPlusStim37_S6	Aged	Male	Spleen	PlusStim	27
AgedMaleSpleenPlusStim38_S5_counts	AgedMaleSpleenPlusStim38_S5	Aged	Male	Spleen	PlusStim	28
AgedMaleSpleenPlusStim39_S9_counts	AgedMaleSpleenPlusStim39_S9	Aged	Male	Spleen	PlusStim	29
AgedMaleSpleenPlusStim40_S11_counts	AgedMaleSpleenPlusStim40_S11	Aged	Male	Spleen	PlusStim	30
YoungMale-Brain-NoStim-2_S1_counts	YoungMale-Brain-NoStim-2_S1	Young	Male	Brain	NoStim	31
YoungMale-Brain-NoStim-3_S2_counts	YoungMale-Brain-NoStim-3_S2	Young	Male	Brain	NoStim	32
YoungMale-Brain-NoStim-4_S3_counts	YoungMale-Brain-NoStim-4_S3	Young	Male	Brain	NoStim	33
YoungMale-Brain-NoStim-5_S4_counts	YoungMale-Brain-NoStim-5_S4	Young	Male	Brain	NoStim	34
YoungMale-Brain-NoStim-6_S5_counts	YoungMale-Brain-NoStim-6_S5	Young	Male	Brain	NoStim	35
