genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000064367	ND5	17721	NADH dehydrogenase subunit 5	4.14200263118836	14.3791709814543	139.529707192645	8.30671287788581e-17	1.04980237350721e-12	17.654972039794
ENSMUSG00000064351	COX1	17708	cytochrome c oxidase subunit I	3.32197966121744	16.0894754119527	129.69067274457	3.54688610171269e-16	2.24127732767225e-12	10.0003574369509
ENSMUSG00000064357	ATP6	17705	ATP synthase F0 subunit 6	3.48950383409675	15.3972782450415	112.673268783751	5.30291395312516e-15	2.23394088465319e-11	11.2316955818122
ENSMUSG00000064368	ND6	17722	NADH dehydrogenase subunit 6	4.33122709205332	12.8056963127456	94.9084686372918	1.2205427113914e-13	3.85630469664113e-10	20.1293278216052
ENSMUSG00000064370	CYTB	17711	cytochrome b	3.58033232036458	13.709365782815	91.4991760263413	2.3255093599475e-13	5.87795745820329e-10	11.961548977776
ENSMUSG00000064363	ND4	17719	NADH dehydrogenase subunit 4	3.59281835278969	13.718769680835	89.3498404586667	3.51903063482603e-13	7.41225152715522e-10	12.0655213691507
ENSMUSG00000064354	COX2	17709	cytochrome c oxidase subunit II	3.6246687691013	13.5336128217188	84.9697986753182	8.3480392899155e-13	1.50717886494217e-09	12.3348542971877
ENSMUSG00000064341	ND1	17716	NADH dehydrogenase subunit 1	3.4355179736742	13.5097533903667	82.2302684424255	1.45318790502236e-12	2.29567359295908e-09	10.8191703952889
ENSMUSG00000064345	ND2	17717	NADH dehydrogenase subunit 2	3.61719001747261	13.2080645852634	81.1442499920511	1.81595959124398e-12	2.55001081268238e-09	12.2710773954818
ENSMUSG00000037563	Rps16	20055	ribosomal protein S16	-9.63921239797389	8.15383344692942	63.4354305476576	1.31261212235135e-10	1.65887920022764e-07	-797.429074951541
ENSMUSG00000064358	COX3	17710	cytochrome c oxidase subunit III	3.1401703780483	12.8915469335701	59.745025578024	2.21344215572468e-10	2.5430438149135e-07	8.81628204255825
ENSMUSG00000078763	Slfn1	20555	schlafen 1	-10.5786240660898	6.74278082134749	58.1268970700399	4.59389938228751e-10	4.67951356560512e-07	-1529.26643568902
ENSMUSG00000061991	Hist1h2af	319173	histone cluster 1, H2af	-14.7144053334829	8.37020763382776	58.4148920565056	4.81355248875348e-10	4.67951356560512e-07	-26882.9778206626
ENSMUSG00000065947	ND4L	17720	NADH dehydrogenase subunit 4L	4.22996929617002	10.5116576805759	46.1267092087211	7.78355407116334e-09	7.02632545366873e-06	18.7649598224592
ENSMUSG00000099021	Rn7s1	103948	7S RNA 1	3.65766400001751	10.6902869892571	44.6473197768617	1.18008701133196e-08	9.3212122807583e-06	12.6202098967612
ENSMUSG00000099250	Rn7s2	103949	7S RNA 2	3.65766400001751	10.6902869892571	44.6473197768617	1.18008701133196e-08	9.3212122807583e-06	12.6202098967612
