genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000064351	COX1	17708	cytochrome c oxidase subunit I	3.05820489877145	16.0894754119527	106.826937673153	1.43216527634895e-14	1.8099704762498e-10	8.3293556742581
ENSMUSG00000064357	ATP6	17705	ATP synthase F0 subunit 6	3.38519617492036	15.3972782450415	102.103342654898	3.28284718508611e-14	2.07443113625591e-10	10.4482989398854
ENSMUSG00000064367	ND5	17721	NADH dehydrogenase subunit 5	3.26549081539948	14.3791709814543	89.5626175153125	3.37670148461317e-13	1.42249177875137e-09	9.61635939553942
ENSMUSG00000064368	ND6	17722	NADH dehydrogenase subunit 6	3.91748405624771	12.8056963127456	77.5052226361963	3.88339716971777e-12	1.22695933577233e-08	15.1105477805501
ENSMUSG00000064363	ND4	17719	NADH dehydrogenase subunit 4	3.3153584765658	13.718769680835	74.353273781827	7.63224184906137e-12	1.92912544976875e-08	9.95456640011489
ENSMUSG00000064370	CYTB	17711	cytochrome b	3.21987952207761	13.709365782815	72.761478213144	1.08047792611897e-11	2.27584667171526e-08	9.31709059897192
ENSMUSG00000020680	Taf15	70439	TATA-box binding protein associated factor 15	-14.9890439398835	8.57672799678543	73.8456586903413	1.3229632558247e-11	2.38851566101608e-08	-32520.0969929187
ENSMUSG00000064345	ND2	17717	NADH dehydrogenase subunit 2	3.34527094526082	13.2080645852634	67.8224701441344	3.26958929522824e-11	5.16513368913681e-08	10.1631163645873
ENSMUSG00000064354	COX2	17709	cytochrome c oxidase subunit II	3.22051794137716	13.5336128217188	66.2190680644352	4.72983428372607e-11	6.64173840863667e-08	9.32121449666075
ENSMUSG00000037563	Rps16	20055	ribosomal protein S16	-14.8540004804268	8.15383344692942	64.0753494967734	1.13314304248626e-10	1.33301872026523e-07	-29614.1792118926
ENSMUSG00000046434	Hnrnpa1	15382	heterogeneous nuclear ribonucleoprotein A1	-10.5839945380801	8.87388613269915	62.410645167503	1.16024734316486e-10	1.33301872026523e-07	-1534.96978092248
ENSMUSG00000064341	ND1	17716	NADH dehydrogenase subunit 1	2.99608163735358	13.5097533903667	61.6839864448776	1.3815633501501e-10	1.45501646826642e-07	7.97830146380642
ENSMUSG00000021218	Gdi2	14569	guanosine diphosphate (GDP) dissociation inhibitor 2	-14.8310749324407	8.69154241328895	57.810392348417	4.95974791883006e-10	4.82163801524417e-07	-29147.3061489901
ENSMUSG00000037940	Inpp4b	234515	inositol polyphosphate-4-phosphatase, type II	-13.0108600084056	8.08263735947183	53.7318430582522	1.35922935488225e-09	1.22699575621442e-06	-8253.89865119231
ENSMUSG00000031666	Rbl2	19651	RB transcriptional corepressor like 2	-13.6295089994514	8.10535986917467	53.1256460210039	1.58431578494811e-09	1.33483885934495e-06	-12673.3385042046
ENSMUSG00000064358	COX3	17710	cytochrome c oxidase subunit III	2.80846471953734	12.8915469335701	46.5111035319591	6.99301474404117e-09	5.28093494915722e-06	7.00538684261525
ENSMUSG00000040785	Ttc3	22129	tetratricopeptide repeat domain 3	-13.4577174130889	7.44586119229881	47.3403724914572	7.17038231454302e-09	5.28093494915722e-06	-11250.6241000637
ENSMUSG00000031627	Irf2	16363	interferon regulatory factor 2	-10.0210185034951	7.61353131643643	46.2494576517705	7.52150886887402e-09	5.28093494915722e-06	-1039.02777381519
ENSMUSG00000041408	Wapl	218914	WAPL cohesin release factor	-14.0107532049443	7.68221051592719	44.5763411918037	1.52350398331405e-08	9.66726805556232e-06	-16506.575266832
ENSMUSG00000037646	Vps13b	666173	vacuolar protein sorting 13B	-13.4300132368756	7.16352578313443	44.4974097098626	1.55715501220249e-08	9.66726805556232e-06	-11036.6387235163
ENSMUSG00000074656	Eif2s2	67204	eukaryotic translation initiation factor 2, subunit 2 (beta)	-14.5574832935088	8.47410143939847	44.3851133305666	1.60636674447546e-08	9.66726805556232e-06	-24112.3274450612
ENSMUSG00000075010	AW112010	107350	expressed sequence AW112010	-8.86870531933192	8.28466208735769	43.3450867555277	1.71128752377066e-08	9.83056896609709e-06	-467.462011831138
ENSMUSG00000054766	Set	56086	SET nuclear oncogene	-13.582413060035	7.35318010557765	43.69608916286	1.94587473502394e-08	1.06921586527098e-05	-12266.3045879166
ENSMUSG00000032116	Stt3a	16430	STT3, subunit of the oligosaccharyltransferase complex, homolog A (S. cerevisiae)	-13.5218727112413	7.78278285548434	43.2148265741353	2.22661836472365e-08	1.1725001205574e-05	-11762.2196064405
ENSMUSG00000021149	Gtpbp4	69237	GTP binding protein 4	-9.37820304415374	7.62716398902829	42.2677858005383	2.33635001862484e-08	1.18107166141523e-05	-665.457649552286
ENSMUSG00000061808	Ttr	22139	transthyretin	14.2545437012155	7.6830431046064	41.3535468507458	3.05150081901393e-08	1.47993328704935e-05	19545.42996422
ENSMUSG00000024384	Iws1	73473	IWS1, SUPT6 interacting protein	-9.91700900882089	7.48526911244513	41.2327124124331	3.1617501780608e-08	1.47993328704935e-05	-966.756674043895
ENSMUSG00000032253	Phip	83946	pleckstrin homology domain interacting protein	-9.89210861862463	7.74373275152829	40.4409715310458	3.9941684834722e-08	1.80279647479006e-05	-950.213977582414
