genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000042064	Myo3b	329421	myosin IIIB	8.0481114708798	8.10926497924229	6.51001195063308	1.31056976516695e-05	0.0729829464125721	264.681118468217
ENSMUSG00000067058	Rps15a-ps5	100042335	ribosomal protein S15A, pseudogene 5	-12.9008397425879	-144269490.840468	4.20174009518314	5.16823213521274e-05	0.0729829464125721	-7647.85652256571
ENSMUSG00000046573	Lyrm4	380840	LYR motif containing 4	-9.34774914305772	-10.0659821515942	2.16686679039083	8.52297147309226e-05	0.0729829464125721	-651.557703647742
ENSMUSG00000015750	Aph1a	226548	aph1 homolog A, gamma secretase subunit	-8.82822887258916	-144269486.764869	3.43489307073125	9.03601358705008e-05	0.0729829464125721	-454.529106546358
ENSMUSG00000081895	Rpl17-ps10	100042880	ribosomal protein L17, pseudogene 10	-10.7966329693636	-11.0702085240918	4.30985476634691	9.74929647280745e-05	0.0729829464125721	-1778.73141723051
ENSMUSG00000026482	Rgl1	19731	ral guanine nucleotide dissociation stimulator,-like 1	-8.60623196532273	-8.70445302543947	3.63760905674719	0.00010436115914322	0.0729829464125721	-389.703199319064
ENSMUSG00000068966	Zbtb34	241311	zinc finger and BTB domain containing 34	-8.66191625086215	-9.06167725587278	2.31042889545259	0.000107335914258324	0.0729829464125721	-405.038784829095
ENSMUSG00000035620	Ric8b	237422	RIC8 guanine nucleotide exchange factor B	8.40749617475174	8.49612368858873	4.81808756898703	0.000110687529351955	0.0729829464125721	339.553754607751
ENSMUSG00000043061	Tmem18	211986	transmembrane protein 18	-9.65195902075606	-144269487.589982	3.9169391059119	0.000138735348628819	0.0729829464125721	-804.505805039328
ENSMUSG00000090215	Trim34b	434218	tripartite motif-containing 34B	-11.1620890645553	-144269489.101276	3.00111417158139	0.000146475898478931	0.0729829464125721	-2291.51984517784
ENSMUSG00000024142	Mlst8	56716	MTOR associated protein, LST8 homolog (S. cerevisiae)	-8.48454556578115	-9.11598483861356	2.75453473148691	0.000160867995181386	0.0729829464125721	-358.181140416488
ENSMUSG00000026989	Dapl1	76747	death associated protein-like 1	-7.9761867077224	-8.13583154339121	2.88220466826004	0.000161517246517632	0.0729829464125721	-251.809116953499
ENSMUSG00000004110	Cacna1e	12290	calcium channel, voltage-dependent, R type, alpha 1E subunit	-8.76374330854552	-9.2765493674072	2.62800914384742	0.000171306226780581	0.0729829464125721	-434.659934449738
ENSMUSG00000069917	Hba-a2	110257	hemoglobin alpha, adult chain 2	-8.23304724888179	-8.28305253648768	4.72202363991142	0.000175143375019347	0.0729829464125721	-300.880593882688
ENSMUSG00000044309	Apol7c	108956	apolipoprotein L 7c	-7.9915365051348	-8.11538031971434	4.18717354280203	0.000176262629503201	0.0729829464125721	-254.502585958495
ENSMUSG00000048416	Mlf1	17349	myeloid leukemia factor 1	-10.3240974872795	-144269488.262789	2.72638656531314	0.000182975615199081	0.0729829464125721	-1281.92619437602
ENSMUSG00000025461	Cd163l1	244233	CD163 molecule-like 1	-8.22404731348431	-8.32672871962565	3.26022112997785	0.000183575701053488	0.0729829464125721	-299.009458937639
ENSMUSG00000028405	Aco1	11428	aconitase 1	8.47149036332556	144269486.407241	3.25522252612659	0.000187537554783581	0.0729829464125721	354.954517120477
ENSMUSG00000027035	Cers6	241447	ceramide synthase 6	-9.03656001024045	-9.70549294910375	2.71995907420156	0.000188567772239708	0.0729829464125721	-525.140629826966
ENSMUSG00000031887	Tradd	71609	TNFRSF1A-associated via death domain	-8.32643583669082	-144269486.261748	1.04767782137175	0.00018997732586638	0.0729829464125721	-321.001412783659
ENSMUSG00000035704	Alg8	381903	asparagine-linked glycosylation 8 (alpha-1,3-glucosyltransferase)	-9.0808427435978	-9.36534462527794	2.76918850312767	0.000208841085018134	0.0729829464125721	-541.509464631986
ENSMUSG00000048215	A630023P12Rik	231603	RIKEN cDNA A630023P12 gene	-8.48028650525201	-8.59293149728037	3.28230504346281	0.000221256825921175	0.0729829464125721	-357.125293165833
ENSMUSG00000047759	Hs3st3a1	15478	heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1	-11.4067302345096	-144269489.346016	2.60496101355791	0.000222819643662541	0.0729829464125721	-2714.98824160534
ENSMUSG00000030674	Qprt	67375	quinolinate phosphoribosyltransferase	-9.14793225007671	-10.3529158096178	1.39146751041298	0.000236190090332814	0.0729829464125721	-567.285921355322
ENSMUSG00000033705	Stard9	668880	START domain containing 9	-8.91052028215063	-9.40935988365321	2.00811574658709	0.000239638441028431	0.0729829464125721	-481.209155780563
ENSMUSG00000026198	Abcb6	74104	ATP-binding cassette, sub-family B (MDR/TAP), member 6	8.50294237584767	8.6957078045977	3.43157721546248	0.000250978562714785	0.0729829464125721	362.777803138914
ENSMUSG00000022359	Wdyhv1	76773	WDYHV motif containing 1	-9.23920729585129	-10.3914188667895	2.0102547950929	0.000256769903709947	0.0729829464125721	-604.336092508953
ENSMUSG00000025545	Clybl	69634	citrate lyase beta like	8.45784158777861	8.55214295372574	3.90984537303505	0.000262868903936095	0.0729829464125721	351.612265562076
ENSMUSG00000036106	Prr5	109270	proline rich 5 (renal)	-9.5002976103156	-144269487.438121	0.857801020550816	0.000284081419444254	0.0729829464125721	-724.226727629457
ENSMUSG00000060568	Fam78b	226610	family with sequence similarity 78, member B	-9.03810563737333	-144269486.975176	0.986311994302484	0.000286629136181643	0.0729829464125721	-525.703539194045
ENSMUSG00000042743	Sgtb	218544	small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta	-8.07568271919677	-8.13180277079154	3.80523454266139	0.000297820706419649	0.0729829464125721	-269.788065427393
ENSMUSG00000021982	Cdadc1	71891	cytidine and dCMP deaminase domain containing 1	7.88098104933302	7.99767522479784	3.70420503153782	0.000305061956737536	0.0729829464125721	235.728282031406
ENSMUSG00000042208	0610010F05Rik	71675	RIKEN cDNA 0610010F05 gene	-7.97114433327072	-8.32902843510634	2.5614679756625	0.000309839908993957	0.0729829464125721	-250.930553218166
ENSMUSG00000029145	Eif2b4	13667	eukaryotic translation initiation factor 2B, subunit 4 delta	9.07293529431201	144269487.010066	3.49586968593716	0.000311574977029131	0.0729829464125721	538.549556158729
ENSMUSG00000021614	Vcan	13003	versican	-9.9171220861356	-11.0711845871075	2.27111790120785	0.00031900557487214	0.0729829464125721	-966.832450649366
ENSMUSG00000024947	Men1	17283	multiple endocrine neoplasia 1	-7.01771444351453	-7.10715227415369	2.82258390636911	0.000319753657495432	0.0729829464125721	-129.581364416566
ENSMUSG00000056071	S100a9	20202	S100 calcium binding protein A9 (calgranulin B)	-8.48491589967097	-8.56344558670705	3.75968803711492	0.000321117149856777	0.0729829464125721	-358.273095845466
