genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000023034	Nr4a1	15370	nuclear receptor subfamily 4, group A, member 1	7.52732565021185	7.53075464319036	10.5932102721213	9.88786097143112e-15	1.24962786956947e-10	184.480644773513
ENSMUSG00000028341	Nr4a3	18124	nuclear receptor subfamily 4, group A, member 3	6.40820939940712	6.41029637516944	10.4704318746617	4.0740283646213e-12	2.5743785236042e-08	84.9304152955402
ENSMUSG00000019850	Tnfaip3	21929	tumor necrosis factor, alpha-induced protein 3	4.43239936136398	4.43258789017746	10.7009838617883	1.04035223267212e-10	4.38265717217008e-07	21.5916166316015
ENSMUSG00000026826	Nr4a2	18227	nuclear receptor subfamily 4, group A, member 2	5.79283582675598	5.79436688749007	9.88509682249462	2.01642070033505e-10	6.33769171569266e-07	55.4392496735148
ENSMUSG00000029135	Fosl2	14284	fos-like antigen 2	6.15240947859381	6.15499395466559	8.88551761087654	2.50739504498048e-10	6.33769171569266e-07	71.1311448460055
ENSMUSG00000090877	Hspa1b	15511	heat shock protein 1B	4.25531967998921	4.25552843853166	12.722833944272	1.76697713270683e-09	3.72184283385816e-06	19.097603167502
ENSMUSG00000038418	Egr1	13653	early growth response 1	5.129866074282	5.13107398886654	9.97089990717132	2.92604079483139e-09	5.28275765215416e-06	35.0141479179338
ENSMUSG00000091971	Hspa1a	193740	heat shock protein 1A	4.40845696619429	4.40872876604169	12.2814649884402	5.5679012308096e-08	8.79589196937147e-05	21.2362476560158
ENSMUSG00000061808	Ttr	22139	transthyretin	13.1539572902808	14.0574749449947	7.6830431046064	6.83550760274388e-08	9.5985716759419e-05	9114.55995529694
ENSMUSG00000066278	Vps37b	330192	vacuolar protein sorting 37B	4.78012420557726	4.78122963529676	8.24042176496843	3.78003071065003e-07	0.000477720281211951	27.4764593880144
ENSMUSG00000026628	Atf3	11910	activating transcription factor 3	9.0534919119779	9.55426779222894	6.94488029164674	6.07867827864004e-07	0.000698384873504117	531.340146307131
ENSMUSG00000021250	Fos	14281	FBJ osteosarcoma oncogene	3.73274912905226	3.7337430166925	9.41431285161453	1.7185198006711e-06	0.00180988777007344	13.2944218109645
ENSMUSG00000045573	Penk	18619	preproenkephalin	-11.6167361002689	-144269489.556094	4.08679745003227	4.09124807972388e-06	0.00397732255627311	-3140.40758685829
ENSMUSG00000034765	Dusp5	240672	dual specificity phosphatase 5	4.73048617198077	4.73224349967547	7.35559711134108	5.09279579539515e-06	0.00459733951872885	26.5471700561922
ENSMUSG00000024042	Sik1	17691	salt inducible kinase 1	5.01984964269692	5.02453940518205	6.645760400498	6.09501861770574e-06	0.00513525635270434	32.4433219424785
ENSMUSG00000067149	Jchain	16069	immunoglobulin joining chain	-10.628290080188	-144269488.567196	2.49956148418996	1.32816356205501e-05	0.010490831935782	-1582.829430452
ENSMUSG00000030103	Bhlhe40	20893	basic helix-loop-helix family, member e40	3.34845955756525	3.34882017433078	8.44056752429316	1.69843511907984e-05	0.0126263664911359	10.1856034981402
ENSMUSG00000003545	Fosb	14282	FBJ osteosarcoma oncogene B	3.80672132147723	3.80812965167616	8.67455016862181	2.14936735584291e-05	0.0150909470239681	13.9938528515639
