genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000064351	COX1	17708	cytochrome c oxidase subunit I	3.05820489877145	3.05820564954175	16.0894754119527	7.08232098326796e-13	6.53875527570091e-09	8.3293556742581
ENSMUSG00000064357	ATP6	17705	ATP synthase F0 subunit 6	3.38519617492036	3.38519749141465	15.3972782450415	1.03477690705822e-12	6.53875527570091e-09	10.4482989398854
ENSMUSG00000064367	ND5	17721	NADH dehydrogenase subunit 5	3.26549081539948	3.26549364147166	14.3791709814543	9.93122107265838e-12	4.18369239720855e-08	9.61635939553942
ENSMUSG00000020680	Taf15	70439	TATA-box binding protein associated factor 15	-14.9890439398835	-144269492.928817	8.57672799678543	1.59879281806597e-11	5.05138590867942e-08	-32520.0969929187
ENSMUSG00000064368	ND6	17722	NADH dehydrogenase subunit 6	3.91748405624771	3.91749549226978	12.8056963127456	3.64444411311484e-11	9.21169694030908e-08	15.1105477805501
ENSMUSG00000037563	Rps16	20055	ribosomal protein S16	-14.8540004804268	-144269492.793769	8.15383344692942	1.34588027598301e-10	2.34770813743161e-07	-29614.1792118926
ENSMUSG00000046434	Hnrnpa1	15382	heterogeneous nuclear ribonucleoprotein A1	-10.5839945380801	-10.6508828735108	8.87388613269915	1.46978358756737e-10	2.34770813743161e-07	-1534.96978092248
ENSMUSG00000064363	ND4	17719	NADH dehydrogenase subunit 4	3.3153584765658	3.31536267536527	13.718769680835	1.48612637280051e-10	2.34770813743161e-07	9.95456640011489
ENSMUSG00000064370	CYTB	17711	cytochrome b	3.21987952207761	3.21988400717643	13.709365782815	2.27943767063639e-10	3.20083703127808e-07	9.31709059897192
ENSMUSG00000064345	ND2	17717	NADH dehydrogenase subunit 2	3.34527094526082	3.34527695141995	13.2080645852634	5.10040385800653e-10	6.44589039574865e-07	10.1631163645873
ENSMUSG00000021218	Gdi2	14569	guanosine diphosphate (GDP) dissociation inhibitor 2	-14.8310749324407	-144269492.770843	8.69154241328895	5.82422743459803e-10	6.69150784713181e-07	-29147.3061489901
ENSMUSG00000064354	COX2	17709	cytochrome c oxidase subunit II	3.22051794137716	3.22052266543866	13.5336128217188	8.51988115449653e-10	8.97285483587726e-07	9.32121449666075
ENSMUSG00000037940	Inpp4b	234515	inositol polyphosphate-4-phosphatase, type II	-13.0108600084056	-144269490.950502	8.08263735947183	1.70147047095385e-09	1.65409106245498e-06	-8253.89865119231
ENSMUSG00000031666	Rbl2	19651	RB transcriptional corepressor like 2	-13.6295089994514	-144269491.569212	8.10535986917467	1.91906935529425e-09	1.73237132230062e-06	-12673.3385042046
ENSMUSG00000064341	ND1	17716	NADH dehydrogenase subunit 1	2.99608163735358	2.99608565644304	13.5097533903667	2.51381447367781e-09	2.11797248788935e-06	7.97830146380642
ENSMUSG00000040785	Ttc3	22129	tetratricopeptide repeat domain 3	-13.4577174130889	-144269491.397406	7.44586119229881	8.53578099425978e-09	6.74220001284095e-06	-11250.6241000637
ENSMUSG00000031627	Irf2	16363	interferon regulatory factor 2	-10.0210185034951	-10.157148820259	7.61353131643643	9.44770774420220e-09	7.02353708654278e-06	-1039.02777381519
ENSMUSG00000041408	Wapl	218914	WAPL cohesin release factor	-14.0107532049443	-144269491.950483	7.68221051592719	1.76306341726177e-08	1.15885177623138e-05	-16506.575266832
ENSMUSG00000037646	Vps13b	666173	vacuolar protein sorting 13B	-13.4300132368756	-144269491.3697	7.16352578313443	1.83337191658627e-08	1.15885177623138e-05	-11036.6387235163
ENSMUSG00000074656	Eif2s2	67204	eukaryotic translation initiation factor 2, subunit 2 (beta)	-14.5574832935088	-144269492.497241	8.47410143939847	1.83391640486055e-08	1.15885177623138e-05	-24112.3274450612
ENSMUSG00000075010	AW112010	107350	expressed sequence AW112010	-8.86870531933192	-8.91579266524094	8.28466208735769	2.19504220807246e-08	1.30644044652818e-05	-467.462011831138
ENSMUSG00000054766	Set	56086	SET nuclear oncogene	-13.582413060035	-144269491.522113	7.35318010557765	2.27422771194967e-08	1.30644044652818e-05	-12266.3045879166
ENSMUSG00000032116	Stt3a	16430	STT3, subunit of the oligosaccharyltransferase complex, homolog A (S. cerevisiae)	-13.5218727112413	-144269491.461567	7.78278285548434	2.61097456543381e-08	1.43467376338924e-05	-11762.2196064405
ENSMUSG00000021149	Gtpbp4	69237	GTP binding protein 4	-9.37820304415374	-9.44411058575521	7.62716398902829	2.90741078126485e-08	1.53099406056772e-05	-665.457649552286
ENSMUSG00000061808	Ttr	22139	transthyretin	14.2545437012155	14.8879167785797	7.6830431046064	3.29571760562817e-08	1.66605116399715e-05	19545.42996422
ENSMUSG00000024384	Iws1	73473	IWS1, SUPT6 interacting protein	-9.91700900882089	-10.0530039640127	7.48526911244513	3.89264631627573e-08	1.89212554404203e-05	-966.756674043895
ENSMUSG00000032253	Phip	83946	pleckstrin homology domain interacting protein	-9.89210861862463	-10.0283559831202	7.74373275152829	4.91131960949789e-08	2.29886137869757e-05	-950.213977582414
ENSMUSG00000020128	Vps54	245944	VPS54 GARP complex subunit	-13.2733477573714	-144269491.213019	7.42540364455883	5.29033475833167e-08	2.38433035125679e-05	-9900.92607437196
ENSMUSG00000043535	Setx	269254	senataxin	-14.1585633547033	-144269492.098302	7.82552487620182	5.47124388245347e-08	2.38433035125679e-05	-18287.4126730723
ENSMUSG00000037849	LOC102639543	102639543	signaling mucin HKR1-like	-9.14043883149178	-9.28739643249532	7.03223005977313	8.27213470789641e-08	3.37650013453887e-05	-564.347053382577
ENSMUSG00000021577	Sdha	66945	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	-9.74506892053666	-9.89198768516479	7.15069467453126	8.28228391918856e-08	3.37650013453887e-05	-858.1398200412
ENSMUSG00000031715	Smarca5	93762	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	-7.35280505123839	-7.35880952706356	8.36752414740071	8.81924401115669e-08	3.42015659048064e-05	-163.461271459729
ENSMUSG00000064358	COX3	17710	cytochrome c oxidase subunit III	2.80846471953734	2.80846993695504	12.8915469335701	8.93061936112211e-08	3.42015659048064e-05	7.00538684261525
ENSMUSG00000019961	Tmpo	21917	thymopoietin	-13.0148032382447	-144269490.954446	7.09634649926204	9.47488794388682e-08	3.5218715833777e-05	-8276.48938482909
ENSMUSG00000078427	Sarnp	66118	SAP domain containing ribonucleoprotein	-14.4662099398575	-144269492.405963	8.09342069021538	1.0233888038612e-07	3.69531077234225e-05	-22634.0940144663
ENSMUSG00000047187	Rab2a	59021	RAB2A, member RAS oncogene family	-12.9403384623308	-144269490.879972	6.90946826011634	1.11725134902421e-07	3.92217293026887e-05	-7860.13547009698
ENSMUSG00000042079	Hnrnpf	98758	heterogeneous nuclear ribonucleoprotein F	-7.1903477445996	-7.19560237799659	9.58139669313797	1.16775356797869e-07	3.98866745732828e-05	-146.052955728617
ENSMUSG00000033047	Eif3l	223691	eukaryotic translation initiation factor 3, subunit L	-12.700906720653	-144269490.640507	6.87294671031645	1.23399959989409e-07	4.1040228798583e-05	-6658.15490576803
ENSMUSG00000028248	Pnisr	66625	PNN interacting serine/arginine-rich	-13.1589404502862	-144269491.0986	6.91727348456139	1.37703883950162e-07	4.42186249240354e-05	-9146.09665593324
ENSMUSG00000032504	Pdcd6ip	18571	programmed cell death 6 interacting protein	-8.01710445777539	-8.04179838865091	7.780360156467	1.39954502054235e-07	4.42186249240354e-05	-259.05317542866
ENSMUSG00000032328	Tmem30a	69981	transmembrane protein 30A	-12.3611437762477	-144269490.300687	6.65147312525487	1.44983891354848e-07	4.46682168210849e-05	-5261.08183691919
ENSMUSG00000078763	Slfn1	20555	schlafen 1	-11.436181725832	-144269489.375478	6.74278082134749	1.48446360696753e-07	4.46682168210849e-05	-2770.98219574119
ENSMUSG00000045382	Cxcr4	12767	chemokine (C-X-C motif) receptor 4	-9.39779561390193	-9.54510592625987	6.80074854489684	1.68091492810422e-07	4.94032624683283e-05	-674.556564327517
ENSMUSG00000030059	Tmf1	232286	TATA element modulatory factor 1	-12.7033501060009	-144269490.642951	6.1944159191448	1.74873522696683e-07	5.0228444996379e-05	-6669.44088220938
ENSMUSG00000028034	Fubp1	51886	far upstream element (FUSE) binding protein 1	-13.9237616431899	-144269491.863486	7.48960497021733	1.84299144703609e-07	5.17593909058712e-05	-15540.6760333627
ENSMUSG00000078945	Naip2	17948	NLR family, apoptosis inhibitory protein 2	-9.98533082662517	-10.1329924741925	6.59937217089824	2.1736534566734e-07	5.97187660553009e-05	-1013.64082906271
ENSMUSG00000040710	St8sia4	20452	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	-12.6941089620089	-144269490.633708	6.64494185013483	2.31402758926852e-07	6.22227248365438e-05	-6626.85649154252
