genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000020680	Taf15	70439	TATA-box binding protein associated factor 15	14.6071790081731	144269492.546938	8.57672799678543	3.09442277212065e-10	3.91073149940607e-06	24957.382406503
ENSMUSG00000037940	Inpp4b	234515	inositol polyphosphate-4-phosphatase, type II	13.9016952108475	144269491.841394	8.08263735947183	3.14309038611447e-09	1.71410259625317e-05	15304.7855635015
ENSMUSG00000046434	Hnrnpa1	15382	heterogeneous nuclear ribonucleoprotein A1	10.2031466461464	10.2700172513937	8.87388613269915	4.0689252957426e-09	1.71410259625317e-05	1178.83545854553
ENSMUSG00000037849	LOC102639543	102639543	signaling mucin HKR1-like	11.6935659471088	11.8407772993782	7.03223005977313	6.66579937326044e-09	2.10605931198164e-05	3312.18134168433
ENSMUSG00000040785	Ttc3	22129	tetratricopeptide repeat domain 3	14.614597413903	144269492.554355	7.44586119229881	9.64808236921138e-09	2.43864929964187e-05	25086.0449511649
ENSMUSG00000031666	Rbl2	19651	RB transcriptional corepressor like 2	13.1040997220439	144269491.043796	8.10535986917467	4.48907311651964e-08	9.45548434109588e-05	8804.95381948817
ENSMUSG00000074656	Eif2s2	67204	eukaryotic translation initiation factor 2, subunit 2 (beta)	14.9890587413773	144269492.928831	8.47410143939847	5.96659674954426e-08	0.0001077226424582	32520.4306382638
ENSMUSG00000021218	Gdi2	14569	guanosine diphosphate (GDP) dissociation inhibitor 2	12.8968245175031	144269490.836435	8.69154241328895	1.34383727570535e-07	0.000212292693629552	7626.6010445009
ENSMUSG00000037646	Vps13b	666173	vacuolar protein sorting 13B	13.2680003850153	144269491.2076	7.16352578313443	1.7658133388993e-07	0.000247959433077882	9864.29605955416
ENSMUSG00000045382	Cxcr4	12767	chemokine (C-X-C motif) receptor 4	10.4688384193367	10.6162078395017	6.80074854489684	2.15934688522588e-07	0.000265150953446649	1417.21057392387
ENSMUSG00000075595	Zfp652	268469	zinc finger protein 652	13.4229230583014	144269491.362609	6.83881131733039	2.30784972931883e-07	0.000265150953446649	10982.5318150828
ENSMUSG00000061991	Hist1h2af	319173	histone cluster 1, H2af	-12.5797946294227	-144269490.51947	8.37020763382776	2.77292123486243e-07	0.000271923296874102	-6122.03097679913
ENSMUSG00000054766	Set	56086	SET nuclear oncogene	13.2415279662182	144269491.181112	7.35318010557765	2.79712205994882e-07	0.000271923296874102	9684.94382957161
ENSMUSG00000028719	Cmpk1	66588	cytidine monophosphate (UMP-CMP) kinase 1	15.4079592416878	144269493.347962	6.38939422865664	4.54236580626392e-07	0.000364858804133367	43476.833263584
ENSMUSG00000026491	Ahctf1	226747	AT hook containing transcription factor 1	14.0325686187779	144269491.972309	6.92081143743079	4.61605540023498e-07	0.000364858804133367	16758.0727122259
ENSMUSG00000025781	Atp5c1	11949	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	14.7406287548546	144269492.680533	6.65091957575625	4.82500618159461e-07	0.000364858804133367	27376.0893821388
ENSMUSG00000075010	AW112010	107350	expressed sequence AW112010	8.54229022376255	8.5893179347837	8.28466208735769	5.15111177998506e-07	0.000364858804133367	372.808314022699
ENSMUSG00000034042	Gpbp1l1	77110	GC-rich promoter binding protein 1-like 1	13.809623432342	144269491.74934	7.10060952210249	5.4441454503998e-07	0.000364858804133367	14358.5598233891
ENSMUSG00000015750	Aph1a	226548	aph1 homolog A, gamma secretase subunit	-19.3034408541974	-144269497.456012	3.43489307073125	5.48529615329481e-07	0.000364858804133367	-647015.547408888
ENSMUSG00000021149	Gtpbp4	69237	GTP binding protein 4	8.99774925417254	9.06362541066219	7.62716398902829	6.25699138367929e-07	0.000384470594560773	511.201852516355
ENSMUSG00000031627	Irf2	16363	interferon regulatory factor 2	9.09158482578429	9.22759588152723	7.61353131643643	6.63459561977421e-07	0.000384470594560773	545.556507748111
ENSMUSG00000028696	Ipp	16351	IAP promoted placental gene	-22.2452259826216	-144269500.87431	4.71075090807589	6.6927940183075e-07	0.000384470594560773	-4971418.00756989
ENSMUSG00000032116	Stt3a	16430	STT3, subunit of the oligosaccharyltransferase complex, homolog A (S. cerevisiae)	12.7181641625523	144269490.657705	7.78278285548434	7.04637081207904e-07	0.000387182757926326	6738.277659869
ENSMUSG00000059495	Arhgef12	69632	Rho guanine nucleotide exchange factor (GEF) 12	15.1935942828838	144269493.133541	6.21498121892638	7.82347984079232e-07	0.000411971409283055	37473.7902059265
ENSMUSG00000042079	Hnrnpf	98758	heterogeneous nuclear ribonucleoprotein F	7.44323140554179	7.44848649188523	9.58139669313797	9.61374795482691e-07	0.00048599418661241	174.034727564876
ENSMUSG00000029152	Ociad1	68095	OCIA domain containing 1	14.1230430490625	144269492.062813	6.65273039747502	1.09463010035929e-06	0.000517222576605237	17842.6595044406
ENSMUSG00000028552	Eps15	13858	epidermal growth factor receptor pathway substrate 15	14.5385652846806	144269492.478328	7.6970289664928	1.10500154837327e-06	0.000517222576605237	23798.2073754377
ENSMUSG00000022385	Gtse1	29870	G two S phase expressed protein 1	-20.4309393236021	-144269499.517248	4.18026130460585	1.21730625743459e-06	0.000538326488123912	-1413596.87362697
ENSMUSG00000054321	Taf4b	72504	TATA-box binding protein associated factor 4b	15.6626381820933	144269493.603151	6.32105500028834	1.27874972610222e-06	0.000538326488123912	51870.9144088885
ENSMUSG00000064145	Arih2	23807	ariadne RBR E3 ubiquitin protein ligase 2	14.3850059685948	144269492.324805	6.84444861681604	1.30038992715057e-06	0.000538326488123912	21395.2952662716
ENSMUSG00000007739	Cct4	12464	chaperonin containing Tcp1, subunit 4 (delta)	12.8897866622983	144269490.829392	6.50068187750913	1.32047168316516e-06	0.000538326488123912	7589.4870289814
ENSMUSG00000024384	Iws1	73473	IWS1, SUPT6 interacting protein	9.2210111046129	9.356961579266	7.48526911244513	1.37582447417668e-06	0.000543364678270151	596.761686780168
ENSMUSG00000040710	St8sia4	20452	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	12.7017907964395	144269490.64131	6.64494185013483	1.47343169109386e-06	0.000564279688243764	6662.23623778025
ENSMUSG00000032253	Phip	83946	pleckstrin homology domain interacting protein	9.23770185440992	9.37383648218642	7.74373275152829	1.57956954489883e-06	0.000587135291424455	603.705801243926
ENSMUSG00000020128	Vps54	245944	VPS54 GARP complex subunit	12.3190682785631	144269490.258582	7.42540364455883	1.73443110394912e-06	0.000626278294048828	5109.86081169779
ENSMUSG00000031715	Smarca5	93762	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	7.17586293177952	7.18186189766849	8.36752414740071	1.86797811185032e-06	0.000647914037218128	144.593905169467
ENSMUSG00000035024	Ncapd3	78658	non-SMC condensin II complex, subunit D3	13.5083407569869	144269491.448038	6.52664281560542	1.89688395134284e-06	0.000647914037218128	11652.4100605444
ENSMUSG00000008398	Elk3	13713	ELK3, member of ETS oncogene family	11.983332679906	12.134248598083	5.42819764827714	2.00431661079484e-06	0.00066659350861119	4048.9515935085
ENSMUSG00000093904	Tomm20	67952	translocase of outer mitochondrial membrane 20 homolog (yeast)	-12.5717387047599	-144269490.511217	6.01444437281807	2.74425639673361e-06	0.000874207676690905	-6087.94118045793
ENSMUSG00000027985	Lef1	16842	lymphoid enhancer binding factor 1	13.5147812494083	144269491.454464	6.68565165384023	2.76691779297644e-06	0.000874207676690905	11704.5451406786
ENSMUSG00000031954	Cfdp1	23837	craniofacial development protein 1	13.0455611303175	144269490.985158	6.51411390317191	2.88817677266147e-06	0.00089026287933892	8454.83643934751
ENSMUSG00000011257	Pabpc4	230721	poly(A) binding protein, cytoplasmic 4	-10.1814446837715	-10.1899285513389	7.68209806293204	3.07311189088136e-06	0.000904134524294554	-1161.23535261348
ENSMUSG00000029804	Herc3	73998	hect domain and RLD 3	15.0602499574326	144269493.000107	6.61947661155849	3.07626084385708e-06	0.000904134524294554	34165.4369494877
ENSMUSG00000029203	Ube2k	53323	ubiquitin-conjugating enzyme E2K	14.6514573792492	144269492.591436	6.21856311667245	3.24632414847082e-06	0.00093243283155396	25735.2357705821
ENSMUSG00000042064	Myo3b	329421	myosin IIIB	15.4949058750939	144269493.434773	6.51001195063308	3.64031947176319e-06	0.000991204846907587	46177.6096675186
