genes	Symbol	Entrezid	Genename	logFC	unshrunk.logFC	logCPM	PValue	FDR	FC
ENSMUSG00000064367	ND5	17721	NADH dehydrogenase subunit 5	4.14200263118836	4.1420070234941	14.3791709814543	1.19887374390938e-15	1.51513663755267e-11	17.654972039794
ENSMUSG00000064351	COX1	17708	cytochrome c oxidase subunit I	3.32197966121744	3.32198045944313	16.0894754119527	1.72035540466299e-14	1.08709258020654e-10	10.0003574369509
ENSMUSG00000064357	ATP6	17705	ATP synthase F0 subunit 6	3.48950383409675	3.48950538213973	15.3972782450415	1.47606375417923e-13	6.21816457510569e-10	11.2316955818122
ENSMUSG00000064368	ND6	17722	NADH dehydrogenase subunit 6	4.33122709205332	4.33124262619214	12.8056963127456	9.09140951334917e-13	2.87243083574267e-09	20.1293278216052
ENSMUSG00000064370	CYTB	17711	cytochrome b	3.58033232036458	3.58033701621854	13.709365782815	3.96865907665836e-12	1.00311826821617e-08	11.961548977776
ENSMUSG00000064363	ND4	17719	NADH dehydrogenase subunit 4	3.59281835278969	3.59282333062677	13.718769680835	5.6726487449522e-12	1.19484891397843e-08	12.0655213691507
ENSMUSG00000064354	COX2	17709	cytochrome c oxidase subunit II	3.6246687691013	3.62467470048702	13.5336128217188	1.18611833135532e-11	2.14145192452408e-08	12.3348542971877
ENSMUSG00000064345	ND2	17717	NADH dehydrogenase subunit 2	3.61719001747261	3.61719724812677	13.2080645852634	2.41900982305373e-11	3.60197447266186e-08	12.2710773954818
ENSMUSG00000064341	ND1	17716	NADH dehydrogenase subunit 1	3.4355179736742	3.43552324786875	13.5097533903667	2.56510288447197e-11	3.60197447266186e-08	10.8191703952889
ENSMUSG00000037563	Rps16	20055	ribosomal protein S16	-9.63921239797389	-9.68644038236576	8.15383344692942	1.71355700506535e-10	2.1655933430016e-07	-797.429074951541
ENSMUSG00000061991	Hist1h2af	319173	histone cluster 1, H2af	-14.7144053334829	-144269492.654169	8.37020763382776	5.60883170320878e-10	6.12244172442208e-07	-26882.9778206626
ENSMUSG00000078763	Slfn1	20555	schlafen 1	-10.5786240660898	-10.7813092986848	6.74278082134749	5.81336451124109e-10	6.12244172442208e-07	-1529.26643568902
ENSMUSG00000064358	COX3	17710	cytochrome c oxidase subunit III	3.1401703780483	3.14017728649986	12.8915469335701	3.35714933849624e-09	3.26366564153196e-06	8.81628204255825
ENSMUSG00000039304	Tnfsf10	22035	tumor necrosis factor (ligand) superfamily, member 10	-12.4793088145291	-144269490.418873	6.1356372280292	1.68124080756316e-08	1.51768009471308e-05	-5710.13371536293
ENSMUSG00000065947	ND4L	17720	NADH dehydrogenase subunit 4L	4.22996929617002	4.23003178040184	10.5116576805759	2.68680908874559e-08	2.26372621757112e-05	18.7649598224592
ENSMUSG00000006360	Crip1	12925	cysteine-rich protein 1 (intestinal)	-12.4687841854594	-144269490.408347	5.478877417896	3.76619712681342e-08	2.97482495554175e-05	-5668.62919624625
ENSMUSG00000056498	Tmem154	320782	transmembrane protein 154	-13.4066284825081	-144269491.346313	5.67288995787652	4.91603331799011e-08	3.65463700427994e-05	-10859.187050582
ENSMUSG00000099021	Rn7s1	103948	7S RNA 1	3.65766400001751	3.65771288395092	10.6902869892571	5.94019191750482e-08	3.95116555018031e-05	12.6202098967612
ENSMUSG00000099250	Rn7s2	103949	7S RNA 2	3.65766400001751	3.65771288395092	10.6902869892571	5.94019191750482e-08	3.95116555018031e-05	12.6202098967612
ENSMUSG00000064210	Ano6	105722	anoctamin 6	-12.3993245179961	-144269490.338875	5.62375534509685	6.27213015268327e-08	3.96335904348056e-05	-5402.1744665885
