genes	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	FC
ENSMUSG00000042064	Myo3b	329421	myosin IIIB	8.0481114708798	6.51001195063308	23.4726870829842	1.15239806686026e-05	0.0692632172163621	264.681118468217
ENSMUSG00000067058	Rps15a-ps5	100042335	ribosomal protein S15A, pseudogene 5	-12.9008397425879	4.20174009518314	19.8662721607712	5.01154667751947e-05	0.0692632172163621	-7647.85652256571
ENSMUSG00000046573	Lyrm4	380840	LYR motif containing 4	-9.34774914305772	2.16686679039083	18.5367465264515	8.01424589527645e-05	0.0692632172163621	-651.557703647742
ENSMUSG00000015750	Aph1a	226548	aph1 homolog A, gamma secretase subunit	-8.82822887258916	3.43489307073125	18.2583331395887	8.48041521984661e-05	0.0692632172163621	-454.529106546358
ENSMUSG00000081895	Rpl17-ps10	100042880	ribosomal protein L17, pseudogene 10	-10.7966329693636	4.30985476634691	18.4286193427682	9.3305689083959e-05	0.0692632172163621	-1778.73141723051
ENSMUSG00000026482	Rgl1	19731	ral guanine nucleotide dissociation stimulator,-like 1	-8.60623196532273	3.63760905674719	17.864582327417	9.6536994505938e-05	0.0692632172163621	-389.703199319064
ENSMUSG00000068966	Zbtb34	241311	zinc finger and BTB domain containing 34	-8.66191625086215	2.31042889545259	17.9622290134503	9.97782909760261e-05	0.0692632172163621	-405.038784829095
ENSMUSG00000035620	Ric8b	237422	RIC8 guanine nucleotide exchange factor B	8.40749617475174	4.81808756898703	17.5128271948271	0.000102109513239441	0.0692632172163621	339.553754607751
ENSMUSG00000043061	Tmem18	211986	transmembrane protein 18	-9.65195902075606	3.9169391059119	17.2968621917946	0.00013207823888011	0.0692632172163621	-804.505805039328
ENSMUSG00000090215	Trim34b	434218	tripartite motif-containing 34B	-11.1620890645553	3.00111417158139	17.3849823567916	0.000141833254246426	0.0692632172163621	-2291.51984517784
ENSMUSG00000026989	Dapl1	76747	death associated protein-like 1	-7.9761867077224	2.88220466826004	16.9361893379546	0.000148389250685832	0.0692632172163621	-251.809116953499
ENSMUSG00000024142	Mlst8	56716	MTOR associated protein, LST8 homolog (S. cerevisiae)	-8.48454556578115	2.75453473148691	16.9142788764676	0.000149664063611022	0.0692632172163621	-358.181140416488
ENSMUSG00000004110	Cacna1e	12290	calcium channel, voltage-dependent, R type, alpha 1E subunit	-8.76374330854552	2.62800914384742	16.7338510916238	0.000160607594457472	0.0692632172163621	-434.659934449738
ENSMUSG00000069917	Hba-a2	110257	hemoglobin alpha, adult chain 2	-8.23304724888179	4.72202363991142	16.5560138995463	0.000161758820072768	0.0692632172163621	-300.880593882688
ENSMUSG00000044309	Apol7c	108956	apolipoprotein L 7c	-7.9915365051348	4.18717354280203	16.957276448573	0.000162286787354487	0.0692632172163621	-254.502585958495
ENSMUSG00000025461	Cd163l1	244233	CD163 molecule-like 1	-8.22404731348431	3.26022112997785	16.590080353177	0.000169925753704003	0.0692632172163621	-299.009458937639
ENSMUSG00000028405	Aco1	11428	aconitase 1	8.47149036332556	3.25522252612659	16.5024986737655	0.000175877813527465	0.0692632172163621	354.954517120477
ENSMUSG00000048416	Mlf1	17349	myeloid leukemia factor 1	-10.3240974872795	2.72638656531314	16.8065987807724	0.000176488932167559	0.0692632172163621	-1281.92619437602
ENSMUSG00000027035	Cers6	241447	ceramide synthase 6	-9.03656001024045	2.71995907420156	16.1438627711527	0.000177577657427482	0.0692632172163621	-525.140629826966
ENSMUSG00000031887	Tradd	71609	TNFRSF1A-associated via death domain	-8.32643583669082	1.04767782137175	16.7469562118846	0.000180537504476501	0.0692632172163621	-321.001412783659
ENSMUSG00000035704	Alg8	381903	asparagine-linked glycosylation 8 (alpha-1,3-glucosyltransferase)	-9.0808427435978	2.76918850312767	16.0182875757549	0.000196974189208694	0.0692632172163621	-541.509464631986
ENSMUSG00000048215	A630023P12Rik	231603	RIKEN cDNA A630023P12 gene	-8.48028650525201	3.28230504346281	16.3263181720609	0.000206733098548926	0.0692632172163621	-357.125293165833
ENSMUSG00000047759	Hs3st3a1	15478	heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1	-11.4067302345096	2.60496101355791	16.084275490539	0.000216677046048431	0.0692632172163621	-2714.98824160534
ENSMUSG00000030674	Qprt	67375	quinolinate phosphoribosyltransferase	-9.14793225007671	1.39146751041298	15.6957892237592	0.000224506512548094	0.0692632172163621	-567.285921355322
ENSMUSG00000033705	Stard9	668880	START domain containing 9	-8.91052028215063	2.00811574658709	15.865635204698	0.000226285554995327	0.0692632172163621	-481.209155780563
ENSMUSG00000026198	Abcb6	74104	ATP-binding cassette, sub-family B (MDR/TAP), member 6	8.50294237584767	3.43157721546248	15.7673709097845	0.000235319601392715	0.0692632172163621	362.777803138914
ENSMUSG00000022359	Wdyhv1	76773	WDYHV motif containing 1	-9.23920729585129	2.0102547950929	15.6727346115295	0.000244377374516608	0.0692632172163621	-604.336092508953
ENSMUSG00000025545	Clybl	69634	citrate lyase beta like	8.45784158777861	3.90984537303505	15.6521724938416	0.000246393220093622	0.0692632172163621	351.612265562076
ENSMUSG00000036106	Prr5	109270	proline rich 5 (renal)	-9.5002976103156	0.857801020550816	15.659807571846	0.00027423786689099	0.0692632172163621	-724.226727629457
ENSMUSG00000060568	Fam78b	226610	family with sequence similarity 78, member B	-9.03810563737333	0.986311994302484	15.4760568063666	0.000275435354700065	0.0692632172163621	-525.703539194045
ENSMUSG00000042743	Sgtb	218544	small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta	-8.07568271919677	3.80523454266139	15.3622882663647	0.000276740664282078	0.0692632172163621	-269.788065427393
ENSMUSG00000021982	Cdadc1	71891	cytidine and dCMP deaminase domain containing 1	7.88098104933302	3.70420503153782	15.3058289187785	0.000283093365282746	0.0692632172163621	235.728282031406
ENSMUSG00000042208	0610010F05Rik	71675	RIKEN cDNA 0610010F05 gene	-7.97114433327072	2.5614679756625	15.0909598043483	0.000287522673161968	0.0692632172163621	-250.930553218166
ENSMUSG00000024947	Men1	17283	multiple endocrine neoplasia 1	-7.01771444351453	2.82258390636911	15.0861023936732	0.000288097641132508	0.0692632172163621	-129.581364416566
ENSMUSG00000029145	Eif2b4	13667	eukaryotic translation initiation factor 2B, subunit 4 delta	9.07293529431201	3.49586968593716	15.0602164058052	0.000296126196753962	0.0692632172163621	538.549556158729
ENSMUSG00000056071	S100a9	20202	S100 calcium binding protein A9 (calgranulin B)	-8.48491589967097	3.75968803711492	15.1511529552688	0.000301291530599577	0.0692632172163621	-358.273095845466
ENSMUSG00000021614	Vcan	13003	versican	-9.9171220861356	2.27111790120785	15.1092644057648	0.000306427718290226	0.0692632172163621	-966.832450649366
ENSMUSG00000021880	Rnase6	78416	ribonuclease, RNase A family, 6	-8.08994017718189	2.36314326709551	15.0847138852739	0.000309480525989591	0.0692632172163621	-272.467468332946
ENSMUSG00000047139	Cd24a	12484	CD24a antigen	-8.21150779998635	2.41026507196143	15.0710027198877	0.000311199323693014	0.0692632172163621	-296.42181177727
ENSMUSG00000078439	Smim24	72273	small integral membrane protein 24	-8.30211233856667	2.07405928965677	14.8779958136995	0.000336483702279204	0.0692632172163621	-315.634771945394
ENSMUSG00000026779	Mastl	67121	microtubule associated serine/threonine kinase-like	-9.62236393872932	2.02013358426558	14.7463831126007	0.000336884150343617	0.0692632172163621	-788.170497982594
ENSMUSG00000038421	Fcrla	98752	Fc receptor-like A	-8.99068799456206	1.66896034175548	15.0696151595387	0.000337800191224425	0.0692632172163621	-508.70589225338
ENSMUSG00000032456	Nmnat3	74080	nicotinamide nucleotide adenylyltransferase 3	-8.42304493041318	0.492830441848091	15.1240519268346	0.000338103291975413	0.0692632172163621	-343.233112720536
ENSMUSG00000024645	Timm21	67105	translocase of inner mitochondrial membrane 21	-7.95965121647726	3.58878337941501	14.8589035239509	0.000339099173661561	0.0692632172163621	-248.939476073691
ENSMUSG00000027637	1110008F13Rik	67388	RIKEN cDNA 1110008F13 gene	6.96560875486865	3.55657561650155	14.5776198122094	0.000339816816792833	0.0692632172163621	124.984792427478
ENSMUSG00000073198	Bnip3l-ps	100043324	BCL2/adenovirus E1B interacting protein 3-like, pseudogene	-9.29614029864642	5.83135594452173	15.5481297244787	0.000347883919812148	0.0692632172163621	-628.661803050549
ENSMUSG00000037972	Snn	20621	stannin	-8.7260230790321	2.69607642453948	14.7116051126556	0.000360007500363838	0.0692632172163621	-423.442738472562
ENSMUSG00000015747	Vps45	22365	vacuolar protein sorting 45	7.41493523954843	3.70858818538255	14.7070370342988	0.000360677104857284	0.0692632172163621	170.654570063903
ENSMUSG00000032740	Ccdc88a	108686	coiled coil domain containing 88A	-8.36902421066873	1.62613806264654	14.7018744294121	0.000361435427298272	0.0692632172163621	-330.618629926151
ENSMUSG00000074604	Mgst2	211666	microsomal glutathione S-transferase 2	-8.22873971448399	1.27277480935477	14.9231570779937	0.000365929285876491	0.0692632172163621	-299.983577849503
ENSMUSG00000023066	Rttn	246102	rotatin	6.23273281865858	4.61089607363386	14.6293276162012	0.000372270040836075	0.0692632172163621	75.2037562947707
ENSMUSG00000025058	5430427O19Rik	71398	RIKEN cDNA 5430427O19 gene	8.01804861662297	4.1439036739384	14.4055765167885	0.000381814599224498	0.0692632172163621	259.222765946476
ENSMUSG00000021061	Sptb	20741	spectrin beta, erythrocytic	-7.83760583010335	3.33844339250217	14.2767144732222	0.000385731116183457	0.0692632172163621	-228.746495421456
ENSMUSG00000019256	Ahr	11622	aryl-hydrocarbon receptor	6.62710395576903	4.57602691741434	14.2357741591501	0.000392460674145761	0.0692632172163621	98.8455392573929
ENSMUSG00000069255	Dusp22	105352	dual specificity phosphatase 22	-8.41430421597284	1.05342941310035	14.4942159769528	0.000393365021119503	0.0692632172163621	-341.159886811431
ENSMUSG00000026203	Dnajb2	56812	DnaJ heat shock protein family (Hsp40) member B2	-8.44753293716494	2.22767236091256	14.2224525980592	0.000412124037916717	0.0692632172163621	-349.10880579974
ENSMUSG00000039783	Kmo	98256	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)	-8.75523408155325	1.46642885567977	14.6178229705369	0.000412925751043399	0.0692632172163621	-432.103792054116
ENSMUSG00000044149	Nkrf	77286	NF-kappaB repressing factor	-5.61823852740902	5.03791694188093	14.2082127167399	0.00041458389517325	0.0692632172163621	-49.1199956355867
ENSMUSG00000054484	Tmem62	96957	transmembrane protein 62	8.13663143277535	2.20776667736091	14.4805572644004	0.000427037036464547	0.0692632172163621	281.429827786758
ENSMUSG00000030306	Tmtc1	387314	transmembrane and tetratricopeptide repeat containing 1	-8.35735859973973	3.73321753386854	14.0428786118653	0.000451038552182868	0.0692632172163621	-327.956031908071
ENSMUSG00000054263	Lifr	16880	leukemia inhibitory factor receptor	-8.15926824977271	2.63736671246268	14.1324650615522	0.000456243728668765	0.0692632172163621	-285.880468960926
ENSMUSG00000026317	Cln8	26889	ceroid-lipofuscinosis, neuronal 8	-7.26215432155619	0.631630440073351	14.1233516056802	0.000457957552861871	0.0692632172163621	-153.506328283167
ENSMUSG00000063364	3300002I08Rik	69277	RIKEN cDNA 3300002I08 gene	-8.46361817394012	1.82730491945113	14.0057424378247	0.000465249878362727	0.0692632172163621	-353.022951983366
ENSMUSG00000039308	Ndst2	17423	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2	-8.21672309907493	2.47270281689533	14.0630539559155	0.000469468074484127	0.0692632172163621	-297.495306849533
ENSMUSG00000030592	Ryr1	20190	ryanodine receptor 1, skeletal muscle	-7.42923115569908	2.63106853052931	13.8835323874955	0.000475037227303391	0.0692632172163621	-172.354022064792
ENSMUSG00000071324	Armc2	213402	armadillo repeat containing 2	-9.4095205663558	1.47694879976937	14.0127993704666	0.000479292946037286	0.0692632172163621	-680.06110266281
ENSMUSG00000037989	Wnk2	75607	WNK lysine deficient protein kinase 2	-8.77995323243683	1.71341842591772	14.0662599239437	0.000485671236965377	0.0692632172163621	-439.571253729748
ENSMUSG00000032965	Ift57	73916	intraflagellar transport 57	-7.71759001641873	4.7005973931502	13.7274538950448	0.000486994319319328	0.0692632172163621	-210.48739300119
ENSMUSG00000040405	Havcr1	171283	hepatitis A virus cellular receptor 1	-8.35762714321106	2.80541912316794	14.1096646687793	0.000495673823853303	0.0692632172163621	-328.017083374935
ENSMUSG00000063019	Manbal	69161	mannosidase, beta A, lysosomal-like	-7.96581129308776	1.66329823922595	13.76644942336	0.000499038274633091	0.0692632172163621	-250.004680247335
ENSMUSG00000041035	Dpcd	226162	deleted in primary ciliary dyskinesia	-8.50739772440081	2.59909823479529	13.7128640590812	0.000517900869629794	0.0692632172163621	-363.899869706503
ENSMUSG00000020808	Pimreg	109212	PICALM interacting mitotic regulator	-9.30772704713184	0.916454249099289	13.8461783779494	0.000522182578288047	0.0692632172163621	-633.731117849348
ENSMUSG00000033970	Rfc3	69263	replication factor C (activator 1) 3	-7.49454883655026	3.06745682179841	13.8028523361865	0.000522727960386786	0.0692632172163621	-180.336652479174
ENSMUSG00000021279	Cdc42bpb	217866	CDC42 binding protein kinase beta	-7.89084048089419	2.25611809251721	13.6175570285275	0.000531403519292096	0.0692632172163621	-237.344775172927
ENSMUSG00000026575	Nme7	171567	NME/NM23 family member 7	9.50832364360559	1.66172934509423	13.9305426444542	0.000532887454603471	0.0692632172163621	728.266989962735
ENSMUSG00000024143	Rhoq	104215	ras homolog family member Q	6.9988435543973	3.47221216212317	13.6055432506692	0.000534108891459112	0.0692632172163621	127.897437974535
ENSMUSG00000049555	Tmie	20776	transmembrane inner ear	-8.87904146238908	1.12760143998466	13.9702182193894	0.000534901020765953	0.0692632172163621	-470.823154675198
ENSMUSG00000078941	Taf9	108143	TATA-box binding protein associated factor 9	-8.4480629161048	2.1035929582888	13.5975259466332	0.000535922305965888	0.0692632172163621	-349.237075668029
ENSMUSG00000020288	Ahsa2	268390	AHA1, activator of heat shock protein ATPase 2	7.37176431655693	6.25038037442583	13.4927405642786	0.000538389267974335	0.0692632172163621	165.623584745947
ENSMUSG00000063445	Nmral1	67824	NmrA-like family domain containing 1	-8.49289037420805	0.835590742997334	13.5706507303183	0.000542048226121567	0.0692632172163621	-360.258928116989
ENSMUSG00000044393	Dsg2	13511	desmoglein 2	-8.0513973114469	1.20187937056519	13.7067882211278	0.000553076066136719	0.0692632172163621	-265.284635556594
ENSMUSG00000040809	Chil3	12655	chitinase-like 3	-8.24683247938344	4.33382897249882	13.825977887827	0.000555959292405678	0.0692632172163621	-303.769345536215
ENSMUSG00000040327	Cul9	78309	cullin 9	7.61956470078611	3.44695090052216	13.3826034622283	0.00056442671060118	0.0692632172163621	196.660676529649
ENSMUSG00000055733	Nap1l3	54561	nucleosome assembly protein 1-like 3	7.54166623320822	4.71861079182576	13.3595382956376	0.000570043978418115	0.0692632172163621	186.323551422788
ENSMUSG00000036513	Commd2	52245	COMM domain containing 2	-6.01974797320717	3.44824189864971	13.4391779396976	0.000573088531856981	0.0692632172163621	-64.8820713596885
ENSMUSG00000030114	Klrg1	50928	killer cell lectin-like receptor subfamily G, member 1	-8.42193835392145	2.09349628089198	13.439027824013	0.00057312501673277	0.0692632172163621	-342.969946869283
ENSMUSG00000058099	Nfam1	74039	Nfat activating molecule with ITAM motif 1	-8.14901580161771	2.87996191148941	13.5550291120476	0.000579361964768037	0.0692632172163621	-283.856073777439
ENSMUSG00000073705	Cenps	69928	centromere protein S	-8.99275569772547	0.588457286591039	13.737122217729	0.000587633147195667	0.0692632172163621	-509.435503767015
ENSMUSG00000032691	Nlrp3	216799	NLR family, pyrin domain containing 3	-8.61510991377664	2.19302500099724	13.5087505646281	0.000590632061565502	0.0692632172163621	-392.108719479524
ENSMUSG00000053453	Thoc7	66231	THO complex 7	6.93799780674234	3.62952552187697	13.4826328627054	0.000597093664220748	0.0692632172163621	122.615521526072
ENSMUSG00000033538	Casp4	12363	caspase 4, apoptosis-related cysteine peptidase	7.58528444667177	5.2778843602604	13.2284675086365	0.000603091676438503	0.0692632172163621	192.042850719187
ENSMUSG00000031483	Erlin2	244373	ER lipid raft associated 2	7.77479293289271	3.88924068131177	13.2680608289004	0.000616296088257021	0.0692632172163621	219.000891562962
ENSMUSG00000002980	Bcam	57278	basal cell adhesion molecule	-9.03944704095234	0.378623620030421	13.7594119470617	0.000634371480109163	0.0692632172163621	-526.192560453275
ENSMUSG00000030604	Zfp626	71163	zinc finger protein 626	-8.85832593505782	1.2409591386891	13.4907931568401	0.00064934888355959	0.0692632172163621	-464.110952944584
ENSMUSG00000030930	Chst15	77590	carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15	-7.88580391098685	2.60282965179436	13.1752284903128	0.00064993302771688	0.0692632172163621	-236.517629229181
ENSMUSG00000026748	Plxdc2	67448	plexin domain containing 2	-8.01681310496069	0.198965250375735	13.2667639773493	0.000663820019524415	0.0692632172163621	-259.000864823161
ENSMUSG00000030077	Chl1	12661	cell adhesion molecule L1-like	-8.2297864523273	1.3125790099316	13.0003096514175	0.000665473766392544	0.0692632172163621	-300.201307926741
ENSMUSG00000024830	Rps6kb2	58988	ribosomal protein S6 kinase, polypeptide 2	8.53330150905611	1.8810581299127	13.2162259318824	0.000667399122558034	0.0692632172163621	370.492752029054
ENSMUSG00000029089	Pacrgl	66768	PARK2 co-regulated-like	-8.10906969815253	2.21084036894462	13.1874829765408	0.00067548707428343	0.0692632172163621	-276.104329089332
ENSMUSG00000079547	H2-DMb1	14999	histocompatibility 2, class II, locus Mb1	-8.06837828236674	1.27942246587473	13.1681094015254	0.000680996516873747	0.0692632172163621	-268.425567127169
ENSMUSG00000022701	Ccdc191	212153	coiled-coil domain containing 191	-7.896901542383	2.75147985457123	12.9302941035249	0.00068593963916776	0.0692632172163621	-238.344007387017
ENSMUSG00000024436	Mrps18b	66973	mitochondrial ribosomal protein S18B	8.17445577470594	2.49402956976023	13.0941361453788	0.000702470244035885	0.0692632172163621	288.905883617384
ENSMUSG00000029047	Pex10	668173	peroxisomal biogenesis factor 10	8.05546134830776	2.18822716115	12.9613569328428	0.00070247741899583	0.0692632172163621	266.032989478897
ENSMUSG00000075266	Cenpw	66311	centromere protein W	-8.38403172188361	2.81760269891502	13.0820475271826	0.000706046411965891	0.0692632172163621	-334.075812164587
ENSMUSG00000005897	Nr2c1	22025	nuclear receptor subfamily 2, group C, member 1	-7.1236426934339	3.54624439572348	13.0669255812195	0.000710546824497258	0.0692632172163621	-139.453728133559
ENSMUSG00000030313	Dennd5b	320560	DENN/MADD domain containing 5B	8.8630412777115	1.1918323490271	13.0554962203184	0.000713968249212009	0.0692632172163621	465.630347127731
ENSMUSG00000033318	Gstt2	14872	glutathione S-transferase, theta 2	-8.10423696806853	0.991473490237039	13.253109894675	0.000715394917167108	0.0692632172163621	-275.180984047287
ENSMUSG00000022434	Fam118a	73225	family with sequence similarity 118, member A	8.53081247248676	3.51347881553587	12.9129661720783	0.000726698825933673	0.0692632172163621	369.854103566189
ENSMUSG00000017718	Afmid	71562	arylformamidase	8.2733597833712	2.92054518494003	12.8654805114248	0.000731933272884652	0.0692632172163621	309.406518960472
ENSMUSG00000019194	Scn1b	20266	sodium channel, voltage-gated, type I, beta	-8.24973300123266	1.89511827328144	13.1353162158343	0.000737311682117165	0.0692632172163621	-304.380684664041
ENSMUSG00000087543	Gm16576	100504191	predicted gene 16576	-7.80147523920569	-0.200896407695841	13.1776080796642	0.000737826660753562	0.0692632172163621	-223.088948976203
ENSMUSG00000001128	Cfp	18636	complement factor properdin	-8.05584229665983	1.69091289673664	12.9650888972255	0.000741648503239519	0.0692632172163621	-266.103245636616
ENSMUSG00000060639	Hist1h4i	319158	histone cluster 1, H4i	-7.8470951900514	2.18583803164898	12.9618359234209	0.000742665208422354	0.0692632172163621	-230.256039866946
ENSMUSG00000034959	Rubcnl	271221	RUN and cysteine rich domain containing beclin 1 interacting protein like	-7.83942127267896	0.669520845922278	13.1164348740458	0.000743067702940753	0.0692632172163621	-229.034524083055
ENSMUSG00000023992	Trem2	83433	triggering receptor expressed on myeloid cells 2	-8.18362383570027	-0.316479081688927	13.6084515504126	0.000743789934971081	0.0692632172163621	-290.74767316033
ENSMUSG00000024353	Mzb1	69816	marginal zone B and B1 cell-specific protein 1	-8.29076852921489	0.631535085121293	13.1022105461312	0.000747435240657328	0.0692632172163621	-313.162689636539
ENSMUSG00000073792	Alg6	320438	asparagine-linked glycosylation 6 (alpha-1,3,-glucosyltransferase)	-7.67481608874597	2.69183396300122	13.1446704767264	0.000747843442030406	0.0692632172163621	-204.33833669288
ENSMUSG00000015880	Ncapg	54392	non-SMC condensin I complex, subunit G	8.27237411253272	3.86269944323368	12.923093607149	0.00075488697916787	0.0692632172163621	309.195199993536
ENSMUSG00000000861	Bcl11a	14025	B cell CLL/lymphoma 11A (zinc finger protein)	-8.17279928403344	2.03688019318345	12.917252013571	0.000756748008974319	0.0692632172163621	-288.574354605373
ENSMUSG00000022324	Matn2	17181	matrilin 2	-7.90199708968546	0.202145281066473	13.0654470852702	0.000758848947948413	0.0692632172163621	-239.187318294695
ENSMUSG00000069520	Tmem19	67226	transmembrane protein 19	-7.53447306597861	1.89439295769665	12.9049802524102	0.000760673267877247	0.0692632172163621	-185.396868538159
ENSMUSG00000073139	Tmem185a	236848	transmembrane protein 185A	-7.13616490399896	1.33821343529735	12.8571561723708	0.000776175276404635	0.0692632172163621	-140.66941783111
ENSMUSG00000020021	Fgd6	13998	FYVE, RhoGEF and PH domain containing 6	7.31848410377695	5.00765035621587	12.6441512614038	0.000776658936422274	0.0692632172163621	159.618504696087
ENSMUSG00000085442	LOC108168233	108168233	60S ribosomal protein L23a pseudogene	9.81532287904971	3.26224043796218	12.8362669443783	0.00078305009320181	0.0692632172163621	900.962268973783
ENSMUSG00000053460	Ggcx	56316	gamma-glutamyl carboxylase	8.01623268115926	0.818219514820187	12.9889498891891	0.000783190440165125	0.0692632172163621	258.896684780976
ENSMUSG00000041353	Tmem29	382245	transmembrane protein 29	8.70314103899443	2.93985357443112	12.8342829039502	0.000783706370170802	0.0692632172163621	416.77965346908
ENSMUSG00000040899	Ccr6	12458	chemokine (C-C motif) receptor 6	-8.5324730500785	1.89399866944049	12.9644513307382	0.000791158526452027	0.0692632172163621	-370.280059861919
ENSMUSG00000036928	Stag3	50878	stromal antigen 3	-7.86120821005884	-0.505448113170219	13.2022536702487	0.000791460955691785	0.0692632172163621	-232.519549786801
ENSMUSG00000059108	Ifitm6	213002	interferon induced transmembrane protein 6	-9.40072476129275	0.782436779954277	13.1721145405914	0.000801054802206995	0.0692632172163621	-675.92752821282
ENSMUSG00000024795	Kif20b	240641	kinesin family member 20B	7.09528627605408	4.55578670843599	12.6499902733035	0.000802951689299901	0.0692632172163621	136.739502954683
ENSMUSG00000067455	Hist1h4j	319159	histone cluster 1, H4j	-6.34376793580851	4.38453240286134	12.7743274094877	0.000803812937188824	0.0692632172163621	-81.2202709970008
ENSMUSG00000042672	Dcst1	77772	DC-STAMP domain containing 1	7.78043586087469	-0.113853422400826	12.7723949071099	0.000804469949534788	0.0692632172163621	219.859164608793
ENSMUSG00000026604	Ptpn14	19250	protein tyrosine phosphatase, non-receptor type 14	-7.50922195143053	-0.0802371359384205	13.1556508077904	0.000806347394164072	0.0692632172163621	-182.180148388632
ENSMUSG00000029648	Flt1	14254	FMS-like tyrosine kinase 1	-7.78058674817123	-0.422372564200645	12.9224662198309	0.000819274005991088	0.0692632172163621	-219.88216024465
ENSMUSG00000043190	Rfesd	218341	Rieske (Fe-S) domain containing	-7.44479182403217	0.139825652491557	12.9196445463443	0.000820225969180198	0.0692632172163621	-174.223065304673
ENSMUSG00000092086	Gm6793	627828	heterogeneous nuclear ribonucleoprotein A3 pseudogene	-9.16939908314352	1.85561723139203	12.7173626893395	0.000823418209681382	0.0692632172163621	-575.790063926502
ENSMUSG00000022091	Sorbs3	20410	sorbin and SH3 domain containing 3	-7.66601067714671	0.0727065388319055	12.6460977323043	0.000825419843650359	0.0692632172163621	-203.094966923535
ENSMUSG00000028696	Ipp	16351	IAP promoted placental gene	-7.36390368506739	4.71075090807589	12.5882449912557	0.000835099545939909	0.0692632172163621	-164.723626268341
ENSMUSG00000034796	Cpne7	102278	copine VII	-7.27070930063969	2.86824272551679	12.4753998692282	0.000835954285552026	0.0692632172163621	-154.419303494593
ENSMUSG00000098923	Tmem185b	226351	transmembrane protein 185B	-8.49606071222711	2.12025332817066	12.6692070367012	0.00084038289936495	0.0692632172163621	-361.051471516126
ENSMUSG00000043541	Casc1	320662	cancer susceptibility candidate 1	-8.25212194166078	1.88551471478402	12.669100380601	0.000840420877423247	0.0692632172163621	-304.885122311613
ENSMUSG00000074417	Pira11	18724	paired-Ig-like receptor A11	12.2205601203477	3.51964675985612	13.0608856064454	0.000844127819614877	0.0692632172163621	4772.60135314293
ENSMUSG00000035258	Abi3bp	320712	ABI gene family, member 3 (NESH) binding protein	-9.04317429568304	1.57341178024202	12.6488256245983	0.000847673109421171	0.0692632172163621	-527.553755524052
ENSMUSG00000037907	Ankrd13b	268445	ankyrin repeat domain 13b	-8.22799663253705	2.50649583141543	12.4294113496718	0.00085291989836338	0.0692632172163621	-299.829106545855
